nm	mua[cm-1]	mua_std[cm-1]
250		
252		
254		
256		
258		
260		
262		
264		
266		
268		
270		
272		
274		
276		
278		
280		
282		
284		
286		
288		
290		
292		
294		
296		
298		
300		
302		
304		
306		
308		
310		
312		
314		
316		
318		
320		
322		
324		
326		
328		
330		
332		
334		
336		
338		
340		
342		
344		
346		
348		
350		
352		
354		
356		
358		
360		
362		
364		
366		
368		
370		
372		
374		
376		
378		
380		
382		
384		
386		
388		
390		
392		
394		
396		
398		
400		
402		
404		
406		
408		
410		
412		
414		
416		
418		
420		
422		
424		
426		
428		
430		
432		
434		
436		
438		
440		
442		
444		
446		
448		
450		
452		
454		
456		
458		
460		
462		
464		
466		
468		
470		
472		
474		
476		
478		
480		
482		
484		
486		
488		
490		
492		
494		
496		
498		
500		
502		
504		
506		
508		
510		
512		
514		
516		
518		
520		
522		
524		
526		
528		
530		
532		
534		
536		
538		
540		
542		
544		
546		
548		
550		
552		
554		
556		
558		
560		
562		
564		
566		
568		
570		
572		
574		
576		
578		
580		
582		
584		
586		
588		
590		
592		
594		
596		
598		
600		
602		
604		
606		
608		
610		
612		
614		
616		
618		
620		
622		
624		
626		
628		
630		
632		
634		
636		
638		
640		
642		
644		
646		
648		
650		
652		
654		
656		
658		
660		
662		
664		
666		
668		
670		
672		
674		
676		
678		
680		
682		
684		
686		
688		
690		
692		
694		
696		
698		
700		
702		
704		
706		
708		
710		
712		
714		
716		
718		
720		
722		
724		
726		
728		
730		
732		
734		
736		
738		
740		
742		
744		
746		
748		
750		
752		
754		
756		
758		
760		
762		
764		
766		
768		
770		
772		
774		
776		
778		
780		
782		
784		
786		
788		
790		
792		
794		
796		
798		
800		
802		
804		
806		
808		
810		
812		
814		
816		
818		
820		
822		
824		
826		
828		
830		
832		
834		
836		
838		
840		
842		
844		
846		
848		
850		
852		
854		
856		
858		
860		
862		
864		
866		
868		
870		
878		
886		
892		
894		
896		
898		
900		
902		
904		
906		
908		
910		
912		
914		
916		
918		
920		
922		
924		
926		
928		
930		
932		
934		
936		
938		
940		
942		
944		
946		
948		
950		
952		
954		
956		
958		
960		
962		
964		
966		
968		
970		
972		
974		
976		
978		
980		
982	0.01149185724228665	0.002737931272030079
984	0.012713441324313998	0.002412371635935257
986	0.013246452792981492	0.0026495767780345836
988	0.013453332748822119	0.0032833726527440378
990	0.013948006826946024	0.0039086429941254585
992	0.01375851606258358	0.0036129973470490854
994	0.013061587700200586	0.0037284175156832204
996	0.012727380336923284	0.0034453033134229337
998	0.012639307807017696	0.00279844723565208
1000	0.01277478472114669	0.0027004297366572455
1002	0.012973456211016449	0.003180759654926969
1004	0.013823798278768668	0.003624055258421904
1006		
1008	0.0146499479453469	0.004216736138675614
1010	0.014434370112531627	0.003582784839202863
1012	0.014742954508973394	0.002522334437136883
1014	0.014165807295309923	0.002610899732527202
1016	0.01438218674772804	0.002608419309642532
1018	0.01447532502608595	0.0030897108503550766
1020	0.014544279916955866	0.003497469933491138
1022	0.013978970471539917	0.003692370696261914
1024	0.013747919670505357	0.0033482112516625903
1026	0.01327468040761857	0.0031782326044521984
1028	0.013246095808921896	0.0034689865939052317
1030	0.012933894989185088	0.003814728121328801
1032	0.013317320457297792	0.003841138708080158
1034	0.014043162494356304	0.0039624006932577355
1036	0.014014490319102851	0.0032124190670858002
1038	0.013583452371019433	0.0025388767183575087
1040	0.013762714672121026	0.002635013382883251
1042	0.013265927217570144	0.002481333583255956
1044	0.012899983417800812	0.002637339041484939
1046	0.012596141562048599	0.0022966944937656054
1048	0.01243645187672373	0.0018146785385921588
1050	0.012457935219771859	0.001697323818617492
1052	0.012371802652626556	0.001596151054788146
1054	0.011798015214163593	0.0016316886676434538
1056	0.011901935038113496	0.0015892507297132314
1058	0.01168790202389925	0.0017012106021994703
