nm	mua[cm-1]	mua_std[cm-1]
450.0	1.125	0.2516277870384679
452.0	1.111	0.2518257775173587
454.0	1.105	0.2458215753622538
456.0	1.107	0.2515527090533885
458.0	1.101	0.2512477504352336
460.0	1.099	0.2465287902952604
462.0	1.104	0.2513429608137401
464.0	1.107	0.2452671005603564
466.0	1.108	0.2487557679708461
468.0	1.086	0.2468589340763937
470.0	1.082	0.2469833302716982
472.0	1.085	0.2470161688115193
474.0	1.084	0.2449422204480572
476.0	1.076	0.2518879821578543
478.0	1.083	0.2494189296527747
480.0	1.079	0.248819037817139
482.0	1.06	0.2474616817824878
484.0	1.065	0.2511346596628004
486.0	1.059	0.2442408242839709
488.0	1.0539999999999998	0.2518363666263384
490.0	1.052	0.2510635156467161
492.0	1.056	0.2484054829318734
494.0	1.042	0.2503477581285679
496.0	1.043	0.252270577841421
498.0	1.037	0.2462657903692124
500.0	1.042	0.2467540886123542
502.0	1.03	0.2494291259834924
504.0	1.027	0.250195232410587
506.0	1.031	0.2478566391691918
508.0	1.024	0.2503823742465378
510.0	1.024	0.2505529194244177
512.0	1.029	0.2500606346221938
514.0	1.017	0.2489542572888084
516.0	1.011	0.2487681254640826
518.0	1.009	0.2524373531867869
520.0	1.011	0.2496726746050606
522.0	1.008	0.248855950201351
524.0	1.002	0.2513059907516219
526.0	0.9942	0.2524424060950571
528.0	0.9918	0.251983556684769
530.0	0.9984	0.251899039642551
532.0	0.9851	0.2518719770826166
534.0	0.9848	0.2539426507630083
536.0	0.9842	0.2536958200991937
538.0	0.976	0.2506443685905846
540.0	0.9711	0.2538669905460118
542.0	0.9695	0.2528566172535117
544.0	0.9715	0.2510654634026358
546.0	0.9663	0.2527135664476022
548.0	0.965	0.2501481738667881
550.0	0.9636	0.2528002231793045
552.0	0.9649	0.2536765165752013
554.0	0.9556	0.2537137888776774
556.0	0.9509	0.2549194910429178
558.0	0.9459	0.255560457923993
560.0	0.9479	0.2511934112920624
562.0	0.9394	0.2538732273311929
564.0	0.9448	0.2543046729155142
566.0	0.9399	0.2548805389507061
568.0	0.9357	0.2571995641568412
570.0	0.9274	0.2553664904494018
572.0	0.9291	0.2569582071989792
574.0	0.9352	0.2553360666133561
576.0	0.9286	0.2557258447132808
578.0	0.9234	0.2575015948650118
580.0	0.916	0.2585822203697655
582.0	0.9126	0.2565847921361583
584.0	0.9133	0.2579523302692922
586.0	0.9123	0.2567652667753609
588.0	0.9113	0.2576547968134644
590.0	0.9084	0.2571797560337521
592.0	0.9016	0.2590395527261102
594.0	0.9049	0.2579159112655724
596.0	0.9025	0.2596346107727379
598.0	0.9017	0.2566402237460926
600.0	0.8931	0.2589959416241454
602.0	0.8877999999999999	0.2607825691933065
604.0	0.8881	0.2590058986887278
606.0	0.8906000000000001	0.2579962292766847
608.0	0.8813	0.2587690638292408
610.0	0.8831	0.2584654749253661
612.0	0.8795999999999999	0.2600232871812507
614.0	0.8767999999999999	0.2593132901899472
616.0	0.8705	0.2591670236986941
618.0	0.8653	0.2605527462535118
620.0	0.8624999999999999	0.2599731928250571
622.0	0.8631	0.2598626009221502
624.0	0.8567	0.2611320232760565
626.0	0.8559	0.2594958478699194
628.0	0.8555	0.2593388521739726
630.0	0.857	0.260910511596847
632.0	0.8491	0.2625264802634321
634.0	0.8495999999999999	0.2620307064279129
636.0	0.8425	0.2611961010617818
638.0	0.8394	0.2627283632185649
640.0	0.8351999999999999	0.2636433706990947
642.0	0.8341999999999999	0.2618062218087602
644.0	0.839	0.2621826674498357
646.0	0.8309	0.2617342969926223
648.0	0.8272	0.2630811145626119
650.0	0.8264	0.263124292556452
652.0	0.8245	0.2635808372734592
654.0	0.8261000000000001	0.2633982578192615
656.0	0.8201	0.261245933986907
658.0	0.8196000000000001	0.2625173043091224
660.0	0.8179000000000001	0.2648985088670754
662.0	0.8147	0.2628142145281048
664.0	0.8129	0.263203597202331
666.0	0.8064	0.2653210131143027
668.0	0.8032	0.2653104764024384
670.0	0.8015	0.2640363863813724
672.0	0.8009	0.2640044673209756
674.0	0.801	0.2636490826182259
676.0	0.7979	0.2649486803323929
678.0	0.7926	0.2652508205034959
680.0	0.7914	0.2673953576335061
682.0	0.791	0.2650292678922578
684.0	0.7933999999999999	0.2647644571648124
686.0	0.7887	0.2662082995802949
688.0	0.7793	0.2667904296134577
690.0	0.7825	0.2650160162874857
692.0	0.7815	0.265783723456349
694.0	0.7750999999999999	0.2661435860490757
696.0	0.7715	0.2664909939876829
698.0	0.772	0.265698676913492
700.0	0.7665	0.2658490651330163
702.0	0.7643	0.2668802399375716
704.0	0.7625	0.2648082241086095
706.0	0.76	0.2669149029786437
708.0	0.7615	0.2672078679443365
710.0	0.7632	0.2659834920153718
712.0	0.7577	0.2661746910824534
714.0	0.7535000000000001	0.2668037064543478
716.0	0.7461	0.2634604142495476
718.0	0.7479	0.2664349748108703
720.0	0.7496	0.2675195144606911
722.0	0.7435999999999999	0.2674569253423441
724.0	0.7374	0.2699928782782754
726.0	0.7416	0.2680864154947794
728.0	0.7371	0.2680256165203451
730.0	0.7345999999999999	0.2686797161613493
732.0	0.7374999999999999	0.2674878084218438
734.0	0.747	0.2675365704781495
736.0	0.7352000000000001	0.2688957046886394
738.0	0.7371	0.2707497030993663
