nm	mua[cm-1]	mua_std[cm-1]
250		
252		
254		
256		
258		
260		
262		
264		
266		
268		
270		
272		
274		
276		
278		
280		
282		
284		
286		
288		
290		
292	6.931471805599453	4.1633363423443354e-15
294	6.931471805599453	4.1633363423443354e-15
296	4.054651081081641	2.943923360032077e-15
298	6.931471805599453	4.1633363423443354e-15
300	10.378384364034579	2.943923360032077e-15
302	9.36318788803552	3.0904757459735846e-15
304	12.890257645746763	0.5412658773652747
306	16.318384586197855	1.770821294751329
308	17.77572931088456	2.943923360032077e-15
310	18.69937872366357	0.25392515003376687
312	20.931138668499113	0.1455504880309982
314	20.58237200474293	0.0
316	21.112905064163364	0.8660254037844385
318	20.693702821476702	0.10626078574042155
320	20.367629024242582	2.943923360032077e-15
322	20.341090466399304	0.8598669977690233
324	19.641761318473897	0.09457489354375173
326	18.77070885625662	0.054638826737188353
328	17.876003048970258	0.06422021027777483
330	16.73242954018401	0.29396124301525095
332	15.56724190343251	0.1601597862287465
334	14.313588516341573	0.17478185628870693
336	13.016090836708491	0.054723560458400426
338	11.623071523020128	0.06714440759961338
340	10.305185805458509	0.036637820923692485
342	9.119484421250055	0.03208990239479734
344	8.072704267731753	0.04977167136462927
346	7.163843903224847	0.04375528450105245
348	6.386637341544489	0.043203783072771694
350	5.712960408699058	0.041779477052139684
352	5.145734427567482	0.04341603137594476
354	4.661650058892299	0.05494406284481349
356	4.260942010878623	0.02789346863814432
358	3.9134645575037807	0.030988336975240564
360	3.611522985001109	0.026762216548127393
362	3.343252643179728	0.022655137758935837
364	3.1093331668543818	0.029923565037907978
366	2.913859074235091	0.022942204431722835
368	2.756029762981237	0.022104402163974357
370	2.6040063251463335	0.016667985345321074
372	2.468902485657722	0.022133472174525468
374	2.333868692307984	0.01930168399891862
376	2.1991003651592043	0.015507213410937408
378	2.0599689963116288	0.02206614965111182
380	1.9244592160161584	0.01818784776589504
382	1.8022700649945207	0.020490135291836662
384	1.6861982988348172	0.018694474824042254
386	1.5750065190081848	0.011064923529931542
388	1.476795935577373	0.016481757880413297
390	1.400272973128855	0.015239699959864749
392	1.3306861389329518	0.022866644017759407
394	1.272599446783352	0.013947063001957328
396	1.2202836190273205	0.021731127216162622
398	1.1725193604093695	0.014684578973467814
400	1.1262580567051639	0.0305067858195775
402	1.0792377089358338	0.028373499712124592
404	1.0387668917357278	0.02819545534185953
406	1.001521137330846	0.022609886657917633
408	0.9614246845877422	0.019177283307909677
410	0.9211424304793203	0.019059247932118297
412	0.8837412553087564	0.006710774147883684
414	0.8552683027627852	0.006687454855478862
416	0.8183115056755552	0.016815626540590472
418	0.7928630978019805	0.013573053293916393
420	0.7622110363352705	0.021484472395294028
422	0.7473445137146418	0.03473696901896466
424	0.7213651955644997	0.03216938017523629
426	0.707134985703878	0.016521799566571196
428	0.6799134222123953	0.01165235330204184
430	0.655247479504244	0.016444721575861083
432	0.6351354205735119	0.017496025720634762
434	0.6150606602130733	0.013706412563300255
436	0.5944136641560492	0.017557823673590538
438	0.5742339039538217	0.015059673740920416
440	0.5532375313207614	0.018752520405779384
442	0.5341599483445466	0.01755704014841076
444	0.5216574360776014	0.016432868803810292
446	0.4997206698622974	0.013425334695155425
448	0.4828774969410114	0.01171722491546132
450	0.4636089001128723	0.017249407316403426
452	0.443673787192519	0.029260281221897125
454	0.4248978865740373	0.023525842262351528
456	0.4088846751866015	0.03761285383196124
458	0.3951578919427717	0.026566192467775893
460	0.3807583583843428	0.02134031077107572
462	0.3698104332067674	0.015908121487132044
464	0.353102328393917	0.015701148643137368
466	0.33450462886384275	0.014405729623970359
468	0.3189054060679531	0.00912103745431892
470	0.30687885755039196	0.009095396878042073
472	0.29889885862048815	0.009075171560884538
474	0.28351493492284363	0.012813788774996353
