nm	musp[cm-1]	musp_std[cm-1]
450.0	17.59	0.975408746230124
452.0	17.62	0.974517291081736
454.0	17.43	0.8712244824185279
456.0	17.46	0.885192313623862
458.0	17.35	0.901997782702375
460.0	17.29	0.8581893083049268
462.0	17.330000000000002	0.8655505633859749
464.0	17.23	0.8892693630166283
466.0	17.18	0.8817757056427266
468.0	17.03	0.905478524331026
470.0	17.150000000000002	0.870593667179663
472.0	16.9	0.8898689042025606
474.0	16.85	0.9161931436892604
476.0	16.71	0.9218031176202004
478.0	16.72	0.9037207041509626
480.0	16.84	0.9211921958681564
482.0	16.67	0.9066176457336113
484.0	16.67	0.9254801890083412
486.0	16.55	0.9209750603183544
488.0	16.52	0.9083086982727976
490.0	16.419999999999998	0.8945514083730584
492.0	16.36	0.8892999049745003
494.0	16.31	0.9091442184145164
496.0	16.29	0.9091360707076408
498.0	16.21	0.8337347181489526
500.0	16.21	0.8612781200053787
502.0	16.14	0.8270981550122642
504.0	16.080000000000002	0.8143042171232394
506.0	16.07	0.8043600324036457
508.0	16.07	0.8131891189691827
510.0	16.02	0.8036874891690887
512.0	15.87	0.8025899434231344
514.0	15.98	0.7888247235250956
516.0	15.81	0.8305419917138455
518.0	15.78	0.8486343422897645
520.0	15.825	0.8061017305526643
522.0	15.7	0.8235619715526299
524.0	15.7	0.8618684841381643
526.0	15.58	0.8316085855173532
528.0	15.62	0.8331333093275718
530.0	15.45	0.794146797388537
532.0	15.59	0.632678143018281
534.0	15.44	0.8080429031513948
536.0	15.335	0.8466616428656726
538.0	15.29	0.6935589376541837
540.0	15.3	0.8091266510874547
542.0	15.23	0.7736852647484562
544.0	14.44	0.9238626641564328
546.0	15.2	0.928474016868538
548.0	15.009999999999998	0.9056128830121344
550.0	14.97	0.6211444342206288
552.0	14.92	0.8719389606047016
554.0	14.085	0.9350000000000004
556.0	14.74	0.6661951665990982
558.0	13.1	0.7858434958692476
560.0	14.72	0.7102816342831908
562.0	14.64	0.7647862179613819
564.0	14.57	0.8091870447982887
566.0	14.6	0.922032537386832
568.0	14.54	0.8391397711678044
570.0	14.46	0.6936958187050645
572.0	14.29	0.8241698853998494
574.0	14.35	0.8595207967233838
576.0	14.17	0.8392472817948234
578.0	14.13	0.7603516909151654
580.0	14.065	0.7924083148857031
582.0	14.04	0.7394537421196088
584.0	13.95	0.809456859976654
586.0	13.94	0.8007496487667037
588.0	13.78	0.8098493687100091
590.0	13.84	0.7173028910439442
592.0	13.795	0.7171645557332007
594.0	13.7	0.7870806820142393
596.0	13.68	0.784492556643192
598.0	13.63	0.7226481911437027
600.0	13.510000000000002	0.7376012171597575
602.0	12.715	0.7447762527542525
604.0	12.68	0.7331567022131081
606.0	13.37	0.6973009188496536
608.0	13.27	0.7663243838117704
610.0	13.19	0.6828481768688127
612.0	13.24	0.6488388372582935
614.0	13.03	0.1557776192739723
616.0	13.08	0.6671841528974972
618.0	12.9	0.5957717683811475
620.0	12.28	0.6750164607046426
622.0	11.57	0.7212951314591457
624.0	12.79	0.6467027831979063
626.0	12.75	0.6897825744392219
628.0	12.92	0.5979163821137538
630.0	12.669999999999998	0.616623458681162
632.0	12.565	0.6556437676055501
634.0	11.955	0.6668187326569508
636.0	12.48	0.5692294987280812
638.0	12.46	0.5650248323963206
640.0	12.45	0.5665010481014134
642.0	12.27	0.6032688731679542
644.0	12.68	0.673844690315704
646.0	12.235	0.6019066926581452
648.0	12.22	0.2027039439401435
650.0	12.23	0.5984128668266359
652.0	12.18	0.5655266644140348
654.0	12.105	0.5346546133304708
656.0	12.075	0.4804049217991927
658.0	12.045	0.576647398522027
660.0	12.08	0.6247219789797764
662.0	12.0	0.5596030339048876
664.0	12.25	0.5091168824543149
666.0	11.96	0.5171270715822806
668.0	11.92	0.5823057616063912
670.0	11.87	0.5422289598481066
672.0	11.76	0.4944673489560997
674.0	11.7	0.5649453648859534
676.0	10.82	0.6606784391820273
678.0	11.625	0.5555777773333512
680.0	11.65	0.524295658479069
682.0	11.48	0.5780685645372208
684.0	11.54	0.5543720727649697
686.0	11.45	0.5914734282506108
688.0	11.0	0.4104469108991643
690.0	11.675	0.65334396249857
692.0	11.41	0.457133928484234
694.0	11.375	0.5824463494606178
696.0	11.3	0.5219429947761713
698.0	10.44	0.5719930069502599
700.0	10.825	0.5913755152185458
702.0	11.17	0.5098178946587552
704.0	11.25	0.5685498919108476
706.0	11.185	0.5503280271801536
708.0	10.695	0.555020019658951
710.0	10.675	0.6185130017496264
712.0	11.035	0.5479481930093599
714.0	10.21	0.3802219746411299
716.0	10.19	0.6571879487635178
718.0	11.03	0.6070914263930929
720.0	10.489999999999998	0.6246799180380301
722.0	10.89	0.6235382907247964
724.0	10.895	0.5328329358251045
726.0	10.83	0.5886754415721823
728.0	10.84	0.6125739272337097
730.0	10.342	0.5677845101796987
732.0	10.81	0.6534245246200971
734.0	10.317	0.683495041841725
736.0	10.67	0.6375158101280822
738.0	10.64	0.5623767710823954
740.0	10.65	0.5929775781286044
742.0	10.489999999999998	0.6359141579855973
744.0	10.56	0.6546213424880194
746.0	10.098	0.6938165984049548
748.0	10.52	0.5826527302618884
750.0	10.52	0.6797839692858011
752.0	10.505	0.6945000000000002
754.0	10.47	0.6621257664615128
756.0	10.47	0.7042966238560282
758.0	10.45	0.6566305563252447
760.0	10.475	0.6997395497611952
762.0	10.45	0.7555299802260722
764.0	9.446	0.6452667665392353
766.0	10.22	0.6654368520615856
768.0	10.2	0.6471038461909355
770.0	10.2	0.6391714981768449
772.0	10.059	0.7802080384957167
774.0	10.07	0.5962927002529881
776.0	9.2575	0.6579268101392434
778.0	10.009999999999998	0.6016316702656754
780.0	9.9715	0.605396357769024
782.0	9.5315	0.5634732814330145
784.0	9.879	0.760874442116876
786.0	9.506	0.5698229744598071
788.0	9.821	0.5777025483542548
790.0	9.42	0.5807494200504106
792.0	9.41	0.6759122230980393
794.0	9.783	0.6941446946731331
796.0	9.371	0.6789381415121698
798.0	9.362	0.5656464345232703
800.0	9.359	0.5824220739482856
802.0	9.3155	0.5811614090193306
804.0	8.931000000000001	0.6021672193004196
806.0	9.643	0.6421137924456842
808.0	9.632	0.6495140370884993
810.0	9.2015	0.5512650350683322
812.0	9.141	0.5387802324592923
814.0	9.4895	0.650926155085967
816.0	9.435	0.6122480489714829
818.0	9.0915	0.5652125706316168
820.0	8.74	0.6010299826131806
822.0	9.4235	0.58597204231516
824.0	9.416	0.6291733553728338
826.0	9.337	0.6537386590794521
828.0	8.975999999999999	0.5370144835621802
830.0	9.297	0.5827113350536439
832.0	9.2875	0.5734509569265708
834.0	9.254	0.6192212153828766
836.0	8.893	0.5459882222986944
838.0	9.197500000000002	0.5885361076433623
840.0	9.148	0.6068117042744353
842.0	9.177	0.6167431384015811
844.0	9.1175	0.5881228613138579
846.0	9.0645	0.6453138286911263
848.0	9.072	0.5786872941191986
850.0	9.019000000000002	0.5671657468280329
852.0	9.0	0.5937286656336056
854.0	9.014	0.5809543871940381
856.0	8.959499999999998	0.5607468095094252
858.0	8.947000000000001	0.5921453358470636
860.0	8.933	0.6015696135943036
862.0	8.916	0.6070207757747852
864.0	8.886	0.6014985812201693
866.0	8.836	0.599444084028313
868.0	8.823	0.6008799925376935
870.0	8.816	0.6054900678146768
872.0	8.785	0.6036520336897557
874.0	8.7585	0.6131096965470374
876.0	8.743	0.5845980153115241
878.0	8.726	0.5906468101335921
880.0	8.717	0.5904939133711669
882.0	8.699	0.6014307221785787
884.0	8.647	0.5925532324891438
886.0	8.621	0.6003245418567823
888.0	8.632	0.5956051596257703
