nm	musp[cm-1]	musp_std[cm-1]
600.0	4.29	0.9036833270319616
602.0	4.7545	1.0129614920494263
604.0	5.215999999999999	1.0178447818798304
606.0	5.446	1.0589475907711392
608.0	5.695	1.0816585116396344
610.0	5.891	1.0549560285728607
612.0	6.049	1.0741536662719315
614.0	6.143999999999999	1.0578435553777887
616.0	6.202	1.0634999985489328
618.0	6.254999999999999	1.047324221381019
620.0	6.32	1.0424548780832223
622.0	6.355	1.03774618081806
624.0	6.385	1.0247765549886088
626.0	6.381	1.0170287636900144
628.0	6.403	1.0203934970828112
630.0	6.409000000000001	1.013466852802002
632.0	6.4190000000000005	1.011182744715255
634.0	6.424	1.0023470235180805
636.0	6.413	1.000944220890122
638.0	6.421	0.998914966907149
640.0	6.417000000000001	0.99291621866296
642.0	6.403	0.9948670610367008
644.0	6.395999999999999	0.9890541809423314
646.0	6.391	0.9915824365099768
648.0	6.38	0.9928603770898816
650.0	6.371	0.9833764711190812
652.0	6.361	0.9834408980716632
654.0	6.355	0.9768411422969197
656.0	6.336	0.9727765530800082
658.0	6.323	0.9743232535812414
660.0	6.327	0.967287935734383
662.0	6.302	0.9718068445992116
664.0	6.301	0.9616536426359864
666.0	6.309	0.9734884579581712
668.0	6.269	0.9630134416968896
670.0	6.28	0.96669471223684
672.0	6.254	0.9627015357386632
674.0	6.2780000000000005	0.9637656469402832
676.0	6.244	0.9604731987057726
678.0	6.241	0.9568855730963868
680.0	6.231	0.9478351943009689
682.0	6.228	0.951905314826565
684.0	6.2250000000000005	0.9592435033741078
686.0	6.195	0.9518526315027792
688.0	6.199	0.9530125075287172
690.0	6.189	0.9520926399577554
692.0	6.187	0.953005706458891
694.0	6.170999999999999	0.9526421866590148
696.0	6.143999999999999	0.9487689619764532
698.0	6.1080000000000005	0.9388713213346606
700.0	6.081	0.933477343387232
702.0	6.073	0.9450184138254318
704.0	6.052	0.9379589477446872
706.0	6.057	0.9495438411009992
708.0	6.04	0.9433949332066608
710.0	6.034000000000001	0.9460711742076632
712.0	6.007	0.9444570587392892
714.0	5.994000000000001	0.9368234875970932
716.0	5.985	0.93567200383758
718.0	5.979	0.9410476562629676
720.0	5.949	0.9429121687753804
722.0	5.9350000000000005	0.932603166768517
724.0	5.937	0.9390678593394858
726.0	5.911999999999999	0.9346587018205572
728.0	5.892	0.934911998235366
730.0	5.888999999999999	0.936952796681816
732.0	5.847	0.9430574521335862
734.0	5.8260000000000005	0.9376637371417416
736.0	5.829	0.9359028914487988
738.0	5.792000000000001	0.9358301655564604
