Object Number,Area,Aspect_Ratio,Diameter,Width,Length
7,68.55555556,0.886917793,6.885988934,6.333333333,7.333333333
73,68.11111111,0.908193341,6.771991776,6.333333333,7
74,68.11111111,0.836444368,6.865402972,6.333333333,7.666666667
80,73.66666667,0.924267738,7.088561203,7,7.333333333
90,72.33333333,0.98077999,7.088561203,7,7
112,62,0.92101628,6.559650622,6,6.666666667
117,72.88888889,0.912556271,7.128384894,6.666666667,7.333333333
122,65.77777778,0.898851656,6.634743099,6,7.333333333
172,56.66666667,0.912316464,6.227578324,5.666666667,6.666666667
256,59.66666667,0.896946306,6.428880344,5.666666667,6.666666667
257,60,0.864811593,6.581193046,5.666666667,7.333333333
258,50.22222222,0.862920463,5.64332648,5,6
274,62.77777778,0.867028281,6.634743099,5.666666667,7
276,64.55555556,0.952191477,6.472763996,6.333333333,6.666666667
298,44.88888889,0.855143935,5.280524111,5,5.666666667
299,78.44444444,0.850728195,7.343555894,7,7.666666667
308,56.66666667,0.899123046,6.193391908,5.666666667,6.333333333
334,56.22222222,0.839611585,6.147514299,5.333333333,6.333333333
353,70.11111111,0.861363167,6.824044746,6,8
406,77.22222222,0.943470363,7.353186791,7,7.666666667
414,68.44444444,0.851684536,6.782434329,6.333333333,7.333333333
431,58.77777778,0.884200008,6.295394243,5.333333333,6.666666667
469,64.77777778,0.84183466,6.613375111,6,7
481,75.55555556,0.923376444,7.207372179,7,7.666666667
486,75.55555556,0.992903291,7.256302627,7,7.333333333
521,72.22222222,0.935407624,6.998129363,6.666666667,7.333333333
525,70.77777778,0.921940828,6.937186582,6.666666667,7
551,59.33333333,0.864412041,6.329029714,5.666666667,6.666666667
630,49.55555556,0.836446341,5.529308131,5,5.666666667
650,85.55555556,0.924243626,7.496165569,7,8
667,70,0.945999676,6.813665965,6.666666667,7
705,73,0.888408758,7.158107267,7,7.333333333
752,42,0.851312703,5.075509102,4.666666667,5.666666667
754,63.55555556,0.91596714,6.494594628,6.333333333,6.666666667
756,56.77777778,0.959323262,6.181954425,6,6.333333333
757,61.66666667,0.854944718,6.461821023,6,6.666666667
763,58.44444444,0.858514019,6.687864388,6.333333333,7
776,63.22222222,0.956559693,6.450859486,6.333333333,6.333333333
792,59.44444444,0.880327667,6.373600897,5.666666667,6.666666667
829,72.77777778,0.87840809,6.967724602,6.333333333,7.333333333
831,64.33333333,0.848870595,6.538037216,6,7
833,46.77777778,0.879113311,5.490775898,5.333333333,5.333333333
840,65.22222222,0.840780897,6.570430663,6,7.333333333
859,73.66666667,0.931918438,7.167987337,7,7.333333333
862,67,0.938973728,6.570430663,6,7
879,55.55555556,0.930562669,6.007779811,5.666666667,6
902,54.66666667,0.899463477,6.101291731,5.666666667,6.333333333
956,69.66666667,0.88035634,6.855086808,6.333333333,7.333333333
1014,76,0.93547436,7.226984113,7,7.333333333
1067,63.55555556,0.970277755,6.516352125,6.333333333,6.333333333
1071,62.77777778,0.849772599,6.591937858,5.666666667,7.333333333
1125,69.88888889,0.942951072,6.865402972,6.666666667,7
1130,64.44444444,0.93667786,6.591937858,6.333333333,6.666666667
1151,63,0.845339556,6.666666667,6,7
1168,72.11111111,0.925352651,7.00823497,7,7
1172,68.22222222,0.995875813,6.730059535,6.666666667,6.666666667
1174,70.66666667,0.923073131,6.855086808,6.666666667,7
1223,52.55555556,0.857843284,5.767370452,5,6.333333333
1238,57.11111111,0.882461825,6.193391908,5.666666667,6.666666667
1251,64.11111111,0.850903181,6.494594628,6,7
1259,71.66666667,0.862105562,6.937186582,6.666666667,7
1272,58.22222222,0.965809038,6.216203742,6,6.333333333
1278,65.55555556,0.964172398,6.505482472,6.333333333,6.666666667
1336,58.22222222,0.949693834,6.450859486,6,6.333333333
1367,75,0.910679933,7.177853807,6.666666667,7.333333333
1368,67.77777778,0.952837093,6.80327135,6.666666667,7
1381,47.88888889,0.899628587,5.373521621,5.333333333,5.333333333
1400,68.44444444,0.881585695,6.865402972,6.333333333,7.333333333
1420,74.66666667,0.942318596,7.138306102,6.666666667,7.333333333
1434,58.66666667,0.942905944,6.4836885,6.333333333,6.666666667
1473,55.88888889,0.874414942,6.101291731,5.333333333,6.666666667
1475,68.22222222,0.887051046,6.834407766,6.333333333,7.333333333
1484,64.66666667,0.866918448,6.677273939,6,7
1551,74.77777778,0.908480023,7.266049176,7,7.666666667
1553,64.11111111,0.916176664,6.74056705,6,7
1557,67,0.925283997,6.613375111,6.333333333,7
1570,80.66666667,0.933477812,7.333912349,6.666666667,7.333333333
1582,68.11111111,0.943289707,6.771991776,6.333333333,7
1592,56.77777778,0.864389402,6.147514299,5,6.666666667
1599,70.33333333,0.965116424,6.885988934,6.666666667,7
1609,75.88888889,0.840083335,7.167987337,6.666666667,7.666666667
1614,51,0.859369727,5.64332648,5,6
1647,55.66666667,0.860358088,6.101291731,5.333333333,6.333333333
1649,70.88888889,0.946169817,6.988009142,6.666666667,7
1656,68.44444444,0.921242736,6.74056705,6.333333333,7.333333333
1671,73.11111111,0.96629093,7.088561203,7,7
1679,76.33333333,0.901929775,7.078570273,6.333333333,7.666666667
1681,52.66666667,0.930210177,5.864716912,5.666666667,6
1695,76,0.929570847,7.167987337,7,7.333333333
1698,72.55555556,0.913251747,7.167987337,7,7
1706,59.44444444,0.870178631,6.340201885,5.333333333,6.666666667
1711,55.11111111,0.883597312,6.351354404,6,6.333333333
1712,61.55555556,0.860479551,6.559650622,6,7
1719,72.44444444,0.901544388,7.028402594,6.666666667,7.333333333
1758,47.55555556,0.876990989,5.386675916,5,5.333333333
1774,84.22222222,0.980930671,7.372410841,7,7.333333333
1777,58.55555556,0.838828383,6.284142412,5.333333333,6.666666667
1803,76.66666667,0.928779241,7.382004093,7,7.666666667
1805,71.77777778,0.898238371,7.078570273,7,7.333333333
1816,71.44444444,0.937658261,6.977874243,6.666666667,7
1885,67.11111111,0.982534204,6.645401328,6.333333333,7
1920,69.33333333,0.92585579,6.885988934,6.333333333,7.333333333
1950,42.55555556,0.892751712,5.490775898,4.666666667,5.666666667
1952,56,0.897778211,6.11288014,5.666666667,6
1968,74,0.896940425,7.078570273,7,7
2018,75.55555556,0.855661057,7.128384894,6.333333333,7.666666667
2022,49.44444444,0.845137023,5.516493958,4.666666667,5.666666667
2024,71.11111111,0.950072691,6.906513536,6.666666667,7
2031,75.88888889,0.860645872,7.246542969,6.666666667,7.666666667
2054,71.22222222,0.932623192,6.957560155,7,7
2064,75.11111111,0.910227304,7.266049176,6.666666667,7.666666667
2100,81,0.891879819,7.266049176,6.666666667,7.666666667
2114,70.55555556,0.975267195,6.988009142,6.666666667,7
2120,70.22222222,0.979537468,6.885988934,6.666666667,7
2124,68,0.963067995,6.634743099,6.333333333,6.666666667
2159,49.11111111,0.837281599,5.542092676,5,6
2176,53.44444444,0.868426906,5.864716912,5,6.333333333
2178,66.66666667,0.943162231,6.624067721,6.666666667,6.666666667
2183,68,0.978933112,6.74056705,6.666666667,7
2184,69.22222222,0.87316832,6.834407766,6.666666667,7
2186,75.11111111,0.929468089,7.098538071,6.666666667,7.333333333
2204,67.88888889,0.952811888,6.645401328,6.333333333,7
2234,66.22222222,0.895927642,6.645401328,6.333333333,7
2255,64.55555556,0.916019889,6.428880344,6,7
2283,67.33333333,0.961763943,6.792860829,6.666666667,6.666666667
2289,66.77777778,0.911208059,6.570430663,6,7
2317,62.33333333,0.851589298,6.548852835,6,7
2327,73.33333333,0.968176432,7.158107267,7,7.333333333
2344,63.44444444,0.878557618,6.538037216,5.666666667,7
2351,52.33333333,0.856011713,5.816247346,5.666666667,5.666666667
