mua[cm-1]	nm
0.0828	429.0
0.08216	430.0
0.08158	431.0
0.08069000000000001	432.0
0.07927	433.0
0.07832	434.0
0.07721	435.0
0.07652	436.0
0.07623	437.0
0.0756	438.0
0.07474	439.0
0.07383	440.0
0.07244	441.0
0.07104	442.0
0.07	443.0
0.06899	444.0
0.06811	445.0
0.06729	446.0
0.06659	447.0
0.06571	448.0
0.06464	449.0
0.06375	450.0
0.06291000000000001	451.0
0.0621	452.0
0.06135	453.0
0.06049	454.0
0.059500000000000004	455.0
0.05837	456.0
0.057510000000000006	457.0
0.05663000000000001	458.0
0.05593	459.0
0.05523	460.0
0.054130000000000005	461.0
0.05288	462.0
0.05144	463.0
0.049850000000000005	464.0
0.04846	465.0
0.0472	466.0
0.04594	467.0
0.045129999999999997	468.0
0.044340000000000004	469.0
0.04327	470.0
0.04208	471.0
0.040839999999999994	472.0
0.03961	473.0
0.03843	474.0
0.037320000000000006	475.0
0.03635	476.0
0.035339999999999996	477.0
0.03452	478.0
0.03386	479.0
0.03315	480.0
0.03261	481.0
0.031920000000000004	482.0
0.03109	483.0
0.03013	484.0
0.02919	485.0
0.028319999999999998	486.0
0.0275	487.0
0.026760000000000003	488.0
0.02597	489.0
0.025150000000000002	490.0
0.02437	491.0
0.02368	492.0
0.02298	493.0
0.0225	494.0
0.02193	495.0
0.021240000000000002	496.0
0.0206	497.0
0.01998	498.0
0.01942	499.0
0.01906	500.0
0.01875	501.0
0.01828	502.0
0.01776	503.0
0.017240000000000002	504.0
0.01683	505.0
0.016479999999999998	506.0
0.016200000000000003	507.0
0.01576	508.0
0.015340000000000001	509.0
0.015009999999999999	510.0
0.014750000000000001	511.0
0.014570000000000001	512.0
0.01432	513.0
0.01403	514.0
0.013680000000000001	515.0
0.013300000000000001	516.0
0.01298	517.0
0.012700000000000001	518.0
0.01246	519.0
0.012310000000000001	520.0
0.012110000000000001	521.0
0.011890000000000001	522.0
0.01165	523.0
0.01145	524.0
0.011319999999999998	525.0
0.01113	526.0
0.01091	527.0
0.01064	528.0
0.01042	529.0
0.01031	530.0
0.010169999999999998	531.0
0.01002	532.0
0.00991	533.0
0.00984	534.0
0.00978	535.0
0.0097	536.0
0.00951	537.0
0.009290000000000001	538.0
0.009130000000000001	539.0
0.008960000000000001	540.0
0.0088	541.0
0.00864	542.0
0.00849	543.0
0.0084	544.0
0.00833	545.0
0.00828	546.0
0.00822	547.0
0.00805	548.0
0.007850000000000001	549.0
0.007730000000000001	550.0
0.0076300000000000005	551.0
0.0076	552.0
0.00757	553.0
0.0074600000000000005	554.0
0.00733	555.0
0.00724	556.0
0.00718	557.0
0.0070999999999999995	558.0
0.007039999999999999	559.0
0.00698	560.0
0.0069	561.0
0.0068200000000000005	562.0
0.006730000000000001	563.0
0.006620000000000001	564.0
0.00653	565.0
0.00647	566.0
0.00641	567.0
0.00636	568.0
0.0063	569.0
0.0062900000000000005	570.0
0.0063300000000000006	571.0
0.00639	572.0
0.00632	573.0
0.00613	574.0
0.005889999999999999	575.0
0.00573	576.0
0.005620000000000001	577.0
0.00563	578.0
0.005659999999999999	579.0
0.005659999999999999	580.0
0.005639999999999999	581.0
0.005620000000000001	582.0
0.005620000000000001	583.0
0.00557	584.0
0.0054800000000000005	585.0
0.005410000000000001	586.0
0.0053	587.0
0.005200000000000001	588.0
0.00512	589.0
0.00502	590.0
0.00493	591.0
0.00488	592.0
0.00485	593.0
0.00486	594.0
0.00487	595.0
0.00479	596.0
0.00472	597.0
0.0046700000000000005	598.0
0.00462	599.0
0.00466	600.0
0.00471	601.0
0.00479	602.0
0.00487	603.0
0.00487	604.0
0.00484	605.0
0.0048	606.0
0.00475	607.0
0.0047	608.0
0.00469	609.0
0.00464	610.0
0.00458	611.0
0.004540000000000001	612.0
0.00442	613.0
0.00427	614.0
0.00422	615.0
0.00423	616.0
0.0043	617.0
0.00437	618.0
0.00435	619.0
0.0043	620.0
0.00425	621.0
0.00433	622.0
0.0044	623.0
0.00438	624.0
0.00432	625.0
0.00426	626.0
0.00424	627.0
0.00426	628.0
0.00428	629.0
0.00428	630.0
0.00429	631.0
0.00437	632.0
0.00444	633.0
0.0044	634.0
0.0043100000000000005	635.0
0.0042	636.0
0.00422	637.0
0.00433	638.0
0.00446	639.0
0.004520000000000001	640.0
0.0045000000000000005	641.0
0.00449	642.0
0.00453	643.0
0.0046	644.0
0.0046500000000000005	645.0
0.00464	646.0
0.00464	647.0
0.00464	648.0
0.0046500000000000005	649.0
0.00471	650.0
0.00472	651.0
0.0046700000000000005	652.0
0.00464	653.0
0.00457	654.0
0.0044800000000000005	655.0
0.00438	656.0
0.00428	657.0
0.00424	658.0
0.00422	659.0
0.00418	660.0
0.00414	661.0
0.00413	662.0
0.00414	663.0
0.00419	664.0
0.00428	665.0
0.00439	666.0
0.00447	667.0
0.004520000000000001	668.0
0.00453	669.0
0.0045000000000000005	670.0
0.004520000000000001	671.0
0.00457	672.0
0.00462	673.0
0.0046300000000000004	674.0
0.00457	675.0
0.00446	676.0
0.00433	677.0
0.00422	678.0
0.00413	679.0
0.00406	680.0
0.00398	681.0
0.00387	682.0
0.00375	683.0
0.0037	684.0
0.00369	685.0
0.00366	686.0
0.00361	687.0
0.0035399999999999997	688.0
0.00348	689.0
0.0034200000000000003	690.0
0.00338	691.0
0.00335	692.0
0.0033100000000000004	693.0
0.0032800000000000004	694.0
0.0032400000000000003	695.0
0.00321	696.0
0.0032400000000000003	697.0
0.0032700000000000003	698.0
0.0032500000000000003	699.0
0.0032300000000000002	700.0
0.0032	701.0
0.00319	702.0
0.00322	703.0
0.0032600000000000003	704.0
0.0032300000000000002	705.0
0.00318	706.0
0.00313	707.0
0.0031	708.0
0.00311	709.0
0.00315	710.0
0.0032	711.0
0.00321	712.0
0.0032	713.0
0.00321	714.0
0.0032600000000000003	715.0
0.00334	716.0
0.0034300000000000003	717.0
0.0035099999999999997	718.0
0.00358	719.0
0.00367	720.0
0.00376	721.0
0.00383	722.0
0.0039000000000000003	723.0
0.0040100000000000005	724.0
0.00415	725.0
0.0043	726.0
0.00447	727.0
0.0046300000000000004	728.0
0.0048	729.0
0.0049900000000000005	730.0
0.0051600000000000005	731.0
0.005350000000000001	732.0
0.005520000000000001	733.0
0.005639999999999999	734.0
0.0057599999999999995	735.0
0.005889999999999999	736.0
0.006	737.0
0.00616	738.0
0.00636	739.0
0.006540000000000001	740.0
0.0068000000000000005	741.0
0.00707	742.0
0.00735	743.0
0.00768	744.0
0.00801	745.0
0.00837	746.0
0.00874	747.0
0.009080000000000001	748.0
0.00941	749.0
0.00972	750.0
0.01001	751.0
0.0103	752.0
0.01059	753.0
0.01089	754.0
0.011200000000000002	755.0
0.011550000000000001	756.0
0.011899999999999999	757.0
0.012270000000000001	758.0
0.012580000000000001	759.0
0.01278	760.0
0.012889999999999999	761.0
0.0129	762.0
0.01273	763.0
0.012490000000000001	764.0
0.01206	765.0
0.01153	766.0
0.01089	767.0
0.010209999999999999	768.0
0.00948	769.0
0.00871	770.0
0.007930000000000001	771.0
0.00719	772.0
0.00653	773.0
0.00596	774.0
0.00553	775.0
0.00515	776.0
0.00481	777.0
0.00451	778.0
0.00426	779.0
0.00409	780.0
0.00391	781.0
0.00378	782.0
0.00366	783.0
0.0036	784.0
0.00357	785.0
0.0035499999999999998	786.0
0.0035299999999999997	787.0
0.00349	788.0
0.00346	789.0
0.00346	790.0
0.00347	791.0
0.00347	792.0
0.00347	793.0
0.0035199999999999997	794.0
0.00359	795.0
0.00369	796.0
0.00379	797.0
0.00387	798.0
0.00393	799.0
0.004030000000000001	800.0
0.00413	801.0
0.00424	802.0
0.00434	803.0
0.00442	804.0
0.004540000000000001	805.0
0.0046700000000000005	806.0
0.00482	807.0
0.0049700000000000005	808.0
0.00511	809.0
0.00527	810.0
0.005470000000000001	811.0
0.00567	812.0
0.00583	813.0
0.00594	814.0
0.00603	815.0
0.00615	816.0
0.0063300000000000006	817.0
0.006540000000000001	818.0
0.00674	819.0
0.0069099999999999995	820.0
0.0070799999999999995	821.0
0.00724	822.0
