nm,mua_oxy[mm-1],mua_deoxy[mm-1],mus_oxy[mm-1],g
251,44.02,48.32,58.64,0.8088
252,42.29,48.89,58.61,0.8126
254,43.58,49.47,58.35,0.8147
256,44.89,50.26,58,0.8164
258,46.38,50.95,57.36,0.8187
260,47.89,51.57,56.99,0.82
262,49.48,52.19,56.6,0.8202
264,51,52.81,56.04,0.8202
266,52.22,53.32,55.26,0.8204
268,53.29,53.83,54.94,0.8205
270,54.13,54.34,54.63,0.821
272,54.59,54.63,54.35,0.8222
274,54.99,54.32,54.42,0.8235
276,54.97,53.92,54.63,0.8251
278,54.63,53.56,54.82,0.8281
280,54.14,53.19,54.99,0.8324
282,53.34,52.77,55.18,0.8374
284,52.3,52.03,55.38,0.8428
286,50.45,50.67,55.56,0.8497
288,48.22,48.72,56,0.8578
290,46.13,45.94,56.72,0.8648
292,43.58,43.08,57.56,0.8713
294,40.5,40.29,58.46,0.8798
296,37.82,37.45,59.36,0.8889
298,35.12,34.81,60.11,0.8976
300,32.52,33.15,60.64,0.9035
302,30.99,32.12,61.01,0.9084
304,30.01,31.25,61.36,0.9142
306,29.69,30.47,61.59,0.9159
308,29.75,30.28,61.28,0.9165
310,30.03,30.95,60.8,0.9159
312,30.73,32.1,60.24,0.9146
314,31.49,33.25,59.59,0.9129
316,32.45,34.43,58.9,0.9088
318,33.76,35.61,58.15,0.9029
320,35.15,36.86,57.5,0.8975
322,36.61,38.22,56.85,0.8938
324,38.03,39.5,56.31,0.8901
326,39.49,40.67,55.96,0.8861
328,40.94,41.7,55.59,0.883
330,42.29,42.61,55.22,0.8797
332,43.46,43.51,54.73,0.8773
334,44.48,44.45,54.4,0.8758
336,45.42,45.94,54.19,0.8743
338,46.02,47.5,53.98,0.8735
340,46.46,48.9,53.8,0.8727
342,46.86,49.89,53.71,0.872
344,47.23,50.81,53.63,0.8719
346,47.14,51.73,53.59,0.8724
348,46.73,52.68,53.54,0.8734
350,46.29,53.76,53.59,0.875
352,45.8,54.73,53.84,0.877
354,45.24,55.68,54.09,0.8793
356,44.37,56.62,54.37,0.8816
358,43.36,57.2,54.7,0.8841
360,42.38,57.74,54.59,0.8863
362,41.67,58.1,54.34,0.8881
364,41.22,58.43,54.08,0.8897
366,40.86,58.76,53.68,0.8913
368,40.72,59.1,53.23,0.892
370,41.14,59.44,52.88,0.8922
372,42.09,59.74,52.49,0.8915
374,43.14,60.04,52,0.8902
376,44.26,60.34,51.33,0.8879
378,45.87,60.67,50.59,0.8851
380,47.86,61.28,49.79,0.8798
382,50.38,61.73,48.64,0.8741
384,54.31,62.83,47.42,0.8675
386,57.72,64.26,46.07,0.8603
388,62.58,65.75,44.93,0.8474
390,68.33,67.75,43.94,0.8379
392,73.62,71.01,43.03,0.8257
394,79.07,74.09,42.33,0.8127
396,84,76.95,41.77,0.7967
398,88.56,79.78,41.17,0.7863
400,93.07,82.54,40.12,0.7734
402,97.4,85.59,41.27,0.7866
404,101.82,89.21,40.25,0.7769
406,106.16,92.73,39.49,0.7726
408,110.73,96.09,38.9,0.7657
410,113.81,99.87,38.6,0.7604
412,116.09,104.21,38.95,0.7575
414,117.97,108.92,39.87,0.7585
416,118.04,114.03,41.09,0.7606
418,117.22,119.62,42.38,0.7657
420,115.39,125.1,43.91,0.7742
422,111.45,131.52,46.42,0.7896
424,106.3,139.37,49.9,0.802
426,100.61,145.3,52.74,0.8141
428,94.94,151.01,55.61,0.829
430,89.18,155.62,57.55,0.839
432,82.69,159.31,60.51,0.8568
434,74.61,158.3,62.65,0.871
436,66.95,156.93,64.74,0.882
438,58.47,133.73,66.4,0.8928
440,51.07,118.33,68.83,0.9026
442,46.6,107.88,70.39,0.922
444,42.24,88.84,72.82,0.9302
446,38.21,74.3,73.79,0.9343
448,34.26,54.74,75.05,0.9392
450,31.48,33.81,77.2,0.9447
452,29.42,25.94,78.01,0.9488
454,27.66,19.82,78.82,0.952
456,26,17.04,79.42,0.9544
458,24.47,13.61,80.17,0.9567
460,22.82,11.45,80.31,0.9587
462,21.33,10.37,80.37,0.9611
464,20.1,9.64,80.85,0.9634
466,18.97,9.12,81.74,0.9651
468,17.93,8.65,82.77,0.9665
470,17.05,8.29,82.61,0.9677
472,16.3,7.99,83.21,0.9684
474,15.71,7.79,83.5,0.969
476,15.16,7.6,83.81,0.9695
478,14.63,7.44,84.99,0.97
480,14.15,7.31,86.13,0.9705
482,13.67,7.43,86.48,0.9714
484,13.3,7.56,86.75,0.9723
486,12.92,7.69,86.8,0.9731
488,12.54,7.86,86.81,0.9738
490,12.23,8.1,87.02,0.9743
492,11.94,8.35,87.52,0.9748
494,11.65,8.6,88.31,0.9752
496,11.37,8.87,88.75,0.9756
498,11.19,9.17,88.87,0.9759
500,11.05,9.5,88.63,0.9761
502,10.9,9.88,88.23,0.9762
504,10.74,10.25,87.75,0.9762
506,10.59,10.64,86.35,0.9762
508,10.52,10.99,85.75,0.9762
510,10.55,11.41,85.43,0.9763
512,10.74,11.91,85.03,0.9764
514,11.09,12.42,84.54,0.9765
516,11.59,12.92,83.74,0.9765
518,12.34,13.43,82.61,0.9763
520,13.26,13.98,81.42,0.976
522,14.36,14.5,79.88,0.9756
524,15.62,15.22,78.06,0.9751
526,17.17,16.04,76.69,0.9744
528,19.2,16.96,75.28,0.9728
530,20.91,17.82,73.83,0.9707
532,22.48,18.66,72.78,0.9687
534,23.91,19.51,71.83,0.9668
536,25.17,20.37,71.1,0.965
538,26.22,21.25,70.59,0.9637
540,27.13,22.13,70.14,0.9627
542,27.31,23.19,69.93,0.9625
544,26.79,24.01,69.89,0.9625
546,26.06,24.77,70.34,0.9627
548,25.15,25.45,70.86,0.9633
550,23.86,25.99,71.49,0.9642
552,22.54,26.38,72.27,0.9652
554,21.34,26.7,73.12,0.9664
556,20.29,26.8,73.7,0.9677
