Wavelength_nm,R_Calibration_1,R_Calibration_2,R_Calibration_3,R_2mm_1,R_2mm_2,R_2mm_3,T_Calibration_1,T_Calibration_2,T_Calibration_3,T_2mm_1_1,T_2mm_1_2,T_2mm_1_3,T_1mm_1_1,T_1mm_1_2,T_1mm_1_3,T_2mm_2_1,T_2mm_2_2,T_2mm_2_3,T_1mm_2_1,T_1mm_2_2,T_1mm_2_3,T_1mm_3_1,T_1mm_3_2,T_1mm_3_3,T_2mm_3_1,T_2mm_3_2,T_2mm_3_3
250,101.6,101.6,101.4,0.3,0.3,0.3,101.3,100.9,100.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,101.5,101.5,101.3,0.3,0.3,0.3,101.2,101.1,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,101.5,101.4,101.4,0.3,0.3,0.3,101.1,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,101.5,101.4,101.3,0.3,0.3,0.3,101.2,101.1,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,101.5,101.4,101.5,0.3,0.3,0.3,101.3,101.1,101.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,101.6,101.4,101.5,0.3,0.3,0.3,101.3,101.3,101.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,101.5,101.4,101.6,0.3,0.3,0.3,101.3,101.1,101.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,101.5,101.5,101.6,0.3,0.3,0.3,101.4,101.1,101.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,101.5,101.6,101.7,0.3,0.3,0.3,101.2,100.9,101.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,101.6,101.6,101.7,0.3,0.3,0.3,101.3,101.3,101.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,101.4,101.4,101.4,0.3,0.3,0.3,101.1,101.2,101.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,101.4,101.4,101.4,0.3,0.3,0.3,101.2,101.1,101.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,101.4,101.3,101.3,0.3,0.3,0.3,100.9,100.8,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,101.6,101.5,101.4,0.3,0.3,0.3,100.8,100.7,100.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,101.5,101.4,101.3,0.3,0.3,0.3,101,100.9,100.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,101.5,101.4,101.3,0.3,0.3,0.3,101,101,100.9,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0
282,101.4,101.3,101.3,0.3,0.3,0.3,101.1,101,100.9,0,0,0,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
284,101.4,101.5,101.5,0.3,0.3,0.3,100.9,101.1,100.9,0,0.1,0,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1
