Wavelength_nm,D2O_1mm_A_1,D2O_1mm_A_2,D2O_1mm_A_3,T_Calibration_1,T_Calibration_2,T_Calibration_3,D2O_2mm_A_1,D2O_2mm_A_2,D2O_2mm_A_3,D2O_1mm_B_1,D2O_1mm_B_2,D2O_1mm_B_3,D2O_2mm_B_1,D2O_2mm_B_2,D2O_2mm_B_3,D2O_1mm_C_1,D2O_1mm_C_2,D2O_1mm_C_3,D2O_2mm_C_1,D2O_2mm_C_2,D2O_2mm_C_3
250,90.6333,90.5269,90.5373,99.6484,99.4184,99.4253,90.6643,90.6391,90.6424,90.8333,90.8739,90.7552,90.7148,90.6401,90.6877,90.8204,90.6874,90.7534,90.648,90.628,90.8142
252,90.7444,90.6778,90.5844,99.5924,99.4175,99.4599,90.7641,90.7705,90.7799,90.7394,90.9618,90.8181,90.8257,90.7867,90.8072,90.9117,90.8194,90.8778,90.7999,90.7133,90.8806
254,90.6509,90.8265,90.5656,99.4572,99.3978,99.4754,90.8796,90.9185,90.8804,90.6735,90.9191,90.9523,90.9981,90.9106,90.9771,90.8399,90.9035,90.8981,90.8616,90.7456,90.9204
256,90.7461,90.6808,90.6541,99.3827,99.3957,99.3342,90.8682,91.0415,90.7935,90.7389,90.7972,90.8605,91.0018,91.0114,91.074,90.7866,90.8885,90.8168,90.8704,90.8329,90.9654
258,90.68,90.6746,90.6896,99.4626,99.4537,99.3264,91.0359,91.1149,90.8412,90.868,90.7586,90.8797,91.1067,91.0606,91.1493,90.8096,90.9374,90.81,91.0126,90.9476,91.0228
260,90.8484,90.6,90.7704,99.6,99.496,99.375,91.1262,91.1753,90.9454,90.9439,90.8766,90.8753,91.1527,91.1471,91.1562,90.932,90.9856,90.9439,91.1558,91.1335,91.1373
262,90.8644,90.8708,90.8113,99.6766,99.6921,99.5738,91.315,91.2333,91.0247,91.0094,90.9842,91.0322,91.2908,91.2225,91.3496,91.1579,91.08,91.1154,91.3257,91.3045,91.2167
264,90.9476,90.937,90.873,99.6479,99.8369,99.7656,91.3891,91.2999,91.236,91.1809,91.1576,91.2541,91.3921,91.4412,91.3727,91.2724,91.1008,91.169,91.3511,91.3741,91.3377
266,91.0524,91.0885,90.8961,99.5537,99.6942,99.6354,91.4521,91.2924,91.303,91.1856,91.065,91.2831,91.3467,91.4556,91.3761,91.2006,91.1213,91.1662,91.3894,91.3994,91.3427
268,90.9256,91.0098,90.8306,99.5248,99.5624,99.5771,91.3165,91.2894,91.3359,91.1904,90.9344,91.1399,91.3206,91.362,91.2588,91.0186,91.0962,91.0165,91.3488,91.2906,91.2877
270,91.0063,90.9449,90.7923,99.5529,99.3247,99.4906,91.099,91.2072,91.1092,91.0103,90.7788,90.9567,91.1814,91.1441,91.258,90.6988,91.0897,90.9544,91.296,91.2775,91.201
272,91.1096,90.919,90.9939,99.6278,99.5344,99.6715,91.2353,91.2642,91.2602,91.1053,90.8871,91.0624,91.2953,91.3619,91.3103,90.8907,91.2173,91.0758,91.3709,91.3318,91.3223
274,91.1095,90.8522,91.0728,99.6183,99.6196,99.7499,91.4457,91.3092,91.3922,91.0891,91.0177,91.1114,91.3522,91.499,91.3372,91.0295,91.2883,91.2192,91.406,91.398,91.4269
276,91.1553,91.1321,91.1334,99.5688,99.6452,99.707,91.5599,91.3536,91.5706,91.1948,91.0156,91.2184,91.3814,91.6167,91.4938,91.3335,91.4449,91.2986,91.6015,91.4102,91.5939
278,90.9916,91.1727,90.9267,99.5999,99.4978,99.6321,91.3447,91.3859,91.4822,91.1914,91.05,91.0814,91.4192,91.4669,91.498,91.2721,91.4249,91.2126,91.5337,91.3945,91.4975
280,91.2748,91.34,90.9472,99.6142,99.552,99.6218,91.3447,91.3778,91.5052,91.2017,91.1209,91.13,91.4739,91.5328,91.5241,91.2992,91.5448,91.2037,91.5379,91.4275,91.4793
282,91.1462,91.1663,91.0423,99.6015,99.6316,99.6332,91.5023,91.4478,91.5241,91.1879,91.332,91.1128,91.6633,91.5564,91.4334,91.2238,91.3564,91.2165,91.4464,91.4208,91.4461
284,91.1382,91.2019,91.0793,99.5993,99.6669,99.5332,91.4919,91.3453,91.4874,91.14,91.2978,91.0988,91.5438,91.4261,91.3784,91.2402,91.2349,91.2149,91.4726,91.3661,91.3853
286,90.9773,91.0769,91.0845,99.528,99.4925,99.4488,91.4024,91.2979,91.3952,91.1864,91.2001,91.1196,91.444,91.2566,91.3378,91.1727,91.0909,91.1863,91.4803,91.2175,91.2866
288,91.0451,91.0784,90.969,99.607,99.3708,99.3393,91.2962,91.2442,91.3251,90.999,91.0459,91.1127,91.3092,91.1893,91.3444,91.0855,91.1094,91.1813,91.2976,91.2379,91.2401
290,91.0947,91.0874,90.9613,99.4284,99.31,99.4145,91.3155,91.2184,91.3095,91.1252,91.0854,91.1775,91.3543,91.3256,91.3699,91.0239,91.2186,91.2599,91.3138,91.233,91.338
292,91.1223,91.1254,90.9316,99.4303,99.3275,99.2866,91.2917,91.2947,91.3082,91.1047,91.1173,91.1976,91.3162,91.3567,91.3752,91.1005,91.2158,91.3697,91.2864,91.3281,91.3687
294,91.1223,91.2129,91.0265,99.3157,99.3167,99.2919,91.2617,91.3637,91.3873,91.3417,91.22,91.2876,91.3336,91.3805,91.2855,91.2192,91.2362,91.3579,91.3908,91.1957,91.3939
296,91.2656,91.3503,91.223,99.4627,99.4148,99.3737,91.4303,91.5412,91.4519,91.3752,91.3644,91.4315,91.3871,91.4861,91.3755,91.3728,91.3717,91.4068,91.4762,91.3517,91.4707
298,91.4502,91.5199,91.3886,99.6384,99.5169,99.5514,91.6623,91.6799,91.5868,91.5755,91.5878,91.5811,91.5812,91.6144,91.5941,91.6451,91.6008,91.5056,91.6396,91.5607,91.6644
300,91.4566,91.4834,91.414,99.5273,99.5352,99.4481,91.7566,91.6178,91.5284,91.5587,91.5341,91.4646,91.5891,91.551,91.5913,91.6138,91.6462,91.6011,91.7126,91.6576,91.629
302,91.3768,91.3747,91.2925,99.4291,99.4055,99.2788,91.6882,91.5334,91.5866,91.469,91.527,91.4445,91.585,91.4678,91.6039,91.5736,91.5645,91.5501,91.6969,91.6281,91.6311
304,91.313,91.3138,91.2887,99.3324,99.3361,99.2265,91.4808,91.4016,91.4298,91.3084,91.4199,91.3342,91.513,91.4453,91.4569,91.3304,91.3747,91.5395,91.5685,91.5173,91.4618
306,91.2097,91.2703,91.1898,99.3877,99.1878,99.2352,91.3047,91.3394,91.3666,91.2406,91.3703,91.4,91.5136,91.4328,91.391,91.2702,91.2793,91.3837,91.4505,91.5101,91.2482
308,91.376,91.3493,91.4182,99.4322,99.3008,99.3096,91.418,91.4686,91.3423,91.3906,91.3884,91.4469,91.5235,91.5255,91.4031,91.3418,91.2984,91.4734,91.4038,91.4313,91.309
