Wavelength_nm,T_Calibration_1,T_Calibration_2,T_Calibration_3,T_Calibration2_1,T_Calibration2_2,T_Calibration2_3,H2O_2mm_A,H2O_1mm_A,H2O_2mm_B,H2O_1mm_B,H2O_2mm_C,H2O_1mm_C,DMSO_2mm_A,DMSO_1mm_A,DMSO_1mm_B,DMSO_2mm_B,DMSO_1mm_C,DMSO_2mm_C
250,99.5,99.5,99.5,102.6,102.4,102.6,75.6,85.7,93,93.2,93.4,93.6,4.7,14.7,14.8,4.8,14.7,4.9
252,99.5,99.4,99.4,102.4,102.3,102.4,74.7,85.3,93,93.2,93.4,93.4,8.6,21.9,22.1,8.9,22.1,9
254,99.5,99.3,99.3,102.3,102.3,102.3,73.6,84.8,92.9,93.3,93.5,93.3,16,33.4,33.8,16.7,33.8,16.7
256,99.5,99.4,99.5,102.4,102.5,102.3,72.8,84.5,93,93.5,93.6,93.5,25.6,45.6,46.1,26.7,46.1,26.8
258,99.6,99.6,99.5,102.4,102.6,102.4,72.2,84.4,93.1,93.6,93.7,93.7,36.4,56.7,57.4,38.1,57.3,38.1
260,99.6,99.6,99.6,102.5,102.7,102.4,71.7,84.2,93.2,93.5,93.6,93.7,46.7,65.7,66.4,48.9,66.4,48.9
262,99.6,99.5,99.4,102.6,102.6,102.7,71.5,84.1,93.3,93.6,93.6,93.8,55.8,72.7,73.4,58.3,73.5,58.4
264,99.5,99.3,99.4,102.7,102.7,102.9,71.5,84.1,93.5,93.6,93.7,94,63.1,77.8,78.7,66.1,78.6,66.1
266,99.5,99.4,99.3,102.7,102.6,103,71.5,84.1,93.3,93.9,93.9,94,68.8,81.5,82.5,72.3,82.3,72.3
268,99.5,99.4,99.3,102.5,102.5,102.7,71.8,84.1,93.3,94,94,93.9,73.2,84.1,85.2,77,85,77
270,99.7,99.5,99.4,102.4,102.5,102.6,72.2,84.4,93.2,94,94.1,93.9,76.6,86,87.1,80.5,87.1,80.6
272,99.5,99.4,99.4,102.4,102.4,102.5,72.9,84.8,93.4,93.8,94.1,93.9,79,87.4,88.5,83.1,88.6,83.3
274,99.5,99.5,99.5,102.6,102.5,102.6,73.8,85.4,93.5,93.8,94.1,94,80.8,88.5,89.5,85.2,89.7,85.2
276,99.3,99.4,99.3,102.5,102.5,102.4,74.9,85.8,93.6,93.9,94,94.1,82.2,89.5,90.4,86.6,90.5,86.6
278,99.4,99.4,99.4,102.5,102.6,102.4,76.2,86.4,93.5,93.8,93.8,94,83.2,89.9,90.9,87.6,90.9,87.5
280,99.4,99.4,99.3,102.6,102.7,102.4,77.6,87,93.7,93.9,93.8,94.1,84.1,90.4,91.5,88.4,91.4,88.4
282,99.3,99.2,99.2,102.6,102.6,102.6,79,87.5,93.7,93.8,93.9,94.1,84.7,90.5,91.7,88.9,91.7,89
284,99.4,99.3,99.3,102.5,102.6,102.6,80.6,88.2,93.8,93.8,94.1,94.1,85.4,90.9,92,89.3,92.1,89.5
286,99.4,99.4,99.5,102.3,102.4,102.5,82.2,88.8,93.7,93.8,94,94,85.8,91.1,92,89.6,92.1,89.7
288,99.5,99.6,99.6,102.4,102.5,102.5,83.9,89.9,93.9,94,94.1,94.1,86.5,91.5,92.3,90,92.3,90.2
290,99.4,99.5,99.4,102.6,102.6,102.7,85.6,90.6,94.1,94.2,94.1,94.3,87.1,91.8,92.6,90.4,92.5,90.6
292,99.5,99.5,99.5,102.7,102.7,102.7,87.2,91.4,94.3,94.3,94.3,94.3,87.8,92.1,92.9,90.9,92.8,91.1
294,99.5,99.5,99.5,102.5,102.6,102.5,88.4,91.8,94.1,94.1,94.3,94.1,88.3,92.1,93,91.2,92.9,91.2
296,99.5,99.5,99.7,102.3,102.5,102.4,89.5,92.3,94.1,94,94.2,94.1,88.8,92.3,93,91.4,93,91.4
298,99.5,99.5,99.4,102.3,102.4,102.4,90.6,92.8,94.2,94,94.3,94.1,89.3,92.5,93.1,91.7,93.1,91.7
300,99.6,99.6,99.4,102.5,102.5,102.6,91.6,93.3,94.3,94.2,94.4,94.3,89.9,92.8,93.4,92.1,93.3,92.1
302,99.6,99.7,99.5,102.5,102.5,102.5,92.3,93.6,94.3,94.3,94.5,94.2,90.5,93,93.5,92.3,93.4,92.4
304,99.6,99.6,99.7,102.5,102.5,102.4,92.7,93.7,94.2,94.2,94.5,94.2,90.8,93.1,93.6,92.5,93.4,92.5
306,99.3,99.5,99.6,102.4,102.4,102.2,93.1,93.7,94.3,94.1,94.4,94.2,91.3,93.2,93.7,92.6,93.4,92.6
308,99.4,99.4,99.5,102.6,102.6,102.4,93.6,94,94.6,94.2,94.6,94.5,91.8,93.6,93.9,92.9,93.7,92.8
310,99.3,99.4,99.5,102.6,102.7,102.5,94,94.2,94.7,94.4,94.7,94.5,92.4,94,94.1,93.2,94,93.1
312,99.4,99.3,99.5,102.7,102.8,102.5,94.2,94.4,94.7,94.5,94.6,94.5,92.8,94.2,94.1,93.3,94.2,93.4
314,99.2,99.3,99.4,102.7,102.5,102.5,94.4,94.5,94.8,94.5,94.6,94.5,93.1,94.3,94.2,93.4,94.4,93.5
316,99.3,99.4,99.4,102.7,102.6,102.6,94.5,94.7,95,94.4,94.6,94.5,93.4,94.3,94.3,93.7,94.5,93.7
318,99.3,99.4,99.4,102.7,102.4,102.7,94.7,94.7,95,94.5,94.6,94.6,93.7,94.4,94.5,94,94.5,93.8
320,99.5,99.4,99.4,102.5,102.6,102.6,94.6,94.7,94.7,94.4,94.6,94.4,93.7,94.2,94.4,94,94.5,94.1
322,99.4,99.2,99.2,102.5,102.5,102.6,94.5,94.5,94.5,94.5,94.6,94.6,93.9,94.2,94.5,94,94.4,94.1
324,99.4,99.2,99.1,102.5,102.5,102.4,94.6,94.4,94.6,94.5,94.6,94.7,94,94.4,94.6,94,94.5,94.3
326,99.3,99.2,99.1,102.6,102.5,102.5,94.7,94.4,94.7,94.6,94.6,94.9,94.3,94.7,94.8,94.2,94.6,94.3
328,99.4,99.4,99.2,102.5,102.6,102.4,94.7,94.3,94.8,94.5,94.7,94.8,94.3,94.8,94.8,94.4,94.6,94.5
330,99.5,99.6,99.2,102.4,102.4,102.3,94.6,94.3,94.6,94.4,94.7,94.6,94.4,94.6,94.7,94.5,94.5,94.4
