Wavelength_nm,T_calibration_1,T_calibration_2,T_calibration_3,HbO2_A_1mm_1,HbO2_A_1mm_2,HbO2_A_1mm_3,HbO2_A_2mm_1,HbO2_A_2mm_2,HbO2_A_2mm_3,HbO2_B_1mm_1,HbO2_B_1mm_2,HbO2_B_1mm_3,HbO2_B_2mm_1,HbO2_B_2mm_2,HbO2_B_2mm_3,HbO2_C_1mm_1,HbO2_C_1mm_2,HbO2_C_1mm_3,HbO2_C_2mm_1,HbO2_C_2mm_2,HbO2_C_2mm_3
250,98.5,98.5,98.5,16.9,16.9,16.9,3.2,3.1,3.1,16.4,16.5,16.4,3.1,3.1,3.1,17.9,17.9,17.9,3.6,3.6,3.6
252,98.4,98.4,98.5,16.9,16.9,16.9,3.2,3.2,3.2,16.4,16.5,16.5,3.1,3.1,3.1,17.9,18,17.9,3.6,3.6,3.6
254,98.4,98.4,98.4,16.8,16.8,16.8,3.1,3.1,3.1,16.3,16.4,16.3,3,3,3,17.7,17.8,17.8,3.5,3.5,3.5
256,98.4,98.5,98.5,16.3,16.4,16.3,2.9,2.9,2.9,15.8,15.8,15.9,2.8,2.8,2.9,17.3,17.3,17.3,3.3,3.3,3.3
258,98.5,98.5,98.5,15.6,15.6,15.6,2.7,2.7,2.7,15.1,15.1,15.1,2.6,2.6,2.6,16.5,16.5,16.5,3,3,3
260,98.4,98.6,98.4,14.7,14.7,14.7,2.4,2.4,2.4,14.3,14.2,14.2,2.3,2.3,2.3,15.6,15.6,15.6,2.7,2.7,2.7
262,98.5,98.4,98.5,13.8,13.8,13.8,2.1,2.1,2.1,13.4,13.4,13.4,2.1,2,2.1,14.8,14.7,14.7,2.4,2.4,2.4
264,98.5,98.6,98.3,13,13,13,1.9,1.9,1.9,12.6,12.6,12.6,1.8,1.8,1.8,13.9,13.9,13.9,2.2,2.2,2.2
266,98.5,98.5,98.4,12.3,12.3,12.3,1.7,1.7,1.7,11.9,11.9,11.9,1.6,1.6,1.6,13.2,13.2,13.1,1.9,1.9,1.9
268,98.2,98.5,98.2,11.7,11.7,11.7,1.5,1.5,1.5,11.3,11.3,11.3,1.5,1.5,1.5,12.5,12.6,12.5,1.8,1.8,1.8
270,98.3,98.5,98.4,11.3,11.3,11.3,1.4,1.4,1.4,10.9,10.9,10.9,1.4,1.3,1.3,12.1,12.1,12.1,1.6,1.6,1.6
272,98.5,98.5,98.4,11,11,11,1.3,1.3,1.3,10.6,10.6,10.6,1.3,1.3,1.3,11.8,11.8,11.8,1.6,1.6,1.5
274,98.7,98.4,98.5,10.9,10.9,10.9,1.3,1.3,1.3,10.5,10.5,10.5,1.3,1.3,1.2,11.7,11.7,11.7,1.5,1.5,1.5
276,98.7,98.5,98.4,10.9,10.9,10.9,1.3,1.3,1.3,10.5,10.6,10.5,1.3,1.3,1.3,11.7,11.7,11.7,1.5,1.5,1.5
278,98.7,98.7,98.7,11.2,11.2,11.1,1.4,1.4,1.4,10.8,10.8,10.7,1.3,1.3,1.3,12,12,12,1.6,1.6,1.6
280,98.5,98.7,98.6,11.6,11.6,11.6,1.5,1.5,1.5,11.2,11.2,11.2,1.4,1.4,1.4,12.4,12.4,12.4,1.7,1.7,1.7
282,98.4,98.6,98.5,12.3,12.3,12.3,1.7,1.7,1.7,11.9,11.9,11.8,1.6,1.6,1.6,13.1,13.2,13.1,1.9,1.9,1.9
284,98.4,98.4,98.2,13.2,13.3,13.2,2,2,1.9,12.8,12.8,12.8,1.9,1.9,1.9,14.1,14.2,14.1,2.2,2.3,2.3
286,98.4,98.5,98.2,14.6,14.6,14.6,2.4,2.4,2.4,14.1,14.1,14.1,2.3,2.3,2.3,15.5,15.5,15.5,2.7,2.7,2.7
