Wavelength_nm,T_Calibration_Hb_1,T_Calibration_Hb_2,T_Calibration_Hb_3,Hb_A_1mm_1,Hb_A_1mm_2,Hb_A_1mm_3,Hb_A_2mm_1,Hb_A_2mm_2,Hb_A_2mm_3,Hb_B_1mm_1,Hb_B_1mm_2,Hb_B_1mm_3,Hb_B_2mm_1,Hb_B_2mm_2,Hb_B_2mm_3,Hb_C_1mm_1,Hb_C_1mm_2,Hb_C_1mm_3,Hb_C_2mm_1,Hb_C_2mm_2,Hb_C_2mm_3
250,99.5,99.2,99.2,11,11.3,11.7,1.5,1.6,1.6,9,9.4,9.8,1.2,1.3,1.4,11.2,11.5,11.9,1.8,1.8,1.9
252,99.5,99.2,99.2,11.2,11.6,11.9,1.6,1.7,1.7,9.2,9.6,10,1.3,1.4,1.5,11.4,11.8,12.2,1.8,1.9,2
254,99.6,99.5,99.5,11.6,11.9,12.2,1.7,1.7,1.8,9.5,9.9,10.3,1.4,1.5,1.5,11.7,12.1,12.5,1.9,2,2.1
256,99.6,99.6,99.5,11.7,12.1,12.4,1.7,1.8,1.8,9.6,10.1,10.5,1.4,1.5,1.6,11.8,12.2,12.7,2,2,2.1
258,99.7,99.7,99.7,11.8,12.1,12.4,1.8,1.8,1.8,9.7,10.1,10.6,1.4,1.5,1.6,11.8,12.2,12.7,1.9,2,2.1
260,99.6,99.6,99.6,11.7,12,12.3,1.7,1.7,1.8,9.7,10.1,10.5,1.4,1.5,1.6,11.8,12.2,12.6,1.9,2,2.1
262,99.6,99.7,99.7,11.5,11.9,12.2,1.7,1.7,1.7,9.6,10,10.4,1.4,1.5,1.5,11.7,12,12.4,1.8,1.9,2
264,99.5,99.7,99.6,11.4,11.7,12.1,1.6,1.7,1.7,9.5,9.9,10.3,1.3,1.4,1.5,11.5,11.9,12.2,1.8,1.9,1.9
266,99.6,99.7,99.6,11.2,11.6,11.9,1.6,1.6,1.6,9.4,9.8,10.2,1.3,1.4,1.5,11.4,11.7,12.1,1.7,1.8,1.9
268,99.5,99.7,99.6,11.1,11.4,11.7,1.5,1.6,1.6,9.3,9.7,10.1,1.3,1.3,1.4,11.2,11.5,11.9,1.7,1.8,1.8
