Wavelength_nm,T_Calibration_1,T_Calibration_2,T_Calibration_3,Melanin_1mm_A_1,Melanin_1mm_A_2,Melanin_1mm_A_3,Melanin_2mm_A_1,Melanin_2mm_A_2,Melanin_2mm_A_3,Melanin_1mm_B_1,Melanin_1mm_B_repeat_1,Melanin_1mm_B_repeat_2,Melanin_1mm_B_repeat_3,Melanin_2mm_B_1,Melanin_2mm_B_2,Melanin_2mm_B_3,Melanin_1mm_C_1,Melanin_1mm_C_2,Melanin_1mm_C_3,Melanin_2mm_C_1,Melanin_2mm_C_2,Melanin_2mm_C_3,Melanin_1mm_A_repeat_1,Melanin_1mm_A_repeat_2,Melanin_1mm_A_repeat_3,Melanin_2mm_A_repeat_1,Melanin_2mm_A_repeat_2,Melanin_2mm_A_repeat_3,T_Calibration_repeat_1,T_Calibration_repeat_2,T_Calibration_repeat_3
250,99.8,100.1,99.7,0.6,0.6,0.6,0,0,0,,0.4,0.4,0.4,0,0,0,1.2,1.2,1.2,0,0,0,0.7,0.7,0.7,0,0,0,98,98.1,98.1
252,99.9,100,99.7,0.9,1,0.9,0,0,0,,0.6,0.6,0.6,0,0,0,1.9,1.9,1.9,0.1,0.1,0.1,1,1,1,0,0,0,98,98.1,98.1
254,100.1,100,99.8,1.5,1.5,1.5,0,0,0,,1,1,1,0,0,0,3,2.9,3,0.1,0.1,0.1,1.6,1.6,1.6,0,0,0,98,98.1,98
256,100.2,99.9,99.9,2.1,2.1,2.1,0.1,0.1,0.1,,1.4,1.4,1.4,0,0,0,4.1,4.1,4.1,0.2,0.2,0.2,2.2,2.2,2.2,0.1,0.1,0.1,97.9,98.1,97.9
258,100.2,100,100.1,2.8,2.7,2.7,0.1,0.1,0.1,,1.8,1.8,1.9,0,0,0,5.3,5.3,5.3,0.3,0.3,0.3,2.8,2.8,2.8,0.1,0.1,0.1,98,98.1,97.9
260,100,100,100,3.3,3.3,3.3,0.1,0.1,0.1,,2.2,2.2,2.2,0.1,0.1,0.1,6.2,6.3,6.3,0.4,0.5,0.5,3.3,3.3,3.3,0.1,0.1,0.1,98.1,98.2,98.1
262,100,100,100,3.7,3.8,3.7,0.2,0.2,0.2,,2.5,2.5,2.6,0.1,0.1,0.1,7.1,7.1,7.1,0.6,0.6,0.6,3.8,3.8,3.8,0.2,0.2,0.2,98.3,98.2,98.2
264,100,100,100,4.1,4.2,4.2,0.2,0.2,0.2,,2.8,2.8,2.8,0.1,0.1,0.1,7.8,7.7,7.8,0.7,0.7,0.7,4.2,4.1,4.2,0.2,0.2,0.2,98.2,98.2,98.1
266,100.1,100.1,100.1,4.5,4.5,4.5,0.2,0.2,0.2,,3.1,3.1,3.1,0.1,0.1,0.1,8.3,8.3,8.4,0.8,0.8,0.8,4.5,4.5,4.5,0.2,0.2,0.2,98,98.1,97.8
268,100,99.9,100.1,4.8,4.8,4.8,0.3,0.3,0.3,,3.3,3.3,3.3,0.1,0.1,0.1,8.8,8.8,8.9,0.8,0.8,0.8,4.8,4.8,4.8,0.3,0.3,0.3,98,98,97.7
