nm	mua[cm-1]	musp[cm-1]
450.0	0.1601	6.429
452.0	0.1616	6.462
454.0	0.1655999999999999	6.454
456.0	0.1631	6.42
458.0	0.1664	6.43
460.0	0.1649	6.414
462.0	0.1694999999999999	6.391
464.0	0.1636999999999999	6.399
466.0	0.1655999999999999	6.372999999999999
468.0	0.1641	6.329000000000001
470.0	0.1652	6.363
472.0	0.1608	6.33
474.0	0.1593	6.303999999999999
476.0	0.1644	6.289
478.0	0.1611	6.321
480.0	0.1604	6.288
482.0	0.1628	6.276000000000001
484.0	0.1619999999999999	6.248
486.0	0.1631	6.231
488.0	0.164	6.228
490.0	0.1619999999999999	6.206
492.0	0.1642	6.212
494.0	0.1629	6.165000000000001
496.0	0.1667	6.197
498.0	0.1606	6.118
500.0	0.1621	6.127000000000001
502.0	0.1621999999999999	6.114000000000001
504.0	0.1606	6.082999999999999
506.0	0.1627	6.096
508.0	0.1643	6.0840000000000005
510.0	0.1631	6.061
512.0	0.1626	6.047000000000001
514.0	0.16	6.010999999999999
516.0	0.1623	6.032
518.0	0.1619	6.009
520.0	0.1604	5.997
522.0	0.1626	5.954000000000001
524.0	0.1597	5.949999999999999
526.0	0.1588	5.920999999999999
528.0	0.1619999999999999	5.934
530.0	0.1611999999999999	5.918
532.0	0.1632	5.896
534.0	0.1604999999999999	5.894
536.0	0.1619	5.865
538.0	0.1628	5.868
540.0	0.1633	5.835
542.0	0.1621	5.819
544.0	0.1596	5.791
546.0	0.1594999999999999	5.775
548.0	0.1583999999999999	5.77
550.0	0.1589	5.739999999999999
552.0	0.1585	5.716
554.0	0.1596	5.747
556.0	0.1597	5.694
558.0	0.1613	5.711
560.0	0.1588	5.694
562.0	0.1606	5.656
564.0	0.1597	5.659999999999999
566.0	0.1582	5.651000000000001
568.0	0.1598	5.623
570.0	0.1621	5.635
572.0	0.1621	5.613
574.0	0.1613	5.597
576.0	0.1603	5.593
578.0	0.1594999999999999	5.571000000000001
580.0	0.1604	5.5440000000000005
