nm	mua[cm-1]	musp[cm-1]
450.0	1.125	5.065235387485423
452.0	1.111	5.027587476132602
454.0	1.105	4.990551083927468
456.0	1.107	4.954112025630703
458.0	1.101	4.918256523697677
460.0	1.099	4.882971194584681
462.0	1.104	4.848243035576809
464.0	1.107	4.8140594121153555
466.0	1.108	4.780408045603631
468.0	1.086	4.747277001671088
470.0	1.082	4.71465467887658
472.0	1.085	4.6825297978324265
474.0	1.084	4.650891390731865
476.0	1.076	4.619728791263181
478.0	1.083	4.5890316248946235
480.0	1.079	4.558789799514933
482.0	1.06	4.528993496414954
484.0	1.065	4.499633161596484
486.0	1.059	4.47069949739513
488.0	1.0539999999999998	4.442183454404527
490.0	1.052	4.414076223689824
492.0	1.056	4.38636922927888
494.0	1.042	4.3590541209201525
496.0	1.043	4.332122767096681
498.0	1.037	4.3055672482860885
500.0	1.042	4.279379850456921
502.0	1.03	4.2535530587921
504.0	1.027	4.228079551630615
506.0	1.031	4.202952194619012
508.0	1.024	4.178164035064552
510.0	1.024	4.153708296482291
512.0	1.029	4.129578373328642
514.0	1.017	4.1057678259143024
516.0	1.011	4.0822703754897205
518.0	1.009	4.0590798994965835
520.0	1.011	4.036190426979037
522.0	1.008	4.013596134148672
524.0	1.002	3.9912913400974777
526.0	0.9942	3.9692705026532944
528.0	0.9918	3.9475282143724364
530.0	0.9984	3.9260591986644378
532.0	0.9851	3.904858306044036
534.0	0.9848	3.8839205105057353
536.0	0.9842	3.863240906016463
538.0	0.976	3.842814703122028
540.0	0.9711	3.822637225663235
542.0	0.9695	3.8027039075977176
544.0	0.9715	3.7830102899236615
546.0	0.9663	3.7635520177017767
548.0	0.965	3.74432483717201
550.0	0.9636	3.725324592961618
552.0	0.9649	3.706547225381374
554.0	0.9556	3.6879887678067766
556.0	0.9509	3.6696453441412977
558.0	0.9459	3.651513166358764
560.0	0.9479	3.633588532122131
562.0	0.9394	3.6158678224759773
564.0	0.9448	3.5983474996101754
566.0	0.9399	3.58102410469227
568.0	0.9357	3.5638942557662063
570.0	0.9274	3.546954645715134
572.0	0.9291	3.530202040286094
574.0	0.9352	3.513633276174485
576.0	0.9286	3.497245259166283
578.0	0.9234	3.4810349623360644
580.0	0.916	3.4649994242989424
582.0	0.9126	3.449135747514633
584.0	0.9133	3.4334410966418796
586.0	0.9123	3.4179126969415785
588.0	0.9113	3.402547832726988
590.0	0.9084	3.3873438458594514
592.0	0.9016	3.37229813428815
594.0	0.9049	3.357408150632434
596.0	0.9025	3.342671400805333
598.0	0.9017	3.328085442676918
600.0	0.8931	3.313647884776203
602.0	0.8877999999999999	3.2993563850303556
604.0	0.8881	3.2852086495400004
606.0	0.8906000000000001	3.271202431389461
608.0	0.8813	3.257335529490822
610.0	0.8831	3.2436057874607322
612.0	0.8795999999999999	3.2300110925288976
614.0	0.8767999999999999	3.2165493744772777
616.0	0.8705	3.203218604608999
618.0	0.8653	3.1900167947460565
620.0	0.8624999999999999	3.176941996254906
622.0	0.8631	3.1639922990990597
624.0	0.8567	3.1511658309178605
626.0	0.8559	3.1384607561306157
628.0	0.8555	3.1258752750652943
630.0	0.857	3.1134076231110526
632.0	0.8491	3.101056069893838
634.0	0.8495999999999999	3.0888189184743653
636.0	0.8425	3.0766945045677967
638.0	0.8394	3.064681195784442
640.0	0.8351999999999999	3.052777390890868
642.0	0.8341999999999999	3.040981519090774
644.0	0.839	3.0292920393250586
646.0	0.8309	3.017707439590491
