nm	mua[cm-1]	musp[cm-1]
450.0	0.9255	10.05
452.0	0.9217	10.05
454.0	0.9192	10.0
456.0	0.9169	10.08
458.0	0.9182	9.985
460.0	0.9185	9.972
462.0	0.9207	9.9
464.0	0.9097	9.889
466.0	0.9105	9.862
468.0	0.9103	9.854
470.0	0.9108	9.884
472.0	0.9074	9.781
474.0	0.9082	9.784
476.0	0.9075	9.734
478.0	0.9129	9.779
480.0	0.9036	9.704
482.0	0.9081	9.726
484.0	0.9087	9.632
486.0	0.9003	9.672
488.0	0.9054	9.676
490.0	0.9028	9.648
492.0	0.9018	9.592
494.0	0.8959	9.565
496.0	0.8928	9.522
498.0	0.8948	9.509
500.0	0.8977	9.508
502.0	0.8926000000000001	9.477
504.0	0.8998	9.44
506.0	0.8977999999999999	9.449
508.0	0.9024	9.39
510.0	0.9137	9.411
512.0	0.9165	9.333
514.0	0.9233	9.327
516.0	0.9302	9.308
518.0	0.9316	9.28
520.0	0.9296	9.252
522.0	0.927	9.237
524.0	0.9213	9.214
526.0	0.9168	9.166
528.0	0.9076	9.143
530.0	0.8974	9.119
532.0	0.8927	9.082
534.0	0.8916999999999999	9.071
536.0	0.8871	9.068
538.0	0.8842	9.034
540.0	0.8881	9.008
542.0	0.8906000000000001	9.002
544.0	0.8978999999999999	8.985
546.0	0.902	8.954
548.0	0.9017	8.916
550.0	0.9107	8.885
552.0	0.921	8.929
554.0	0.9154	8.871
556.0	0.9107	8.863
558.0	0.9002	8.847000000000001
560.0	0.8916999999999999	8.819
562.0	0.8831	8.788
564.0	0.8701000000000001	8.812
566.0	0.8582	8.774999999999999
568.0	0.8452	8.743
570.0	0.8319	8.693
572.0	0.8240000000000001	8.702
574.0	0.8177	8.639
576.0	0.8190999999999999	8.606
578.0	0.8172999999999999	8.581
580.0	0.8203	8.552
582.0	0.8204	8.530999999999999
584.0	0.8192	8.485
586.0	0.8187	8.462
588.0	0.8192	8.407
590.0	0.8196000000000001	8.399
592.0	0.8216	8.394
594.0	0.8150000000000001	8.382
596.0	0.8097	8.362
598.0	0.8116	8.322000000000001
600.0	0.8043	8.299
602.0	0.8026	8.274000000000001
604.0	0.7972	8.251
606.0	0.7927	8.238999999999999
608.0	0.7944	8.217
610.0	0.7902	8.203
612.0	0.7907	8.17
614.0	0.7897	8.156
616.0	0.7896000000000001	8.137
618.0	0.7875	8.106
620.0	0.7927	8.075
622.0	0.7942	8.063
624.0	0.7951999999999999	8.015
626.0	0.7958	8.003
628.0	0.7951999999999999	7.972
630.0	0.7971	7.98
632.0	0.7968999999999999	7.931
634.0	0.7994999999999999	7.914
636.0	0.7971	7.907
638.0	0.7985	7.884
640.0	0.7971	7.845
642.0	0.7954	7.816999999999999
644.0	0.7928999999999999	7.805999999999999
646.0	0.7929999999999999	7.782
648.0	0.7908	7.772
650.0	0.7898	7.745999999999999
652.0	0.7867999999999999	7.725
654.0	0.7833	7.702
656.0	0.7839	7.681
658.0	0.7790999999999999	7.66
660.0	0.7797999999999999	7.640000000000001
662.0	0.7767999999999999	7.612
664.0	0.7763	7.592
666.0	0.7705	7.572999999999999
668.0	0.7711999999999999	7.538
670.0	0.7718	7.528
672.0	0.7691000000000001	7.508
674.0	0.7672	7.476000000000001
676.0	0.7668999999999999	7.462
678.0	0.7639	7.442
680.0	0.7654	7.427
682.0	0.7618999999999999	7.41
684.0	0.7606999999999999	7.39
686.0	0.7575999999999999	7.379
688.0	0.7581	7.34
690.0	0.7539	7.324000000000001
692.0	0.7539	7.307
694.0	0.7545000000000001	7.282999999999999
696.0	0.7528	7.271999999999999
698.0	0.7506999999999999	7.252999999999999
700.0	0.7479	7.21
702.0	0.7469000000000001	7.199999999999999
704.0	0.7451000000000001	7.182
706.0	0.7430000000000001	7.161
708.0	0.7404	7.142
710.0	0.7401000000000001	7.128
712.0	0.7363999999999999	7.104
714.0	0.7363999999999999	7.093
716.0	0.7323999999999999	7.073
718.0	0.7327	7.041
720.0	0.7317	7.027
722.0	0.7293	7.005
724.0	0.7259	6.984
726.0	0.7261	6.971
728.0	0.7233	6.9430000000000005
730.0	0.7221	6.928
732.0	0.7198	6.912000000000001
734.0	0.7188	6.894
736.0	0.7178	6.871
738.0	0.7162000000000001	6.851000000000001
740.0	0.7154	6.847
742.0	0.7147000000000001	6.8100000000000005
744.0	0.7139	6.801
746.0	0.7131	6.773
748.0	0.7113	6.768
750.0	0.7105	6.751
752.0	0.7086000000000001	6.7090000000000005
754.0	0.7073	6.688
756.0	0.708	6.67
758.0	0.7052999999999999	6.646
760.0	0.7030000000000001	6.624
762.0	0.7027	6.625
764.0	0.7009	6.582
766.0	0.6993	6.582
768.0	0.6913999999999999	6.548
770.0	0.6918000000000001	6.541
772.0	0.6880999999999999	6.526999999999999
774.0	0.6830999999999999	6.505
776.0	0.6815	6.488
778.0	0.6789000000000001	6.463
780.0	0.6796000000000001	6.447000000000001
782.0	0.6779000000000001	6.437
784.0	0.6722	6.408
786.0	0.6715	6.390000000000001
788.0	0.6669	6.378
790.0	0.6645	6.352
792.0	0.6648999999999999	6.337000000000001
