nm	mua[cm-1]
450.0	156.1
452.0	163.79999999999998
454.0	134.3
456.0	116.3
458.0	97.72999999999999
460.0	85.33000000000001
462.0	75.92
464.0	72.66
466.0	70.22
468.0	66.42000000000002
470.0	62.91
472.0	60.24
474.0	63.86999999999999
476.0	60.51
478.0	60.949999999999996
480.0	60.35
482.0	61.519999999999996
484.0	61.96
486.0	63.6
488.0	64.33
490.0	65.53999999999999
492.0	67.30999999999999
494.0	70.63
496.0	72.30000000000001
498.0	72.53
500.0	75.92999999999999
502.0	81.54
504.0	81.01
506.0	88.11
508.0	86.3
510.0	92.36999999999999
512.0	95.38
514.0	100.6
516.0	103.64999999999999
518.0	105.69999999999999
520.0	111.9
522.0	112.6
524.0	117.49999999999999
526.0	122.6
528.0	128.55
530.0	132.6
532.0	138.0
534.0	145.15
536.0	153.79999999999998
538.0	163.2
540.0	170.4
542.0	157.65
544.0	191.0
546.0	193.9
548.0	197.8
550.0	175.2
552.0	206.55
554.0	153.5
556.0	211.10000000000002
558.0	204.15
560.0	174.25
562.0	197.4
564.0	200.59999999999997
566.0	195.1
568.0	161.20000000000002
570.0	132.9
572.0	171.0
574.0	166.0
576.0	158.5
578.0	115.6
580.0	146.0
582.0	142.05
584.0	136.85
586.0	98.14
588.0	121.0
590.0	113.79999999999998
592.0	103.1
594.0	96.08
596.0	85.35
598.0	74.495
600.0	68.34
600.0	46.89
602.0	45.96
604.0	43.85
606.0	41.415000000000006
608.0	39.28
610.0	33.42
612.0	31.0
614.0	28.475
616.0	28.935
618.0	27.44
620.0	25.81
622.0	24.02
624.0	23.730000000000004
626.0	22.770000000000003
628.0	21.98
630.0	21.27
632.0	20.55
634.0	19.975
636.0	18.340000000000003
638.0	19.1
640.0	18.54
642.0	18.18
644.0	17.82
646.0	17.450000000000003
648.0	17.18
650.0	17.08
652.0	16.814999999999998
654.0	16.48
656.0	16.259999999999998
658.0	15.99
660.0	15.73
662.0	14.81
664.0	14.985
666.0	14.66
668.0	14.17
670.0	13.68
672.0	13.22
674.0	12.76
676.0	12.24
678.0	11.84
680.0	11.36
682.0	10.97
684.0	10.51
686.0	10.14
688.0	9.732
690.0	9.386
692.0	9.043
694.0	8.743
696.0	8.476
698.0	8.202
700.0	7.957
702.0	7.737
704.0	7.564999999999999
706.0	7.348
708.0	7.168
710.0	6.961
712.0	6.785
714.0	6.61
716.0	6.437
718.0	6.277
720.0	6.122999999999999
722.0	5.968999999999999
724.0	5.839
726.0	5.739999999999999
728.0	5.644
730.0	5.587
732.0	5.575
734.0	5.58
736.0	5.635
738.0	5.703
740.0	5.818
742.0	5.955
744.0	6.14
746.0	6.331
748.0	6.578
750.0	6.776
752.0	7.032
754.0	7.201
756.0	7.329
758.0	7.354000000000001
760.0	7.278
762.0	7.173
764.0	6.945
766.0	6.66
768.0	6.359
770.0	6.034000000000001
772.0	5.713
774.0	5.383
776.0	5.111
778.0	4.863
780.0	4.627
782.0	4.434
784.0	4.265
786.0	4.123
788.0	4.006
790.0	3.891
792.0	3.786
794.0	3.707
796.0	3.642
798.0	3.573
800.0	3.515
802.0	3.4810000000000003
804.0	3.4250000000000003
806.0	3.39
808.0	3.356
810.0	3.326
812.0	3.317
814.0	3.286
816.0	3.286
818.0	3.273
820.0	3.252
822.0	3.245
824.0	3.236
826.0	3.2350000000000003
828.0	3.229
830.0	3.231
832.0	3.2379999999999995
834.0	3.234
836.0	3.233
838.0	3.23
840.0	3.244
842.0	3.2350000000000003
