nm	mua[cm-1]
429.0	0.0828
430.0	0.08216
431.0	0.08158
432.0	0.08069000000000001
433.0	0.07927
434.0	0.07832
435.0	0.07721
436.0	0.07652
437.0	0.07623
438.0	0.0756
439.0	0.07474
440.0	0.07383
441.0	0.07244
442.0	0.07104
443.0	0.07
444.0	0.06899
445.0	0.06811
446.0	0.06729
447.0	0.06659
448.0	0.06571
449.0	0.06464
450.0	0.06375
451.0	0.06291000000000001
452.0	0.0621
453.0	0.06135
454.0	0.06049
455.0	0.059500000000000004
456.0	0.05837
457.0	0.057510000000000006
458.0	0.05663000000000001
459.0	0.05593
460.0	0.05523
461.0	0.054130000000000005
462.0	0.05288
463.0	0.05144
464.0	0.049850000000000005
465.0	0.04846
466.0	0.0472
467.0	0.04594
468.0	0.045129999999999997
469.0	0.044340000000000004
470.0	0.04327
471.0	0.04208
472.0	0.040839999999999994
473.0	0.03961
474.0	0.03843
475.0	0.037320000000000006
476.0	0.03635
477.0	0.035339999999999996
478.0	0.03452
479.0	0.03386
480.0	0.03315
481.0	0.03261
482.0	0.031920000000000004
483.0	0.03109
484.0	0.03013
485.0	0.02919
486.0	0.028319999999999998
487.0	0.0275
488.0	0.026760000000000003
489.0	0.02597
490.0	0.025150000000000002
491.0	0.02437
492.0	0.02368
493.0	0.02298
494.0	0.0225
495.0	0.02193
496.0	0.021240000000000002
497.0	0.0206
498.0	0.01998
499.0	0.01942
500.0	0.01906
501.0	0.01875
502.0	0.01828
503.0	0.01776
504.0	0.017240000000000002
505.0	0.01683
506.0	0.016479999999999998
507.0	0.016200000000000003
508.0	0.01576
509.0	0.015340000000000001
510.0	0.015009999999999999
511.0	0.014750000000000001
512.0	0.014570000000000001
513.0	0.01432
514.0	0.01403
515.0	0.013680000000000001
516.0	0.013300000000000001
517.0	0.01298
518.0	0.012700000000000001
519.0	0.01246
520.0	0.012310000000000001
521.0	0.012110000000000001
522.0	0.011890000000000001
523.0	0.01165
524.0	0.01145
525.0	0.011319999999999998
526.0	0.01113
527.0	0.01091
528.0	0.01064
529.0	0.01042
530.0	0.01031
531.0	0.010169999999999998
532.0	0.01002
533.0	0.00991
534.0	0.00984
535.0	0.00978
536.0	0.0097
537.0	0.00951
538.0	0.009290000000000001
539.0	0.009130000000000001
540.0	0.008960000000000001
541.0	0.0088
