nm	mua[cm-1]	musp[cm-1]
450.0	0.1548	17.59
452.0	0.1565	17.62
454.0	0.1397	17.43
456.0	0.1427999999999999	17.46
458.0	0.1345	17.35
460.0	0.133	17.29
462.0	0.1314	17.330000000000002
464.0	0.1251	17.23
466.0	0.1176	17.18
468.0	0.114	17.03
470.0	0.1115	17.150000000000002
472.0	0.1038999999999999	16.9
474.0	0.09346	16.85
476.0	0.08842	16.71
478.0	0.08499	16.72
480.0	0.07195	16.84
482.0	0.07138	16.67
484.0	0.06159	16.67
486.0	0.0558	16.55
488.0	0.04929	16.52
490.0	0.04109	16.419999999999998
492.0	0.04188	16.36
494.0	0.0367	16.31
496.0	0.0304	16.29
498.0	0.03191	16.21
500.0	0.02598	16.21
502.0	0.0233	16.14
504.0	0.02321	16.080000000000002
506.0	0.01776	16.07
508.0	0.0113499999999999	16.07
510.0	0.01668	16.02
512.0	0.01277	15.87
514.0	0.01317	15.98
516.0	0.00895	15.81
518.0	0.008708	15.78
520.0	0.0084125	15.825
522.0	0.0107599999999999	15.7
524.0	0.007442	15.7
526.0	0.0064899999999999	15.58
528.0	0.006022	15.62
530.0	0.008699	15.45
532.0	0.0039369999999999	15.59
534.0	0.004319	15.44
536.0	0.0047775	15.335
538.0	0.002851	15.29
540.0	0.003364	15.3
542.0		15.23
544.0		14.44
546.0		15.2
548.0		15.009999999999998
550.0		14.97
552.0		14.92
554.0		14.085
556.0		14.74
558.0		13.1
560.0		14.72
562.0		14.64
564.0		14.57
566.0		14.6
568.0		14.54
570.0		14.46
572.0		14.29
574.0		14.35
576.0		14.17
578.0		14.13
580.0		14.065
582.0		14.04
584.0		13.95
586.0		13.94
588.0		13.78
590.0		13.84
592.0		13.795
594.0		13.7
596.0		13.68
598.0		13.63
600.0		13.510000000000002
602.0		12.715
604.0		12.68
606.0		13.37
608.0		13.27
610.0		13.19
612.0		13.24
614.0		13.03
616.0		13.08
618.0		12.9
620.0		12.28
622.0		11.57
624.0		12.79
626.0		12.75
628.0		12.92
630.0		12.669999999999998
632.0		12.565
634.0		11.955
636.0		12.48
638.0		12.46
640.0		12.45
642.0		12.27
644.0		12.68
646.0		12.235
648.0		12.22
650.0		12.23
652.0		12.18
654.0		12.105
656.0		12.075
658.0		12.045
660.0		12.08
662.0		12.0
664.0		12.25
666.0		11.96
668.0		11.92
670.0		11.87
672.0		11.76
674.0		11.7
676.0		10.82
678.0		11.625
680.0		11.65
682.0		11.48
684.0		11.54
686.0		11.45
688.0		11.0
690.0		11.675
692.0		11.41
694.0		11.375
696.0		11.3
698.0		10.44
700.0		10.825
702.0		11.17
704.0		11.25
706.0		11.185
708.0		10.695
710.0		10.675
712.0		11.035
714.0		10.21
716.0		10.19
718.0		11.03
720.0		10.489999999999998
722.0		10.89
724.0		10.895
726.0		10.83
728.0		10.84
730.0		10.342
732.0		10.81
734.0		10.317
736.0		10.67
738.0		10.64
740.0		10.65
742.0		10.489999999999998
744.0		10.56
746.0		10.098
748.0		10.52
750.0		10.52
752.0		10.505
754.0		10.47
756.0		10.47
758.0		10.45
760.0		10.475
762.0		10.45
764.0	0.01625	9.446
766.0		10.22
768.0		10.2
770.0		10.2
772.0		10.059
774.0		10.07
776.0	0.01078	9.2575
778.0		10.009999999999998
780.0		9.9715
782.0		9.5315
784.0		9.879
786.0		9.506
788.0		9.821
790.0		9.42
792.0		9.41
794.0		9.783
796.0		9.371
798.0		9.362
800.0		9.359
802.0		9.3155
804.0	0.01999	8.931000000000001
806.0		9.643
808.0		9.632
810.0		9.2015
812.0		9.141
814.0		9.4895
816.0		9.435
818.0		9.0915
820.0	0.0241699999999999	8.74
822.0		9.4235
824.0		9.416
826.0		9.337
828.0		8.975999999999999
830.0		9.297
832.0		9.2875
834.0		9.254
836.0		8.893
838.0		9.197500000000002
840.0		9.148
842.0		9.177
844.0		9.1175
846.0		9.0645
848.0		9.072
850.0		9.019000000000002
852.0		9.0
854.0		9.014
856.0		8.959499999999998
858.0		8.947000000000001
860.0		8.933
862.0		8.916
864.0		8.886
866.0		8.836
868.0		8.823
870.0		8.816
872.0		8.785
874.0		8.7585
876.0		8.743
878.0	0.01685	8.726
880.0	0.01855	8.717
882.0	0.01657	8.699
884.0	0.02456	8.647
886.0	0.02852	8.621
888.0	0.03461	8.632
890.0	0.03844	8.585
