nm	mua[cm-1]
250	
252	
254	
256	
258	
260	2579.4871726987662
262	2477.072158495413
264	2575.2404315451545
266	2651.0392934291012
268	2610.919034415075
270	2648.485327150781
272	2583.087977105096
274	2450.494419968954
276	2460.382405346947
278	2489.967887392216
280	2502.643031211999
282	2443.243203546576
284	2451.3033468625017
286	2337.9135566615264
288	2301.4939790021103
290	2317.087150595584
292	2280.3284457557643
294	2202.3284720119373
296	2186.178599919524
298	2186.385275663232
300	2199.494249981752
302	2107.4889567836
304	2121.783620691581
306	2097.978777150154
308	2038.675729434802
310	2031.3959090090718
312	2002.348179732295
314	1969.1265311803559
316	1958.6065874740457
318	1943.8432077828377
320	1908.5901851984936
322	1905.9406039712542
324	1858.4802754129732
326	1843.9518482355907
328	1827.7487500113482
330	1814.8949883033902
332	1779.8111079498256
334	1772.582264085942
336	1742.069675528811
338	1712.9692942292475
340	1705.2209135595438
342	1677.5343769807355
344	1658.1592610821838
346	1647.9827077724622
348	1623.0936922458932
350	1601.2422049004078
352	1581.9094845311977
354	1579.9117140076341
356	1552.5371736729169
358	1535.5273556460293
360	1519.4304682841707
362	1502.40985773298
364	1477.1365211415903
366	1463.757370819558
368	1441.953623170168
370	1430.1099594630618
372	1413.368644687998
374	1397.8344789099112
376	1382.7651100684404
378	1366.885906309567
380	1344.536252371408
382	1333.6111777500823
384	1321.5302249311144
386	1305.4421402416035
388	1288.8842325424441
390	1275.093414664107
392	1263.0324538568225
394	1243.4307666776945
396	1233.216221287377
398	1213.5043537462875
400	1207.4492440697402
402	1191.351864478671
404	1180.8544754711754
406	1165.35464356912
408	1155.907681081539
410	1140.199827883024
412	1129.8436915180216
414	1118.7450846718348
416	1102.3094184997128
418	1088.0921113263112
420	1081.185159661742
422	1069.1213338390996
424	1058.1583911032853
426	1042.8249538504858
428	1035.1857912523515
430	1024.0080381888056
432	1012.4386765009724
434	1001.6132731897846
436	991.4002784263492
438	979.0817924340711
440	970.0338060519539
442	958.2132345008392
444	948.0136431180504
446	937.7855022132912
448	928.047368912231
450	918.0304691105225
452	905.6852339135455
454	897.9088319381001
456	889.4692746456813
458	877.1873656223011
460	868.1247127339296
462	858.8249760130404
464	850.6845010269847
466	841.5330999242548
468	829.5141455254364
470	821.9143836175963
472	814.7846332149012
474	804.8524439623679
476	795.9597190829606
478	785.8716362350366
480	778.1129512509095
482	768.9368985361584
484	759.8549364291188
486	751.2407324577745
488	743.2742877267041
490	737.2873011146996
492	727.6210677883663
494	720.2880880191153
496	711.8074545172224
498	702.3995556675542
500	694.0463664293655
502	686.0250007846082
504	678.3251058243723
506	671.1100224192135
508	662.8531215775957
510	654.7370127272924
512	647.9581656271056
514	640.7991496671303
516	632.5968897514739
518	624.3084501058421
520	617.9737422329379
522	610.4971672340239
524	604.2393463849925
526	596.4673890818239
528	588.9902921112001
530	582.3599210246801
532	574.9009259052691
534	569.1746965472007
536	562.3152629296205
538	556.306408168307
540	549.4938699148083
542	542.226793799396
544	536.0759730118411
546	528.9561918857103
548	522.61252472005
550	516.2151786326733
552	510.11432178164324
554	504.47317909435526
556	498.33037909318926
558	491.8685132949841
560	486.7632786680711
562	480.91140358366397
564	474.91584116005737
566	469.5142399335871
568	463.6727030847565
570	458.81933488905014
572	452.04850655885355
574	447.1362965699236
576	440.93828368870044
578	435.39493112999264
580	429.99162727590476
582	424.89500215788854
584	419.2360469649663
586	415.2049181661332
588	410.5166489117439
590	405.34324756466924
592	400.1836200481669
594	394.45922739808674
596	389.94729223083027
598	386.0522026630594
600	380.58665615825817
602	375.4899972850597
604	370.48404702185087
606	366.7335690259906
608	362.11057311547125
610	357.3214498704789
612	353.1728129236608
614	347.7961941181041
616	343.10395384521166
618	338.8559093202023
620	334.26393256096725
622	330.3256883854411
624	326.70577476052625
