nm	mua[cm-1]
450.0	261.6
452.0	236.0
454.0	216.1
456.0	209.79999999999998
458.0	193.70000000000002
460.0	182.5
462.0	171.45
464.0	166.0
466.0	158.9
468.0	150.60000000000002
470.0	142.9
472.0	138.39999999999998
474.0	133.4
476.0	125.8
478.0	123.05
480.0	118.9
482.0	116.8
484.0	113.6
486.0	108.7
488.0	105.60000000000001
490.0	104.3
492.0	101.49999999999999
494.0	99.53999999999999
496.0	97.87
498.0	96.13000000000001
500.0	94.01
502.0	94.95
504.0	92.09
506.0	92.27
508.0	90.33
510.0	92.29
512.0	92.91
514.0	95.57
516.0	98.36
518.0	103.49999999999999
520.0	111.80000000000001
522.0	122.30000000000001
524.0	133.70000000000002
526.0	149.3
528.0	162.70000000000002
530.0	179.35000000000002
532.0	195.15
534.0	214.8
536.0	222.70000000000005
538.0	227.4
540.0	234.7
542.0	233.45
544.0	232.39999999999998
546.0	223.89999999999998
548.0	214.1
550.0	196.8
552.0	180.9
554.0	169.95
556.0	160.60000000000002
558.0	155.39999999999998
560.0	153.0
562.0	155.7
564.0	161.7
566.0	167.7
568.0	181.8
570.0	202.70000000000002
572.0	219.00000000000003
574.0	234.00000000000003
576.0	250.85000000000002
578.0	241.5
580.0	228.29999999999998
582.0	198.75
584.0	165.6
586.0	131.7
588.0	100.69999999999999
590.0	78.47
592.0	59.02
594.0	46.55999999999999
596.0	37.419999999999995
598.0	31.15
600.0	26.34999999999999
600.0	21.31
602.0	17.215000000000003
604.0	14.19
606.0	11.9
608.0	10.06
610.0	8.614
612.0	7.45
614.0	6.544
616.0	5.812
618.0	5.204
620.0	4.716
622.0	4.266
624.0	3.908
626.0	3.593
628.0	3.31
630.0	3.088
632.0	2.873
634.0	2.708
636.0	2.541
638.0	2.409
640.0	2.287
642.0	2.169
644.0	2.085
646.0	2.002
648.0	1.935
650.0	1.871
652.0	1.82
654.0	1.7680000000000002
656.0	1.722
658.0	1.6800000000000002
660.0	1.631
662.0	1.5890000000000002
664.0	1.5559999999999998
666.0	1.514
668.0	1.505
670.0	1.4860000000000002
672.0	1.473
674.0	1.4449999999999998
676.0	1.44
