nm	mua[cm-1]
400.0	0.0004965
405.0	0.00046246
410.0	0.00043563
415.0	0.00040545
420.0	0.00037657
425.0	0.00034597
429.0	0.00031833
435.0	0.00029442
440.0	0.00026857
445.0	0.00024548
450.0	0.00022593
455.0	0.00021529
460.0	0.00020748
465.0	0.00020277
470.0	0.00019498
475.0	0.00018536
480.0	0.00018578
485.0	0.00018535
490.0	0.00018837
495.0	0.00019906
500.0	0.0002323
505.0	0.00026841
510.0	0.00031188
515.0	0.00035636
520.0	0.00037941
525.0	0.0003927
530.0	0.00041682
535.0	0.00044356
540.0	0.00048868
545.0	0.00052366
550.0	0.00055845
555.0	0.00060249
560.0	0.00064403
565.0	0.00069672
570.0	0.0007568
575.0	0.0008395
579.0	0.00096167
585.0	0.0011219
590.0	0.0013552
596.0	0.0016292
600.0	0.0020184
605.0	0.0023501
610.0	0.0025524
615.0	0.0027167
619.0	0.0028383
625.0	0.0029587
629.0	0.0029984
635.0	0.0030699
640.0	0.0030841
646.0	0.0031255
650.0	0.0032358
655.0	0.0034113
661.0	0.0036898
665.0	0.0038362
670.0	0.0039355
675.0	0.0040559
681.0	0.0042454
685.0	0.0045298
690.0	0.0048303
695.0	0.0053574
700.0	0.006012
705.0	0.0073112
710.0	0.008851
715.0	0.010544
719.0	0.012736
724.0	0.01585
729.0	0.01981
735.0	0.023063
740.0	0.024773
745.0	0.025818
750.0	0.026125
755.0	0.026294
760.0	0.026114
766.0	0.02577
769.0	0.02495
775.0	0.023981
780.0	0.022706
785.0	0.021429
791.0	0.020374
794.0	0.019902
800.0	0.01964
805.0	0.019815
809.0	0.020657
815.0	0.022335
820.0	0.024829
824.0	0.027737
830.0	0.030905
836.0	0.033732
840.0	0.036808
845.0	0.03999
849.0	0.043343
855.0	0.046336
859.0	0.048978
865.0	0.051515
871.0	0.054074
875.0	0.056111
879.0	0.057942
885.0	0.060113
889.0	0.062224
895.0	0.064867
900.0	0.067924
906.0	0.071455
910.0	0.078707
914.0	0.092052
920.0	0.11338
925.0	0.14405
929.0	0.18505
935.0	0.23792
940.0	0.29005
944.0	0.34035
951.0	0.38759
955.0	0.41976
959.0	0.43984
966.0	0.45057
971.0	0.45345
975.0	0.44852
980.0	0.43851
984.0	0.42603
991.0	0.41258
995.0	0.39527
1009.0	0.33477
1021.0	0.28948
1030.0	0.24413
1040.0	0.2042
1050.0	0.16983
1059.0	0.15414
1069.0	0.148
1079.0	0.15478
1089.0	0.17297
1099.0	0.1953
1109.0	0.23093
1119.0	0.29512
1130.0	0.43026
1140.0	0.65599
1151.0	1.016
1159.0	1.1591
1169.0	1.204
1180.0	1.2353
1191.0	1.2461
1199.0	1.2566
1211.0	1.2359
1219.0	1.2154
1230.0	1.1851
1239.0	1.1552
1250.0	1.1058
1259.0	1.077
1271.0	1.0777
1279.0	1.1191
1291.0	1.1885
1300.0	1.3533
1309.0	1.5734
1321.0	1.8188
1330.0	2.1268
1340.0	2.6718
1349.0	3.7699
1361.0	4.1595
1371.0	5.3199
1380.0	7.1045
1390.0	9.583
1400.0	13.733
1409.0	22.653
1419.0	28.312
1429.0	31.113
1439.0	31.691
1449.0	31.542
1459.0	31.041
1469.0	28.974
1479.0	25.643
1489.0	22.441
1500.0	18.833
1510.0	16.295
1521.0	14.384
1531.0	13.149
1542.0	11.743
1549.0	10.936
1560.0	9.9886
1570.0	9.1246
1581.0	8.5127
1589.0	7.8609
1600.0	7.3411
1611.0	6.8674
1622.0	6.4381
1629.0	6.2454
1641.0	6.0519
1648.0	5.7883
1660.0	5.6004
1671.0	5.568
1679.0	5.6096
1690.0	5.6519
1698.0	5.7303
1710.0	5.9157
1722.0	6.1372
1730.0	6.4648
1742.0	6.8603
1750.0	7.1808
1762.0	7.4956
1770.0	7.9516
1778.0	8.6155
1791.0	9.3318
1799.0	9.4929
1811.0	9.5132
1820.0	9.5283
1828.0	9.7479
1841.0	10.594
1849.0	12.648
1862.0	21.63
1871.0	34.986
1879.0	48.313
1888.0	61.374
1901.0	76.747
1910.0	110.4
1919.0	119.64
1932.0	125.01
1941.0	123.59
1950.0	119.09
1959.0	110.14
1968.0	98.845
1982.0	88.89
1991.0	78.895
2000.0	69.178
