nm,mua[cm-1],mua_std[cm-1]
450.0,0.0,0.0
452.0,0.0,0.0
454.0,6.365333333333334e-09,3.567118008825737e-09
456.0,0.005475333352299999,0.0038716453024338258
458.0,8.183793333333333e-08,1.155851358067675e-07
460.0,2.227751333333333e-07,1.574371362693765e-07
462.0,,
464.0,,
466.0,,
468.0,4.742666666666667e-10,2.0020549997995117e-10
470.0,1.3775127666666667e-07,9.736679829007297e-08
472.0,,
474.0,,
476.0,,
478.0,,
480.0,,
482.0,8.214e-11,4.533968680968142e-11
484.0,5.932333333333333e-09,1.744196726926816e-10
486.0,3.3396666666666664e-11,6.062262137372666e-12
488.0,,
490.0,,
492.0,,
494.0,,
496.0,,
498.0,,
500.0,,
502.0,,
504.0,,
506.0,,
508.0,,
510.0,,
512.0,,
514.0,,
516.0,,
518.0,,
520.0,,
522.0,,
524.0,,
526.0,,
528.0,,
530.0,,
532.0,,
534.0,3.3366666666666665e-11,4.7187592531182276e-11
536.0,,
538.0,,
540.0,,
542.0,,
544.0,,
546.0,,
548.0,,
550.0,,
552.0,,
554.0,,
556.0,,
558.0,,
560.0,,
562.0,,
564.0,,
566.0,,
568.0,,
570.0,,
572.0,,
574.0,,
576.0,,
578.0,,
580.0,,
582.0,,
584.0,,
586.0,,
588.0,,
590.0,,
592.0,,
594.0,,
596.0,,
598.0,,
600.0,,
602.0,,
604.0,,
606.0,,
608.0,,
610.0,,
612.0,,
614.0,,
616.0,,
618.0,,
620.0,,
622.0,,
624.0,,
626.0,,
628.0,,
630.0,,
632.0,7.568e-11,3.9060578592744886e-11
634.0,,
636.0,,
638.0,,
640.0,,
642.0,,
644.0,,
646.0,,
648.0,,
650.0,,
652.0,,
654.0,,
656.0,,
658.0,0.004325333354276667,0.003058472501273868
660.0,0.012733333343776666,0.009003826332339602
662.0,,
664.0,,
666.0,0.0148200001524,0.010479322281658487
668.0,0.006078666689173334,0.004298266388743394
670.0,0.006590667297666667,0.004660304200171382
672.0,0.0010506721333333334,0.000742925793732525
674.0,0.005031333337526667,0.0035576899124796467
676.0,0.010213333344646667,0.0072219172425191346
678.0,0.008686666678713331,0.006142400888870582
680.0,0.012860000053799999,0.009093393129974313
682.0,0.01070666669418,0.00757075656499424
684.0,0.014360002620000003,0.010154049672599292
686.0,0.005666666680803333,0.004006938406731503
688.0,0.005658666726766667,0.004001281487480041
690.0,0.010913333348890001,0.007716891983348739
692.0,,
694.0,,
696.0,,
698.0,,
700.0,0.0011833334701,0.0008367428309868063
702.0,0.011693333351803331,0.008268435268554171
704.0,,
706.0,,
708.0,,
710.0,,
712.0,0.0125935103,0.008904581129082502
714.0,0.010766666684023332,0.0076131829862291275
716.0,0.004804005213333333,0.0033969336040534687
718.0,0.009840000016236668,0.006957930703913514
720.0,,
722.0,,
724.0,,
726.0,0.011033333388766667,0.007801744740697003
728.0,0.015300012306666668,0.010818716347899271
730.0,,
732.0,,
734.0,,
736.0,,
738.0,0.018460000557333333,0.01305319039251531
740.0,0.015366666675733335,0.010865874191411079
742.0,0.019313333352126663,0.0136565889407384
744.0,,
746.0,0.01490001076,0.010535875822741628
748.0,0.016546666692489997,0.011700260169513695
750.0,0.027880000023719993,0.019714137025935802
