#--- Experiment --------------------------------------------------------------------------																																											
#oxy_A																																											
#																																											
#--- System ------------------------------------------------------------------------------																																											
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com																																											
#PHY-0625-PCL																																											
#--- Instrument --------------------------------------------------------------------------																																											
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	28.700000	2	Internal Pressure Sensor	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	10/07/2025	31/12/2000	19.734	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1021.263	28.700	100.000	20.000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A Int. T1] - Fixed Temperature																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Internal Pressure Sensor																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.2] - Oxygen Sensor - SC7-524-194 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	09/01/2025	31/12/2000	20.036	52.400	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1006.422	22.803	100.000	20.000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Internal Pressure Sensor																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#--- Measurement Data --------------------------------------------------------------------																																											
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (hPa) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
10-07-2025	11:30:32.326	-0.982	202.516	19.904	215	-1	OK	10-07-2025	11:30:32.326	-0.982	28.700	OK	10-07-2025	11:30:32.326	-0.982	1021	OK	10-07-2025	11:30:33.320	0.012	NaN	-179.556	1	4	OK	10-07-2025	11:30:33.320	0.012	NaN	OK	10-07-2025	11:30:33.320	0.012	1021	OK	10-07-2025	11:30:34.445	1.137	NaN	OK			
10-07-2025	11:30:32.824	-0.484	202.441	19.908	214	-1	OK	10-07-2025	11:30:32.824	-0.484	28.700	OK	10-07-2025	11:30:32.824	-0.484	1021	OK	10-07-2025	11:30:34.323	1.015	NaN	171.118	1	4	OK	10-07-2025	11:30:34.323	1.015	NaN	OK	10-07-2025	11:30:34.323	1.015	1021	OK	10-07-2025	11:30:35.448	2.140	NaN	OK			
10-07-2025	11:30:33.424	0.116	203.168	19.869	215	0	OK	10-07-2025	11:30:33.424	0.116	28.700	OK	10-07-2025	11:30:33.424	0.116	1021	OK	10-07-2025	11:30:35.323	2.015	NaN	175.201	1	4	OK	10-07-2025	11:30:35.323	2.015	NaN	OK	10-07-2025	11:30:35.323	2.015	1021	OK	10-07-2025	11:30:36.442	3.134	NaN	OK			
10-07-2025	11:30:33.824	0.516	204.292	19.809	214	0	OK	10-07-2025	11:30:33.824	0.516	28.700	OK	10-07-2025	11:30:33.824	0.516	1021	OK	10-07-2025	11:30:36.322	3.014	NaN	-177.706	2	5	OK	10-07-2025	11:30:36.322	3.014	NaN	OK	10-07-2025	11:30:36.322	3.014	1021	OK	10-07-2025	11:30:37.442	4.134	NaN	OK			
10-07-2025	11:30:34.385	1.077	201.792	19.943	214	0	OK	10-07-2025	11:30:34.385	1.077	28.700	OK	10-07-2025	11:30:34.385	1.077	1021	OK	10-07-2025	11:30:37.323	4.015	NaN	178.764	2	4	OK	10-07-2025	11:30:37.323	4.015	NaN	OK	10-07-2025	11:30:37.323	4.015	1021	OK	10-07-2025	11:30:38.446	5.138	NaN	OK			
10-07-2025	11:30:34.825	1.517	202.963	19.880	214	0	OK	10-07-2025	11:30:34.825	1.517	28.700	OK	10-07-2025	11:30:34.825	1.517	1021	OK	10-07-2025	11:30:38.324	5.016	NaN	179.698	2	4	OK	10-07-2025	11:30:38.324	5.016	NaN	OK	10-07-2025	11:30:38.324	5.016	1021	OK	10-07-2025	11:30:39.442	6.134	NaN	OK			
10-07-2025	11:30:35.385	2.077	204.612	19.792	214	0	OK	10-07-2025	11:30:35.385	2.077	28.700	OK	10-07-2025	11:30:35.385	2.077	1021	OK	10-07-2025	11:30:39.320	6.012	NaN	-170.490	1	5	OK	10-07-2025	11:30:39.320	6.012	NaN	OK	10-07-2025	11:30:39.320	6.012	1021	OK	10-07-2025	11:30:40.445	7.137	NaN	OK			
10-07-2025	11:30:35.825	2.517	202.907	19.883	214	0	OK	10-07-2025	11:30:35.825	2.517	28.700	OK	10-07-2025	11:30:35.825	2.517	1021	OK	10-07-2025	11:30:40.323	7.015	NaN	-173.627	2	5	OK	10-07-2025	11:30:40.323	7.015	NaN	OK	10-07-2025	11:30:40.323	7.015	1021	OK	10-07-2025	11:30:41.440	8.132	NaN	OK			
10-07-2025	11:30:36.383	3.075	201.996	19.932	215	0	OK	10-07-2025	11:30:36.383	3.075	28.700	OK	10-07-2025	11:30:36.383	3.075	1021	OK	10-07-2025	11:30:41.321	8.013	NaN	-176.155	1	5	OK	10-07-2025	11:30:41.321	8.013	NaN	OK	10-07-2025	11:30:41.321	8.013	1021	OK	10-07-2025	11:30:42.445	9.137	NaN	OK			
10-07-2025	11:30:36.827	3.519	203.224	19.866	214	0	OK	10-07-2025	11:30:36.827	3.519	28.700	OK	10-07-2025	11:30:36.827	3.519	1021	OK	10-07-2025	11:30:42.322	9.014	NaN	179.039	1	4	OK	10-07-2025	11:30:42.322	9.014	NaN	OK	10-07-2025	11:30:42.322	9.014	1021	OK	10-07-2025	11:30:43.448	10.140	NaN	OK			
10-07-2025	11:30:37.383	4.075	202.888	19.884	214	-1	OK	10-07-2025	11:30:37.383	4.075	28.700	OK	10-07-2025	11:30:37.383	4.075	1021	OK	10-07-2025	11:30:43.323	10.015	NaN	-178.982	2	5	OK	10-07-2025	11:30:43.323	10.015	NaN	OK	10-07-2025	11:30:43.323	10.015	1021	OK	10-07-2025	11:30:44.441	11.133	NaN	OK			
10-07-2025	11:30:37.826	4.518	203.373	19.858	215	0	OK	10-07-2025	11:30:37.826	4.518	28.700	OK	10-07-2025	11:30:37.826	4.518	1021	OK	10-07-2025	11:30:44.321	11.013	NaN	-178.473	2	4	OK	10-07-2025	11:30:44.321	11.013	NaN	OK	10-07-2025	11:30:44.321	11.013	1021	OK	10-07-2025	11:30:45.445	12.137	NaN	OK			
10-07-2025	11:30:38.386	5.078	203.168	19.869	214	0	OK	10-07-2025	11:30:38.386	5.078	28.700	OK	10-07-2025	11:30:38.386	5.078	1021	OK	10-07-2025	11:30:45.324	12.016	NaN	-175.343	1	4	OK	10-07-2025	11:30:45.324	12.016	NaN	OK	10-07-2025	11:30:45.324	12.016	1021	OK	10-07-2025	11:30:46.447	13.139	NaN	OK			
