#--- Experiment --------------------------------------------------------------------------
#oxy_A
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
10-07-2025	11:30:34.445	1.137	NaN	OK
10-07-2025	11:30:35.448	2.140	NaN	OK
10-07-2025	11:30:36.442	3.134	NaN	OK
10-07-2025	11:30:37.442	4.134	NaN	OK
10-07-2025	11:30:38.446	5.138	NaN	OK
10-07-2025	11:30:39.442	6.134	NaN	OK
10-07-2025	11:30:40.445	7.137	NaN	OK
10-07-2025	11:30:41.440	8.132	NaN	OK
10-07-2025	11:30:42.445	9.137	NaN	OK
10-07-2025	11:30:43.448	10.140	NaN	OK
10-07-2025	11:30:44.441	11.133	NaN	OK
10-07-2025	11:30:45.445	12.137	NaN	OK
10-07-2025	11:30:46.447	13.139	NaN	OK
10-07-2025	11:30:47.447	14.139	NaN	OK
10-07-2025	11:30:48.449	15.141	NaN	OK
10-07-2025	11:30:49.448	16.140	NaN	OK
10-07-2025	11:30:50.451	17.143	NaN	OK
10-07-2025	11:30:51.449	18.141	NaN	OK
10-07-2025	11:30:52.446	19.138	NaN	OK
10-07-2025	11:30:53.451	20.143	NaN	OK
10-07-2025	11:30:54.453	21.145	NaN	OK
10-07-2025	11:30:55.449	22.141	NaN	OK
10-07-2025	11:30:56.447	23.139	NaN	OK
10-07-2025	11:30:57.451	24.143	NaN	OK
10-07-2025	11:30:58.451	25.144	NaN	OK
10-07-2025	11:30:59.451	26.143	NaN	OK
10-07-2025	11:31:00.453	27.145	NaN	OK
10-07-2025	11:31:01.455	28.147	NaN	OK
10-07-2025	11:31:02.454	29.146	NaN	OK
10-07-2025	11:31:03.454	30.146	NaN	OK
10-07-2025	11:31:04.456	31.148	NaN	OK
10-07-2025	11:31:05.458	32.150	NaN	OK
10-07-2025	11:31:06.457	33.149	NaN	OK
10-07-2025	11:31:07.459	34.151	NaN	OK
10-07-2025	11:31:08.459	35.151	NaN	OK
10-07-2025	11:31:09.456	36.149	NaN	OK
10-07-2025	11:31:10.457	37.149	NaN	OK
10-07-2025	11:31:11.473	38.165	NaN	OK
10-07-2025	11:31:12.472	39.164	NaN	OK
10-07-2025	11:31:13.461	40.153	NaN	OK
10-07-2025	11:31:14.461	41.153	NaN	OK
10-07-2025	11:31:15.461	42.153	NaN	OK
10-07-2025	11:31:16.461	43.153	NaN	OK
10-07-2025	11:31:17.463	44.155	NaN	OK
10-07-2025	11:31:18.460	45.152	NaN	OK
10-07-2025	11:31:19.459	46.151	NaN	OK
10-07-2025	11:31:20.460	47.152	NaN	OK
10-07-2025	11:31:21.459	48.151	NaN	OK
10-07-2025	11:31:22.461	49.153	NaN	OK
10-07-2025	11:31:23.460	50.152	NaN	OK
10-07-2025	11:31:24.464	51.156	NaN	OK
10-07-2025	11:31:25.465	52.157	NaN	OK
10-07-2025	11:31:26.466	53.158	NaN	OK
10-07-2025	11:31:27.481	54.173	NaN	OK
10-07-2025	11:31:28.469	55.161	NaN	OK
10-07-2025	11:31:29.469	56.161	NaN	OK
10-07-2025	11:31:30.469	57.161	NaN	OK
10-07-2025	11:31:31.468	58.160	NaN	OK
10-07-2025	11:31:32.465	59.157	NaN	OK
10-07-2025	11:31:33.470	60.162	NaN	OK
10-07-2025	11:31:34.468	61.160	NaN	OK
10-07-2025	11:31:35.472	62.164	NaN	OK
10-07-2025	11:31:36.468	63.160	NaN	OK
10-07-2025	11:31:37.473	64.165	NaN	OK
10-07-2025	11:31:38.474	65.166	NaN	OK
10-07-2025	11:31:39.474	66.166	NaN	OK
10-07-2025	11:31:40.476	67.168	NaN	OK
10-07-2025	11:31:41.477	68.169	NaN	OK
10-07-2025	11:31:42.471	69.163	NaN	OK
10-07-2025	11:31:43.471	70.163	NaN	OK
10-07-2025	11:31:44.473	71.165	NaN	OK
10-07-2025	11:31:45.472	72.164	NaN	OK
10-07-2025	11:31:46.474	73.166	NaN	OK
10-07-2025	11:31:47.478	74.170	NaN	OK
10-07-2025	11:31:48.476	75.168	NaN	OK
10-07-2025	11:31:49.474	76.166	NaN	OK
10-07-2025	11:31:50.478	77.170	NaN	OK
10-07-2025	11:31:51.475	78.167	NaN	OK
10-07-2025	11:31:52.478	79.170	NaN	OK
10-07-2025	11:31:53.478	80.170	NaN	OK
10-07-2025	11:31:54.479	81.171	NaN	OK
10-07-2025	11:31:55.479	82.171	NaN	OK
10-07-2025	11:31:56.482	83.174	NaN	OK
10-07-2025	11:31:57.479	84.171	NaN	OK
10-07-2025	11:31:58.486	85.178	NaN	OK
10-07-2025	11:31:59.483	86.175	NaN	OK
10-07-2025	11:32:00.480	87.172	NaN	OK
10-07-2025	11:32:01.484	88.176	NaN	OK
10-07-2025	11:32:02.486	89.178	NaN	OK
10-07-2025	11:32:03.484	90.176	NaN	OK
10-07-2025	11:32:04.485	91.177	NaN	OK
10-07-2025	11:32:05.484	92.176	NaN	OK
10-07-2025	11:32:06.488	93.180	NaN	OK
10-07-2025	11:32:07.485	94.177	NaN	OK
10-07-2025	11:32:08.487	95.179	NaN	OK
10-07-2025	11:32:09.487	96.179	NaN	OK
10-07-2025	11:32:10.485	97.177	NaN	OK
10-07-2025	11:32:11.489	98.181	NaN	OK
10-07-2025	11:32:12.491	99.183	NaN	OK
10-07-2025	11:32:13.490	100.182	NaN	OK
10-07-2025	11:32:14.488	101.180	NaN	OK
10-07-2025	11:32:15.486	102.178	NaN	OK
10-07-2025	11:32:16.486	103.178	NaN	OK
10-07-2025	11:32:17.487	104.179	NaN	OK
10-07-2025	11:32:18.491	105.184	NaN	OK
10-07-2025	11:32:19.491	106.183	NaN	OK
10-07-2025	11:32:20.489	107.181	NaN	OK
10-07-2025	11:32:21.491	108.183	NaN	OK
10-07-2025	11:32:22.494	109.186	NaN	OK
10-07-2025	11:32:23.494	110.186	NaN	OK
10-07-2025	11:32:24.496	111.188	NaN	OK
10-07-2025	11:32:25.513	112.205	NaN	OK
10-07-2025	11:32:26.498	113.190	NaN	OK
10-07-2025	11:32:27.500	114.192	NaN	OK
10-07-2025	11:32:28.503	115.195	NaN	OK
10-07-2025	11:32:29.500	116.192	NaN	OK
10-07-2025	11:32:30.499	117.191	NaN	OK
10-07-2025	11:32:31.500	118.192	NaN	OK
10-07-2025	11:32:32.497	119.189	NaN	OK
10-07-2025	11:32:33.500	120.192	NaN	OK
10-07-2025	11:32:34.504	121.196	NaN	OK
10-07-2025	11:32:35.502	122.194	NaN	OK
10-07-2025	11:32:36.500	123.192	NaN	OK
10-07-2025	11:32:37.503	124.195	NaN	OK
10-07-2025	11:32:38.504	125.196	NaN	OK
10-07-2025	11:32:39.505	126.197	NaN	OK
10-07-2025	11:32:40.503	127.195	NaN	OK
10-07-2025	11:32:41.475	128.167	NaN	OK
10-07-2025	11:32:42.475	129.167	NaN	OK
10-07-2025	11:32:43.475	130.167	NaN	OK
10-07-2025	11:32:44.475	131.167	NaN	OK
10-07-2025	11:32:45.475	132.167	NaN	OK
10-07-2025	11:32:46.475	133.167	NaN	OK
10-07-2025	11:32:47.476	134.168	NaN	OK
10-07-2025	11:32:48.475	135.167	NaN	OK
10-07-2025	11:32:49.475	136.167	NaN	OK
10-07-2025	11:32:50.475	137.167	NaN	OK
10-07-2025	11:32:51.477	138.169	NaN	OK
10-07-2025	11:32:52.478	139.170	NaN	OK
10-07-2025	11:32:53.478	140.170	NaN	OK
10-07-2025	11:32:54.479	141.171	NaN	OK
10-07-2025	11:32:55.478	142.170	NaN	OK
