#--- Experiment --------------------------------------------------------------------------
#oxy_C
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	28.700000	2	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/07/2025	31/12/2000	19.734	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1021.263	28.700	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
10-07-2025	11:50:51.030	-0.004	203.000	19.878	232	0	OK	10-07-2025	11:50:51.030	-0.004	28.700	OK	10-07-2025	11:50:51.030	-0.004	1021	OK
10-07-2025	11:50:51.489	0.454	203.785	19.836	232	0	OK	10-07-2025	11:50:51.489	0.454	28.700	OK	10-07-2025	11:50:51.489	0.454	1021	OK
10-07-2025	11:50:52.034	0.999	203.954	19.827	233	0	OK	10-07-2025	11:50:52.034	0.999	28.700	OK	10-07-2025	11:50:52.034	0.999	1021	OK
10-07-2025	11:50:52.490	1.456	203.729	19.839	232	0	OK	10-07-2025	11:50:52.490	1.456	28.700	OK	10-07-2025	11:50:52.490	1.456	1021	OK
10-07-2025	11:50:53.033	1.998	203.205	19.867	233	0	OK	10-07-2025	11:50:53.033	1.998	28.700	OK	10-07-2025	11:50:53.033	1.998	1021	OK
10-07-2025	11:50:53.490	2.455	203.785	19.836	232	0	OK	10-07-2025	11:50:53.490	2.455	28.700	OK	10-07-2025	11:50:53.490	2.455	1021	OK
10-07-2025	11:50:54.032	2.997	203.991	19.825	233	0	OK	10-07-2025	11:50:54.032	2.997	28.700	OK	10-07-2025	11:50:54.032	2.997	1021	OK
10-07-2025	11:50:54.489	3.454	203.019	19.877	232	0	OK	10-07-2025	11:50:54.489	3.454	28.700	OK	10-07-2025	11:50:54.489	3.454	1021	OK
10-07-2025	11:50:55.029	3.995	202.219	19.920	233	-1	OK	10-07-2025	11:50:55.029	3.995	28.700	OK	10-07-2025	11:50:55.029	3.995	1021	OK
10-07-2025	11:50:55.488	4.453	203.766	19.837	233	0	OK	10-07-2025	11:50:55.488	4.453	28.700	OK	10-07-2025	11:50:55.488	4.453	1021	OK
10-07-2025	11:50:56.031	4.996	202.702	19.894	232	0	OK	10-07-2025	11:50:56.031	4.996	28.700	OK	10-07-2025	11:50:56.031	4.996	1021	OK
10-07-2025	11:50:56.489	5.454	202.423	19.909	232	0	OK	10-07-2025	11:50:56.489	5.454	28.700	OK	10-07-2025	11:50:56.489	5.454	1021	OK
10-07-2025	11:50:57.031	5.996	202.925	19.882	233	0	OK	10-07-2025	11:50:57.031	5.996	28.700	OK	10-07-2025	11:50:57.031	5.996	1021	OK
10-07-2025	11:50:57.490	6.455	202.869	19.885	233	0	OK	10-07-2025	11:50:57.490	6.455	28.700	OK	10-07-2025	11:50:57.490	6.455	1021	OK
10-07-2025	11:50:58.031	6.996	202.516	19.904	233	0	OK	10-07-2025	11:50:58.031	6.996	28.700	OK	10-07-2025	11:50:58.031	6.996	1021	OK
