#--- Experiment --------------------------------------------------------------------------																																											
#deoxy_A																																											
#																																											
#--- System ------------------------------------------------------------------------------																																											
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com																																											
#PHY-0625-PCL																																											
#--- Instrument --------------------------------------------------------------------------																																											
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	27.200000	2	Internal Pressure Sensor	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A Int. T1] - Fixed Temperature																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Internal Pressure Sensor																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.2] - Oxygen Sensor - SC7-524-194 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	09/01/2025	31/12/2000	20.036	52.400	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1006.422	22.803	100.000	20.000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Internal Pressure Sensor																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#--- Measurement Data --------------------------------------------------------------------																																											
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (hPa) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
10-07-2025	14:46:38.153	-0.592	200.797	20.026	236	0	OK	10-07-2025	14:46:38.153	-0.592	27.200	OK	10-07-2025	14:46:38.153	-0.592	1020	OK	10-07-2025	14:46:39.032	0.286	NaN	-174.327	2	3	OK	10-07-2025	14:46:39.032	0.286	NaN	OK	10-07-2025	14:46:39.032	0.286	1020	OK	10-07-2025	14:46:38.757	0.012	NaN	OK			
10-07-2025	14:46:38.652	-0.093	202.255	19.947	237	0	OK	10-07-2025	14:46:38.652	-0.093	27.200	OK	10-07-2025	14:46:38.652	-0.093	1020	OK	10-07-2025	14:46:40.031	1.285	NaN	179.601	1	3	OK	10-07-2025	14:46:40.031	1.285	NaN	OK	10-07-2025	14:46:40.031	1.285	1020	OK	10-07-2025	14:46:39.758	1.013	NaN	OK			
10-07-2025	14:46:39.151	0.406	200.981	20.016	237	0	OK	10-07-2025	14:46:39.151	0.406	27.200	OK	10-07-2025	14:46:39.151	0.406	1020	OK	10-07-2025	14:46:41.031	2.286	NaN	-179.801	1	3	OK	10-07-2025	14:46:41.031	2.286	NaN	OK	10-07-2025	14:46:41.031	2.286	1020	OK	10-07-2025	14:46:40.758	2.013	NaN	OK			
10-07-2025	14:46:39.654	0.908	200.724	20.030	237	0	OK	10-07-2025	14:46:39.654	0.908	27.200	OK	10-07-2025	14:46:39.654	0.908	1020	OK	10-07-2025	14:46:42.030	3.285	NaN	-174.244	1	3	OK	10-07-2025	14:46:42.030	3.285	NaN	OK	10-07-2025	14:46:42.030	3.285	1020	OK	10-07-2025	14:46:41.758	3.013	NaN	OK			
10-07-2025	14:46:40.154	1.408	200.156	20.061	237	0	OK	10-07-2025	14:46:40.154	1.408	27.200	OK	10-07-2025	14:46:40.154	1.408	1020	OK	10-07-2025	14:46:43.031	4.285	NaN	-178.931	1	3	OK	10-07-2025	14:46:43.031	4.285	NaN	OK	10-07-2025	14:46:43.031	4.285	1020	OK	10-07-2025	14:46:42.758	4.013	NaN	OK			
10-07-2025	14:46:40.655	1.910	200.852	20.023	236	0	OK	10-07-2025	14:46:40.655	1.910	27.200	OK	10-07-2025	14:46:40.655	1.910	1020	OK	10-07-2025	14:46:44.030	5.285	NaN	179.023	2	3	OK	10-07-2025	14:46:44.030	5.285	NaN	OK	10-07-2025	14:46:44.030	5.285	1020	OK	10-07-2025	14:46:43.757	5.012	NaN	OK			
10-07-2025	14:46:41.153	2.408	200.907	20.020	237	0	OK	10-07-2025	14:46:41.153	2.408	27.200	OK	10-07-2025	14:46:41.153	2.408	1020	OK	10-07-2025	14:46:45.033	6.287	NaN	176.994	1	3	OK	10-07-2025	14:46:45.033	6.287	NaN	OK	10-07-2025	14:46:45.033	6.287	1020	OK	10-07-2025	14:46:44.757	6.012	NaN	OK			
10-07-2025	14:46:41.653	2.908	200.779	20.027	236	0	OK	10-07-2025	14:46:41.653	2.908	27.200	OK	10-07-2025	14:46:41.653	2.908	1020	OK	10-07-2025	14:46:46.030	7.285	NaN	-174.223	2	3	OK	10-07-2025	14:46:46.030	7.285	NaN	OK	10-07-2025	14:46:46.030	7.285	1020	OK	10-07-2025	14:46:45.759	7.014	NaN	OK			
10-07-2025	14:46:42.157	3.412	200.430	20.046	237	0	OK	10-07-2025	14:46:42.157	3.412	27.200	OK	10-07-2025	14:46:42.157	3.412	1020	OK	10-07-2025	14:46:47.033	8.287	NaN	-175.430	1	3	OK	10-07-2025	14:46:47.033	8.287	NaN	OK	10-07-2025	14:46:47.033	8.287	1020	OK	10-07-2025	14:46:46.760	8.014	NaN	OK			
10-07-2025	14:46:42.654	3.908	200.779	20.027	236	0	OK	10-07-2025	14:46:42.654	3.908	27.200	OK	10-07-2025	14:46:42.654	3.908	1020	OK	10-07-2025	14:46:48.033	9.287	NaN	-176.748	1	3	OK	10-07-2025	14:46:48.033	9.287	NaN	OK	10-07-2025	14:46:48.033	9.287	1020	OK	10-07-2025	14:46:47.759	9.014	NaN	OK			
10-07-2025	14:46:43.157	4.412	201.110	20.009	236	-1	OK	10-07-2025	14:46:43.157	4.412	27.200	OK	10-07-2025	14:46:43.157	4.412	1020	OK	10-07-2025	14:46:49.032	10.287	NaN	177.190	1	3	OK	10-07-2025	14:46:49.032	10.287	NaN	OK	10-07-2025	14:46:49.032	10.287	1020	OK	10-07-2025	14:46:48.758	10.013	NaN	OK			
10-07-2025	14:46:43.655	4.910	200.467	20.044	236	0	OK	10-07-2025	14:46:43.655	4.910	27.200	OK	10-07-2025	14:46:43.655	4.910	1020	OK	10-07-2025	14:46:50.033	11.288	NaN	-176.892	1	3	OK	10-07-2025	14:46:50.033	11.288	NaN	OK	10-07-2025	14:46:50.033	11.288	1020	OK	10-07-2025	14:46:49.758	11.013	NaN	OK			
10-07-2025	14:46:44.154	5.409	200.760	20.028	237	0	OK	10-07-2025	14:46:44.154	5.409	27.200	OK	10-07-2025	14:46:44.154	5.409	1020	OK	10-07-2025	14:46:51.033	12.288	NaN	-179.103	1	3	OK	10-07-2025	14:46:51.033	12.288	NaN	OK	10-07-2025	14:46:51.033	12.288	1020	OK	10-07-2025	14:46:50.759	12.014	NaN	OK			
