#--- Experiment --------------------------------------------------------------------------
#Whole_blood_A
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	27.200000	2	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
10-07-2025	16:32:31.739	-0.369	200.669	20.033	237	0	OK	10-07-2025	16:32:31.739	-0.369	27.200	OK	10-07-2025	16:32:31.739	-0.369	1019	OK
10-07-2025	16:32:32.238	0.131	200.816	20.025	237	-1	OK	10-07-2025	16:32:32.238	0.131	27.200	OK	10-07-2025	16:32:32.238	0.131	1019	OK
10-07-2025	16:32:32.739	0.631	200.669	20.033	237	0	OK	10-07-2025	16:32:32.739	0.631	27.200	OK	10-07-2025	16:32:32.739	0.631	1019	OK
10-07-2025	16:32:33.239	1.132	202.329	19.943	237	0	OK	10-07-2025	16:32:33.239	1.132	27.200	OK	10-07-2025	16:32:33.239	1.132	1019	OK
10-07-2025	16:32:33.738	1.631	201.091	20.010	236	-1	OK	10-07-2025	16:32:33.738	1.631	27.200	OK	10-07-2025	16:32:33.738	1.631	1019	OK
10-07-2025	16:32:34.239	2.132	201.866	19.968	237	0	OK	10-07-2025	16:32:34.239	2.132	27.200	OK	10-07-2025	16:32:34.239	2.132	1019	OK
10-07-2025	16:32:34.739	2.632	200.650	20.034	236	0	OK	10-07-2025	16:32:34.739	2.632	27.200	OK	10-07-2025	16:32:34.739	2.632	1019	OK
10-07-2025	16:32:35.242	3.134	201.386	19.994	236	-1	OK	10-07-2025	16:32:35.242	3.134	27.200	OK	10-07-2025	16:32:35.242	3.134	1019	OK
10-07-2025	16:32:35.742	3.634	201.441	19.991	237	0	OK	10-07-2025	16:32:35.742	3.634	27.200	OK	10-07-2025	16:32:35.742	3.634	1019	OK
10-07-2025	16:32:36.242	4.135	200.816	20.025	237	0	OK	10-07-2025	16:32:36.242	4.135	27.200	OK	10-07-2025	16:32:36.242	4.135	1019	OK
10-07-2025	16:32:36.743	4.636	201.460	19.990	236	0	OK	10-07-2025	16:32:36.743	4.636	27.200	OK	10-07-2025	16:32:36.743	4.636	1019	OK
10-07-2025	16:32:37.242	5.135	202.033	19.959	236	-1	OK	10-07-2025	16:32:37.242	5.135	27.200	OK	10-07-2025	16:32:37.242	5.135	1019	OK
10-07-2025	16:32:37.743	5.636	201.903	19.966	236	0	OK	10-07-2025	16:32:37.743	5.636	27.200	OK	10-07-2025	16:32:37.743	5.636	1019	OK
10-07-2025	16:32:38.243	6.135	202.552	19.931	236	0	OK	10-07-2025	16:32:38.243	6.135	27.200	OK	10-07-2025	16:32:38.243	6.135	1019	OK
10-07-2025	16:32:38.743	6.636	201.220	20.003	236	0	OK	10-07-2025	16:32:38.743	6.636	27.200	OK	10-07-2025	16:32:38.743	6.636	1019	OK
10-07-2025	16:32:39.242	7.135	201.275	20.000	236	0	OK	10-07-2025	16:32:39.242	7.135	27.200	OK	10-07-2025	16:32:39.242	7.135	1019	OK
10-07-2025	16:32:39.743	7.635	200.889	20.021	237	0	OK	10-07-2025	16:32:39.743	7.635	27.200	OK	10-07-2025	16:32:39.743	7.635	1019	OK
