#--- Experiment --------------------------------------------------------------------------
#Whole_blood_10mL
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	27.200000	2	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
10-07-2025	16:34:17.648	-0.008	199.827	20.079	189	0	OK	10-07-2025	16:34:17.648	-0.008	27.200	OK	10-07-2025	16:34:17.648	-0.008	1019	OK
10-07-2025	16:34:18.147	0.492	199.298	20.108	189	0	OK	10-07-2025	16:34:18.147	0.492	27.200	OK	10-07-2025	16:34:18.147	0.492	1019	OK
10-07-2025	16:34:18.648	0.993	199.371	20.104	189	-1	OK	10-07-2025	16:34:18.648	0.993	27.200	OK	10-07-2025	16:34:18.648	0.993	1019	OK
10-07-2025	16:34:19.145	1.490	198.174	20.170	189	0	OK	10-07-2025	16:34:19.145	1.490	27.200	OK	10-07-2025	16:34:19.145	1.490	1019	OK
10-07-2025	16:34:19.647	1.992	198.916	20.129	189	0	OK	10-07-2025	16:34:19.647	1.992	27.200	OK	10-07-2025	16:34:19.647	1.992	1019	OK
10-07-2025	16:34:20.146	2.490	199.098	20.119	189	0	OK	10-07-2025	16:34:20.146	2.490	27.200	OK	10-07-2025	16:34:20.146	2.490	1019	OK
10-07-2025	16:34:20.647	2.991	199.626	20.090	189	0	OK	10-07-2025	16:34:20.647	2.991	27.200	OK	10-07-2025	16:34:20.647	2.991	1019	OK
10-07-2025	16:34:21.148	3.492	198.953	20.127	189	0	OK	10-07-2025	16:34:21.148	3.492	27.200	OK	10-07-2025	16:34:21.148	3.492	1019	OK
10-07-2025	16:34:21.647	3.992	198.844	20.133	189	0	OK	10-07-2025	16:34:21.647	3.992	27.200	OK	10-07-2025	16:34:21.647	3.992	1019	OK
10-07-2025	16:34:22.147	4.492	199.171	20.115	189	0	OK	10-07-2025	16:34:22.147	4.492	27.200	OK	10-07-2025	16:34:22.147	4.492	1019	OK
10-07-2025	16:34:22.650	4.994	199.152	20.116	189	0	OK	10-07-2025	16:34:22.650	4.994	27.200	OK	10-07-2025	16:34:22.650	4.994	1019	OK
10-07-2025	16:34:23.147	5.492	199.353	20.105	189	0	OK	10-07-2025	16:34:23.147	5.492	27.200	OK	10-07-2025	16:34:23.147	5.492	1019	OK
10-07-2025	16:34:23.647	5.992	198.717	20.140	189	0	OK	10-07-2025	16:34:23.647	5.992	27.200	OK	10-07-2025	16:34:23.647	5.992	1019	OK
10-07-2025	16:34:24.147	6.492	198.354	20.160	189	0	OK	10-07-2025	16:34:24.147	6.492	27.200	OK	10-07-2025	16:34:24.147	6.492	1019	OK
10-07-2025	16:34:24.647	6.992	198.880	20.131	189	0	OK	10-07-2025	16:34:24.647	6.992	27.200	OK	10-07-2025	16:34:24.647	6.992	1019	OK
