#--- Experiment --------------------------------------------------------------------------
#Whole_blood_10mL
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
10-07-2025	16:34:18.770	1.114	NaN	OK
10-07-2025	16:34:19.770	2.115	NaN	OK
10-07-2025	16:34:20.769	3.114	NaN	OK
10-07-2025	16:34:21.769	4.114	NaN	OK
10-07-2025	16:34:22.789	5.134	NaN	OK
10-07-2025	16:34:23.770	6.115	NaN	OK
10-07-2025	16:34:24.771	7.116	NaN	OK
10-07-2025	16:34:25.771	8.116	NaN	OK
10-07-2025	16:34:26.774	9.118	NaN	OK
10-07-2025	16:34:27.788	10.133	NaN	OK
10-07-2025	16:34:28.774	11.118	NaN	OK
10-07-2025	16:34:29.776	12.120	NaN	OK
10-07-2025	16:34:30.776	13.120	NaN	OK
10-07-2025	16:34:31.778	14.122	NaN	OK
10-07-2025	16:34:32.775	15.120	NaN	OK
10-07-2025	16:34:33.773	16.118	NaN	OK
10-07-2025	16:34:34.774	17.119	NaN	OK
10-07-2025	16:34:35.777	18.121	NaN	OK
10-07-2025	16:34:36.791	19.136	NaN	OK
10-07-2025	16:34:37.777	20.121	NaN	OK
10-07-2025	16:34:38.773	21.118	NaN	OK
10-07-2025	16:34:39.772	22.116	NaN	OK
10-07-2025	16:34:40.774	23.118	NaN	OK
10-07-2025	16:34:41.778	24.123	NaN	OK
10-07-2025	16:34:42.776	25.121	NaN	OK
10-07-2025	16:34:43.778	26.123	NaN	OK
10-07-2025	16:34:44.778	27.123	NaN	OK
10-07-2025	16:34:45.776	28.120	NaN	OK
10-07-2025	16:34:46.775	29.120	NaN	OK
10-07-2025	16:34:47.778	30.122	NaN	OK
10-07-2025	16:34:48.777	31.122	NaN	OK
10-07-2025	16:34:49.780	32.125	NaN	OK
10-07-2025	16:34:50.775	33.120	NaN	OK
10-07-2025	16:34:51.779	34.124	NaN	OK
10-07-2025	16:34:52.780	35.125	NaN	OK
10-07-2025	16:34:53.782	36.127	NaN	OK
10-07-2025	16:34:54.781	37.125	NaN	OK
10-07-2025	16:34:55.782	38.127	NaN	OK
10-07-2025	16:34:56.781	39.126	NaN	OK
10-07-2025	16:34:57.783	40.128	NaN	OK
10-07-2025	16:34:58.784	41.128	NaN	OK
10-07-2025	16:34:59.781	42.125	NaN	OK
10-07-2025	16:35:00.787	43.131	NaN	OK
10-07-2025	16:35:01.787	44.131	NaN	OK
10-07-2025	16:35:02.787	45.132	NaN	OK
10-07-2025	16:35:03.787	46.131	NaN	OK
10-07-2025	16:35:04.788	47.133	NaN	OK
10-07-2025	16:35:05.785	48.130	NaN	OK
10-07-2025	16:35:06.788	49.133	NaN	OK
10-07-2025	16:35:07.790	50.135	NaN	OK
10-07-2025	16:35:08.789	51.134	NaN	OK
10-07-2025	16:35:09.786	52.131	NaN	OK
10-07-2025	16:35:10.789	53.134	NaN	OK
10-07-2025	16:35:11.788	54.132	NaN	OK
10-07-2025	16:35:12.790	55.134	NaN	OK
10-07-2025	16:35:13.788	56.132	NaN	OK
10-07-2025	16:35:14.756	57.100	NaN	OK
10-07-2025	16:35:15.761	58.105	NaN	OK
