#--- Experiment --------------------------------------------------------------------------
#oxy_A
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	28.800000	2	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
11-07-2025	14:59:22.195	0.405	197.422	20.049	181	0	OK	11-07-2025	14:59:22.195	0.405	28.800	OK	11-07-2025	14:59:22.195	0.405	1017	OK
11-07-2025	14:59:22.696	0.906	198.146	20.009	181	0	OK	11-07-2025	14:59:22.696	0.906	28.800	OK	11-07-2025	14:59:22.696	0.906	1017	OK
11-07-2025	14:59:23.196	1.406	197.259	20.058	181	0	OK	11-07-2025	14:59:23.196	1.406	28.800	OK	11-07-2025	14:59:23.196	1.406	1017	OK
11-07-2025	14:59:23.696	1.906	197.241	20.059	181	-1	OK	11-07-2025	14:59:23.696	1.906	28.800	OK	11-07-2025	14:59:23.696	1.906	1017	OK
11-07-2025	14:59:24.196	2.405	197.638	20.037	181	0	OK	11-07-2025	14:59:24.196	2.405	28.800	OK	11-07-2025	14:59:24.196	2.405	1017	OK
11-07-2025	14:59:24.695	2.905	197.385	20.051	181	0	OK	11-07-2025	14:59:24.695	2.905	28.800	OK	11-07-2025	14:59:24.695	2.905	1017	OK
11-07-2025	14:59:25.197	3.407	197.838	20.026	181	0	OK	11-07-2025	14:59:25.197	3.407	28.800	OK	11-07-2025	14:59:25.197	3.407	1017	OK
11-07-2025	14:59:25.697	3.907	196.862	20.080	181	0	OK	11-07-2025	14:59:25.697	3.907	28.800	OK	11-07-2025	14:59:25.697	3.907	1017	OK
11-07-2025	14:59:26.195	4.405	197.043	20.070	181	0	OK	11-07-2025	14:59:26.195	4.405	28.800	OK	11-07-2025	14:59:26.195	4.405	1017	OK
11-07-2025	14:59:26.697	4.907	197.530	20.043	181	0	OK	11-07-2025	14:59:26.697	4.907	28.800	OK	11-07-2025	14:59:26.697	4.907	1017	OK
11-07-2025	14:59:27.197	5.407	197.530	20.043	181	0	OK	11-07-2025	14:59:27.197	5.407	28.800	OK	11-07-2025	14:59:27.197	5.407	1017	OK
11-07-2025	14:59:27.699	5.909	196.934	20.076	181	0	OK	11-07-2025	14:59:27.699	5.909	28.800	OK	11-07-2025	14:59:27.699	5.909	1017	OK
11-07-2025	14:59:28.198	6.408	197.313	20.055	181	0	OK	11-07-2025	14:59:28.198	6.408	28.800	OK	11-07-2025	14:59:28.198	6.408	1017	OK
11-07-2025	14:59:28.700	6.910	197.675	20.035	181	0	OK	11-07-2025	14:59:28.700	6.910	28.800	OK	11-07-2025	14:59:28.700	6.910	1017	OK
11-07-2025	14:59:29.198	7.407	198.400	19.995	181	0	OK	11-07-2025	14:59:29.198	7.407	28.800	OK	11-07-2025	14:59:29.198	7.407	1017	OK
11-07-2025	14:59:29.701	7.911	197.783	20.029	181	0	OK	11-07-2025	14:59:29.701	7.911	28.800	OK	11-07-2025	14:59:29.701	7.911	1017	OK
11-07-2025	14:59:30.197	8.407	198.291	20.001	181	0	OK	11-07-2025	14:59:30.197	8.407	28.800	OK	11-07-2025	14:59:30.197	8.407	1017	OK
11-07-2025	14:59:30.699	8.909	197.657	20.036	181	0	OK	11-07-2025	14:59:30.699	8.909	28.800	OK	11-07-2025	14:59:30.699	8.909	1017	OK
11-07-2025	14:59:31.199	9.409	197.602	20.039	181	0	OK	11-07-2025	14:59:31.199	9.409	28.800	OK	11-07-2025	14:59:31.199	9.409	1017	OK
11-07-2025	14:59:31.702	9.911	197.983	20.018	181	0	OK	11-07-2025	14:59:31.702	9.911	28.800	OK	11-07-2025	14:59:31.702	9.911	1017	OK
11-07-2025	14:59:32.199	10.409	196.952	20.075	181	0	OK	11-07-2025	14:59:32.199	10.409	28.800	OK	11-07-2025	14:59:32.199	10.409	1017	OK
11-07-2025	14:59:32.699	10.909	198.965	19.964	181	0	OK	11-07-2025	14:59:32.699	10.909	28.800	OK	11-07-2025	14:59:32.699	10.909	1017	OK
11-07-2025	14:59:33.199	11.409	197.729	20.032	181	0	OK	11-07-2025	14:59:33.199	11.409	28.800	OK	11-07-2025	14:59:33.199	11.409	1017	OK
11-07-2025	14:59:33.699	11.909	197.403	20.050	181	0	OK	11-07-2025	14:59:33.699	11.909	28.800	OK	11-07-2025	14:59:33.699	11.909	1017	OK
