#--- Experiment --------------------------------------------------------------------------
#oxy_A
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - SC7-524-194 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	09/01/2025	31/12/2000	20.036	52.400	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1006.422	22.803	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (hPa) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
11-07-2025	14:59:22.083	0.293	NaN	-177.904	1	5	OK	11-07-2025	14:59:22.083	0.293	NaN	OK	11-07-2025	14:59:22.083	0.293	1017	OK
11-07-2025	14:59:23.085	1.295	NaN	179.029	1	5	OK	11-07-2025	14:59:23.085	1.295	NaN	OK	11-07-2025	14:59:23.085	1.295	1017	OK
11-07-2025	14:59:24.084	2.294	NaN	-170.952	1	5	OK	11-07-2025	14:59:24.084	2.294	NaN	OK	11-07-2025	14:59:24.084	2.294	1017	OK
11-07-2025	14:59:25.086	3.296	NaN	176.601	1	5	OK	11-07-2025	14:59:25.086	3.296	NaN	OK	11-07-2025	14:59:25.086	3.296	1017	OK
11-07-2025	14:59:26.086	4.296	NaN	-178.718	1	5	OK	11-07-2025	14:59:26.086	4.296	NaN	OK	11-07-2025	14:59:26.086	4.296	1017	OK
11-07-2025	14:59:27.087	5.297	NaN	175.031	1	5	OK	11-07-2025	14:59:27.087	5.297	NaN	OK	11-07-2025	14:59:27.087	5.297	1017	OK
11-07-2025	14:59:28.087	6.297	NaN	-173.879	1	5	OK	11-07-2025	14:59:28.087	6.297	NaN	OK	11-07-2025	14:59:28.087	6.297	1017	OK
11-07-2025	14:59:29.089	7.298	NaN	-175.026	1	5	OK	11-07-2025	14:59:29.089	7.298	NaN	OK	11-07-2025	14:59:29.089	7.298	1017	OK
11-07-2025	14:59:30.090	8.300	NaN	-177.341	2	5	OK	11-07-2025	14:59:30.090	8.300	NaN	OK	11-07-2025	14:59:30.090	8.300	1017	OK
11-07-2025	14:59:31.089	9.298	NaN	-177.715	1	5	OK	11-07-2025	14:59:31.089	9.298	NaN	OK	11-07-2025	14:59:31.089	9.298	1017	OK
11-07-2025	14:59:32.089	10.299	NaN	168.096	1	5	OK	11-07-2025	14:59:32.089	10.299	NaN	OK	11-07-2025	14:59:32.089	10.299	1017	OK
11-07-2025	14:59:33.088	11.298	NaN	178.101	1	5	OK	11-07-2025	14:59:33.088	11.298	NaN	OK	11-07-2025	14:59:33.088	11.298	1017	OK
11-07-2025	14:59:34.089	12.298	NaN	-177.385	1	5	OK	11-07-2025	14:59:34.089	12.298	NaN	OK	11-07-2025	14:59:34.089	12.298	1017	OK
11-07-2025	14:59:35.088	13.298	NaN	-176.105	1	5	OK	11-07-2025	14:59:35.088	13.298	NaN	OK	11-07-2025	14:59:35.088	13.298	1017	OK
11-07-2025	14:59:36.088	14.298	NaN	-171.503	1	6	OK	11-07-2025	14:59:36.088	14.298	NaN	OK	11-07-2025	14:59:36.088	14.298	1017	OK
11-07-2025	14:59:37.091	15.301	NaN	178.396	2	5	OK	11-07-2025	14:59:37.091	15.301	NaN	OK	11-07-2025	14:59:37.091	15.301	1017	OK
11-07-2025	14:59:38.093	16.303	NaN	175.783	1	5	OK	11-07-2025	14:59:38.093	16.303	NaN	OK	11-07-2025	14:59:38.093	16.303	1017	OK
11-07-2025	14:59:39.093	17.303	NaN	-177.742	1	5	OK	11-07-2025	14:59:39.093	17.303	NaN	OK	11-07-2025	14:59:39.093	17.303	1017	OK
11-07-2025	14:59:40.094	18.304	NaN	-179.445	1	6	OK	11-07-2025	14:59:40.094	18.304	NaN	OK	11-07-2025	14:59:40.094	18.304	1017	OK
11-07-2025	14:59:41.094	19.303	NaN	-173.110	2	5	OK	11-07-2025	14:59:41.094	19.303	NaN	OK	11-07-2025	14:59:41.094	19.303	1017	OK
