#--- Experiment --------------------------------------------------------------------------
#oxy_bigblood
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	28.800000	2	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
11-07-2025	15:01:27.749	0.037	185.539	20.732	164	0	OK	11-07-2025	15:01:27.749	0.037	28.800	OK	11-07-2025	15:01:27.749	0.037	1017	OK
11-07-2025	15:01:28.249	0.537	186.076	20.700	164	0	OK	11-07-2025	15:01:28.249	0.537	28.800	OK	11-07-2025	15:01:28.249	0.537	1017	OK
11-07-2025	15:01:28.751	1.039	185.757	20.719	164	0	OK	11-07-2025	15:01:28.751	1.039	28.800	OK	11-07-2025	15:01:28.751	1.039	1017	OK
11-07-2025	15:01:29.251	1.538	186.530	20.673	164	0	OK	11-07-2025	15:01:29.251	1.538	28.800	OK	11-07-2025	15:01:29.251	1.538	1017	OK
11-07-2025	15:01:29.752	2.039	185.004	20.764	164	0	OK	11-07-2025	15:01:29.752	2.039	28.800	OK	11-07-2025	15:01:29.752	2.039	1017	OK
11-07-2025	15:01:30.252	2.539	186.733	20.661	164	0	OK	11-07-2025	15:01:30.252	2.539	28.800	OK	11-07-2025	15:01:30.252	2.539	1017	OK
11-07-2025	15:01:30.752	3.040	185.573	20.730	164	0	OK	11-07-2025	15:01:30.752	3.040	28.800	OK	11-07-2025	15:01:30.752	3.040	1017	OK
11-07-2025	15:01:31.252	3.539	185.841	20.714	164	0	OK	11-07-2025	15:01:31.252	3.539	28.800	OK	11-07-2025	15:01:31.252	3.539	1017	OK
11-07-2025	15:01:31.752	4.039	186.009	20.704	164	0	OK	11-07-2025	15:01:31.752	4.039	28.800	OK	11-07-2025	15:01:31.752	4.039	1017	OK
11-07-2025	15:01:32.254	4.542	186.379	20.682	164	0	OK	11-07-2025	15:01:32.254	4.542	28.800	OK	11-07-2025	15:01:32.254	4.542	1018	OK
11-07-2025	15:01:32.752	5.039	185.690	20.723	164	0	OK	11-07-2025	15:01:32.752	5.039	28.800	OK	11-07-2025	15:01:32.752	5.039	1017	OK
11-07-2025	15:01:33.254	5.541	186.480	20.676	164	-1	OK	11-07-2025	15:01:33.254	5.541	28.800	OK	11-07-2025	15:01:33.254	5.541	1018	OK
11-07-2025	15:01:33.752	6.039	185.556	20.731	164	0	OK	11-07-2025	15:01:33.752	6.039	28.800	OK	11-07-2025	15:01:33.752	6.039	1018	OK
11-07-2025	15:01:34.252	6.539	185.472	20.736	164	0	OK	11-07-2025	15:01:34.252	6.539	28.800	OK	11-07-2025	15:01:34.252	6.539	1017	OK
11-07-2025	15:01:34.752	7.039	186.547	20.672	164	0	OK	11-07-2025	15:01:34.752	7.039	28.800	OK	11-07-2025	15:01:34.752	7.039	1017	OK
11-07-2025	15:01:35.254	7.541	186.733	20.661	164	0	OK	11-07-2025	15:01:35.254	7.541	28.800	OK	11-07-2025	15:01:35.254	7.541	1017	OK
11-07-2025	15:01:35.752	8.039	186.244	20.690	164	0	OK	11-07-2025	15:01:35.752	8.039	28.800	OK	11-07-2025	15:01:35.752	8.039	1017	OK
11-07-2025	15:01:36.252	8.539	186.952	20.648	164	0	OK	11-07-2025	15:01:36.252	8.539	28.800	OK	11-07-2025	15:01:36.252	8.539	1017	OK
11-07-2025	15:01:36.751	9.039	185.774	20.718	164	-1	OK	11-07-2025	15:01:36.751	9.039	28.800	OK	11-07-2025	15:01:36.751	9.039	1017	OK
11-07-2025	15:01:37.252	9.539	186.800	20.657	164	0	OK	11-07-2025	15:01:37.252	9.539	28.800	OK	11-07-2025	15:01:37.252	9.539	1017	OK
11-07-2025	15:01:37.752	10.040	185.891	20.711	164	0	OK	11-07-2025	15:01:37.752	10.040	28.800	OK	11-07-2025	15:01:37.752	10.040	1017	OK
11-07-2025	15:01:38.253	10.540	186.345	20.684	160	0	OK	11-07-2025	15:01:38.253	10.540	28.800	OK	11-07-2025	15:01:38.253	10.540	1017	OK
11-07-2025	15:01:38.753	11.040	187.155	20.636	161	0	OK	11-07-2025	15:01:38.753	11.040	28.800	OK	11-07-2025	15:01:38.753	11.040	1017	OK
11-07-2025	15:01:39.252	11.540	185.405	20.740	136	-1	OK	11-07-2025	15:01:39.252	11.540	28.800	OK	11-07-2025	15:01:39.252	11.540	1017	OK
11-07-2025	15:01:39.753	12.041	185.506	20.734	156	0	OK	11-07-2025	15:01:39.753	12.041	28.800	OK	11-07-2025	15:01:39.753	12.041	1017	OK
11-07-2025	15:01:40.253	12.541	180.014	21.068	147	0	OK	11-07-2025	15:01:40.253	12.541	28.800	OK	11-07-2025	15:01:40.253	12.541	1017	OK
11-07-2025	15:01:40.753	13.041	154.445	22.801	160	0	OK	11-07-2025	15:01:40.753	13.041	28.800	OK	11-07-2025	15:01:40.753	13.041	1017	OK
11-07-2025	15:01:41.253	13.541	140.954	23.856	168	0	OK	11-07-2025	15:01:41.253	13.541	28.800	OK	11-07-2025	15:01:41.253	13.541	1017	OK
11-07-2025	15:01:41.755	14.042	136.707	24.212	170	0	OK	11-07-2025	15:01:41.755	14.042	28.800	OK	11-07-2025	15:01:41.755	14.042	1017	OK
11-07-2025	15:01:42.255	14.542	134.637	24.390	171	0	OK	11-07-2025	15:01:42.255	14.542	28.800	OK	11-07-2025	15:01:42.255	14.542	1017	OK
11-07-2025	15:01:42.754	15.042	133.227	24.513	171	-1	OK	11-07-2025	15:01:42.754	15.042	28.800	OK	11-07-2025	15:01:42.754	15.042	1017	OK
11-07-2025	15:01:43.254	15.542	132.330	24.592	172	-1	OK	11-07-2025	15:01:43.254	15.542	28.800	OK	11-07-2025	15:01:43.254	15.542	1017	OK
11-07-2025	15:01:43.754	16.042	132.738	24.556	171	0	OK	11-07-2025	15:01:43.754	16.042	28.800	OK	11-07-2025	15:01:43.754	16.042	1017	OK
11-07-2025	15:01:44.256	16.543	132.545	24.573	171	0	OK	11-07-2025	15:01:44.256	16.543	28.800	OK	11-07-2025	15:01:44.256	16.543	1017	OK
11-07-2025	15:01:44.756	17.043	132.693	24.560	171	0	OK	11-07-2025	15:01:44.756	17.043	28.800	OK	11-07-2025	15:01:44.756	17.043	1017	OK
11-07-2025	15:01:45.257	17.544	132.274	24.597	171	0	OK	11-07-2025	15:01:45.257	17.544	28.800	OK	11-07-2025	15:01:45.257	17.544	1017	OK
11-07-2025	15:01:45.756	18.044	132.138	24.609	171	0	OK	11-07-2025	15:01:45.756	18.044	28.800	OK	11-07-2025	15:01:45.756	18.044	1017	OK
11-07-2025	15:01:46.257	18.544	132.059	24.616	171	0	OK	11-07-2025	15:01:46.257	18.544	28.800	OK	11-07-2025	15:01:46.257	18.544	1017	OK
11-07-2025	15:01:46.758	19.045	132.568	24.571	171	0	OK	11-07-2025	15:01:46.758	19.045	28.800	OK	11-07-2025	15:01:46.758	19.045	1017	OK
11-07-2025	15:01:47.258	19.546	132.319	24.593	171	0	OK	11-07-2025	15:01:47.258	19.546	28.800	OK	11-07-2025	15:01:47.258	19.546	1017	OK
11-07-2025	15:01:47.758	20.045	132.183	24.605	171	0	OK	11-07-2025	15:01:47.758	20.045	28.800	OK	11-07-2025	15:01:47.758	20.045	1017	OK
11-07-2025	15:01:48.258	20.545	132.500	24.577	171	0	OK	11-07-2025	15:01:48.258	20.545	28.800	OK	11-07-2025	15:01:48.258	20.545	1017	OK
11-07-2025	15:01:48.757	21.044	132.341	24.591	171	0	OK	11-07-2025	15:01:48.757	21.044	28.800	OK	11-07-2025	15:01:48.757	21.044	1017	OK
11-07-2025	15:01:49.258	21.546	132.308	24.594	171	0	OK	11-07-2025	15:01:49.258	21.546	28.800	OK	11-07-2025	15:01:49.258	21.546	1017	OK
11-07-2025	15:01:49.758	22.045	132.127	24.610	171	0	OK	11-07-2025	15:01:49.758	22.045	28.800	OK	11-07-2025	15:01:49.758	22.045	1017	OK
