#--- Experiment --------------------------------------------------------------------------
#oxy_bigblood
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - SC7-524-194 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	09/01/2025	31/12/2000	20.036	52.400	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1006.422	22.803	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (hPa) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
11-07-2025	15:01:28.137	0.424	NaN	-178.524	1	5	OK	11-07-2025	15:01:28.137	0.424	NaN	OK	11-07-2025	15:01:28.137	0.424	1017	OK
11-07-2025	15:01:29.137	1.424	NaN	176.908	1	5	OK	11-07-2025	15:01:29.137	1.424	NaN	OK	11-07-2025	15:01:29.137	1.424	1017	OK
11-07-2025	15:01:30.135	2.422	NaN	175.394	1	5	OK	11-07-2025	15:01:30.135	2.422	NaN	OK	11-07-2025	15:01:30.135	2.422	1017	OK
11-07-2025	15:01:31.135	3.422	NaN	-176.740	2	4	OK	11-07-2025	15:01:31.135	3.422	NaN	OK	11-07-2025	15:01:31.135	3.422	1017	OK
11-07-2025	15:01:32.135	4.422	NaN	-178.977	1	5	OK	11-07-2025	15:01:32.135	4.422	NaN	OK	11-07-2025	15:01:32.135	4.422	1017	OK
11-07-2025	15:01:33.137	5.424	NaN	177.550	1	5	OK	11-07-2025	15:01:33.137	5.424	NaN	OK	11-07-2025	15:01:33.137	5.424	1017	OK
11-07-2025	15:01:34.135	6.422	NaN	-177.981	2	5	OK	11-07-2025	15:01:34.135	6.422	NaN	OK	11-07-2025	15:01:34.135	6.422	1018	OK
11-07-2025	15:01:35.137	7.425	NaN	174.954	1	5	OK	11-07-2025	15:01:35.137	7.425	NaN	OK	11-07-2025	15:01:35.137	7.425	1018	OK
11-07-2025	15:01:36.135	8.422	NaN	177.128	1	5	OK	11-07-2025	15:01:36.135	8.422	NaN	OK	11-07-2025	15:01:36.135	8.422	1017	OK
11-07-2025	15:01:37.137	9.424	NaN	-179.472	1	5	OK	11-07-2025	15:01:37.137	9.424	NaN	OK	11-07-2025	15:01:37.137	9.424	1017	OK
11-07-2025	15:01:38.136	10.423	NaN	-176.695	1	5	OK	11-07-2025	15:01:38.136	10.423	NaN	OK	11-07-2025	15:01:38.136	10.423	1017	OK
11-07-2025	15:01:39.139	11.426	NaN	-175.703	1	5	OK	11-07-2025	15:01:39.139	11.426	NaN	OK	11-07-2025	15:01:39.139	11.426	1017	OK
11-07-2025	15:01:40.136	12.423	NaN	176.814	1	5	OK	11-07-2025	15:01:40.136	12.423	NaN	OK	11-07-2025	15:01:40.136	12.423	1017	OK
11-07-2025	15:01:41.137	13.424	NaN	175.973	1	5	OK	11-07-2025	15:01:41.137	13.424	NaN	OK	11-07-2025	15:01:41.137	13.424	1017	OK
11-07-2025	15:01:42.137	14.424	NaN	175.983	1	5	OK	11-07-2025	15:01:42.137	14.424	NaN	OK	11-07-2025	15:01:42.137	14.424	1017	OK
11-07-2025	15:01:43.140	15.428	NaN	-178.584	1	5	OK	11-07-2025	15:01:43.140	15.428	NaN	OK	11-07-2025	15:01:43.140	15.428	1017	OK
11-07-2025	15:01:44.140	16.427	NaN	178.196	1	5	OK	11-07-2025	15:01:44.140	16.427	NaN	OK	11-07-2025	15:01:44.140	16.427	1017	OK
11-07-2025	15:01:45.142	17.429	NaN	-178.336	2	5	OK	11-07-2025	15:01:45.142	17.429	NaN	OK	11-07-2025	15:01:45.142	17.429	1017	OK
11-07-2025	15:01:46.143	18.431	NaN	177.467	1	5	OK	11-07-2025	15:01:46.143	18.431	NaN	OK	11-07-2025	15:01:46.143	18.431	1017	OK
11-07-2025	15:01:47.143	19.430	NaN	-179.859	1	5	OK	11-07-2025	15:01:47.143	19.430	NaN	OK	11-07-2025	15:01:47.143	19.430	1017	OK
11-07-2025	15:01:48.142	20.429	NaN	178.563	2	5	OK	11-07-2025	15:01:48.142	20.429	NaN	OK	11-07-2025	15:01:48.142	20.429	1017	OK
11-07-2025	15:01:49.146	21.433	NaN	-177.247	1	5	OK	11-07-2025	15:01:49.146	21.433	NaN	OK	11-07-2025	15:01:49.146	21.433	1017	OK
