#--- Experiment --------------------------------------------------------------------------
#oxy_bigblood
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
11-07-2025	15:01:27.724	0.011	NaN	OK
11-07-2025	15:01:28.726	1.013	NaN	OK
11-07-2025	15:01:29.725	2.013	NaN	OK
11-07-2025	15:01:30.724	3.012	NaN	OK
11-07-2025	15:01:31.725	4.012	NaN	OK
11-07-2025	15:01:32.723	5.011	NaN	OK
11-07-2025	15:01:33.725	6.012	NaN	OK
11-07-2025	15:01:34.725	7.012	NaN	OK
11-07-2025	15:01:35.727	8.014	NaN	OK
11-07-2025	15:01:36.727	9.014	NaN	OK
11-07-2025	15:01:37.727	10.014	NaN	OK
11-07-2025	15:01:38.725	11.012	NaN	OK
11-07-2025	15:01:39.725	12.012	NaN	OK
11-07-2025	15:01:40.724	13.012	NaN	OK
11-07-2025	15:01:41.729	14.016	NaN	OK
11-07-2025	15:01:42.728	15.016	NaN	OK
11-07-2025	15:01:43.728	16.015	NaN	OK
11-07-2025	15:01:44.729	17.016	NaN	OK
11-07-2025	15:01:45.731	18.019	NaN	OK
11-07-2025	15:01:46.729	19.016	NaN	OK
11-07-2025	15:01:47.731	20.019	NaN	OK
11-07-2025	15:01:48.732	21.019	NaN	OK
11-07-2025	15:01:49.730	22.017	NaN	OK
11-07-2025	15:01:50.731	23.018	NaN	OK
11-07-2025	15:01:51.730	24.018	NaN	OK
11-07-2025	15:01:52.731	25.018	NaN	OK
11-07-2025	15:01:53.731	26.018	NaN	OK
11-07-2025	15:01:54.730	27.017	NaN	OK
11-07-2025	15:01:55.730	28.017	NaN	OK
11-07-2025	15:01:56.731	29.019	NaN	OK
11-07-2025	15:01:57.730	30.018	NaN	OK
11-07-2025	15:01:58.732	31.019	NaN	OK
11-07-2025	15:01:59.732	32.019	NaN	OK
11-07-2025	15:02:00.733	33.020	NaN	OK
11-07-2025	15:02:01.734	34.021	NaN	OK
11-07-2025	15:02:02.734	35.022	NaN	OK
11-07-2025	15:02:03.732	36.019	NaN	OK
