#--- Experiment --------------------------------------------------------------------------
#oxy_big1percentblood
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	28.800000	2	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
11-07-2025	15:54:32.478	0.039	195.553	20.153	188	-1	OK	11-07-2025	15:54:32.478	0.039	28.800	OK	11-07-2025	15:54:32.478	0.039	1017	OK
11-07-2025	15:54:32.979	0.541	196.539	20.098	188	0	OK	11-07-2025	15:54:32.979	0.541	28.800	OK	11-07-2025	15:54:32.979	0.541	1017	OK
11-07-2025	15:54:33.479	1.040	195.750	20.142	188	-1	OK	11-07-2025	15:54:33.479	1.040	28.800	OK	11-07-2025	15:54:33.479	1.040	1017	OK
11-07-2025	15:54:33.979	1.540	195.857	20.136	188	0	OK	11-07-2025	15:54:33.979	1.540	28.800	OK	11-07-2025	15:54:33.979	1.540	1017	OK
11-07-2025	15:54:34.480	2.042	196.197	20.117	188	0	OK	11-07-2025	15:54:34.480	2.042	28.800	OK	11-07-2025	15:54:34.480	2.042	1017	OK
11-07-2025	15:54:34.980	2.542	196.197	20.117	188	0	OK	11-07-2025	15:54:34.980	2.542	28.800	OK	11-07-2025	15:54:34.980	2.542	1017	OK
11-07-2025	15:54:35.480	3.042	197.006	20.072	188	0	OK	11-07-2025	15:54:35.480	3.042	28.800	OK	11-07-2025	15:54:35.480	3.042	1017	OK
11-07-2025	15:54:35.981	3.542	195.750	20.142	189	0	OK	11-07-2025	15:54:35.981	3.542	28.800	OK	11-07-2025	15:54:35.981	3.542	1017	OK
11-07-2025	15:54:36.482	4.044	195.821	20.138	189	0	OK	11-07-2025	15:54:36.482	4.044	28.800	OK	11-07-2025	15:54:36.482	4.044	1017	OK
11-07-2025	15:54:36.982	4.544	196.323	20.110	189	-1	OK	11-07-2025	15:54:36.982	4.544	28.800	OK	11-07-2025	15:54:36.982	4.544	1017	OK
11-07-2025	15:54:37.482	5.044	195.607	20.150	189	0	OK	11-07-2025	15:54:37.482	5.044	28.800	OK	11-07-2025	15:54:37.482	5.044	1017	OK
11-07-2025	15:54:37.984	5.545	195.911	20.133	189	0	OK	11-07-2025	15:54:37.984	5.545	28.800	OK	11-07-2025	15:54:37.984	5.545	1017	OK
11-07-2025	15:54:38.483	6.045	196.574	20.096	189	0	OK	11-07-2025	15:54:38.483	6.045	28.800	OK	11-07-2025	15:54:38.483	6.045	1017	OK
11-07-2025	15:54:38.983	6.545	196.269	20.113	189	0	OK	11-07-2025	15:54:38.983	6.545	28.800	OK	11-07-2025	15:54:38.983	6.545	1017	OK
11-07-2025	15:54:39.483	7.044	200.045	19.905	157	0	OK	11-07-2025	15:54:39.483	7.044	28.800	OK	11-07-2025	15:54:39.483	7.044	1017	OK
