#--- Experiment --------------------------------------------------------------------------
#oxy_big1percentblood
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
11-07-2025	15:54:32.452	0.014	NaN	OK
11-07-2025	15:54:33.452	1.014	NaN	OK
11-07-2025	15:54:34.453	2.015	NaN	OK
11-07-2025	15:54:35.454	3.016	NaN	OK
11-07-2025	15:54:36.452	4.013	NaN	OK
11-07-2025	15:54:37.454	5.016	NaN	OK
11-07-2025	15:54:38.455	6.017	NaN	OK
11-07-2025	15:54:39.457	7.018	NaN	OK
11-07-2025	15:54:40.456	8.018	NaN	OK
11-07-2025	15:54:41.456	9.018	NaN	OK
11-07-2025	15:54:42.454	10.016	NaN	OK
11-07-2025	15:54:43.457	11.019	NaN	OK
11-07-2025	15:54:44.457	12.019	NaN	OK
11-07-2025	15:54:45.455	13.017	NaN	OK
11-07-2025	15:54:46.457	14.019	NaN	OK
11-07-2025	15:54:47.458	15.020	NaN	OK
11-07-2025	15:54:48.459	16.020	NaN	OK
11-07-2025	15:54:49.459	17.020	NaN	OK
11-07-2025	15:54:50.462	18.023	NaN	OK
11-07-2025	15:54:51.461	19.023	NaN	OK
11-07-2025	15:54:52.462	20.023	NaN	OK
11-07-2025	15:54:53.460	21.021	NaN	OK
11-07-2025	15:54:54.460	22.022	NaN	OK
11-07-2025	15:54:55.460	23.022	NaN	OK
11-07-2025	15:54:56.461	24.023	NaN	OK
11-07-2025	15:54:57.464	25.025	NaN	OK
11-07-2025	15:54:58.462	26.024	NaN	OK
11-07-2025	15:54:59.464	27.026	NaN	OK
11-07-2025	15:55:00.464	28.025	NaN	OK
11-07-2025	15:55:01.465	29.026	NaN	OK
11-07-2025	15:55:02.464	30.025	NaN	OK
11-07-2025	15:55:03.463	31.024	NaN	OK
11-07-2025	15:55:04.464	32.026	NaN	OK
11-07-2025	15:55:05.467	33.029	NaN	OK
11-07-2025	15:55:06.466	34.027	NaN	OK
11-07-2025	15:55:07.466	35.028	NaN	OK
11-07-2025	15:55:08.467	36.028	NaN	OK
11-07-2025	15:55:09.467	37.028	NaN	OK
11-07-2025	15:55:10.467	38.028	NaN	OK
11-07-2025	15:55:11.465	39.027	NaN	OK
11-07-2025	15:55:12.467	40.028	NaN	OK
11-07-2025	15:55:13.467	41.029	NaN	OK
11-07-2025	15:55:14.466	42.028	NaN	OK
11-07-2025	15:55:15.469	43.031	NaN	OK
11-07-2025	15:55:16.469	44.031	NaN	OK
11-07-2025	15:55:17.469	45.030	NaN	OK
11-07-2025	15:55:18.469	46.031	NaN	OK
11-07-2025	15:55:19.468	47.029	NaN	OK
11-07-2025	15:55:20.470	48.031	NaN	OK
11-07-2025	15:55:21.470	49.032	NaN	OK
11-07-2025	15:55:22.470	50.031	NaN	OK
11-07-2025	15:55:23.471	51.033	NaN	OK
11-07-2025	15:55:24.469	52.031	NaN	OK
11-07-2025	15:55:25.472	53.033	NaN	OK
11-07-2025	15:55:26.470	54.032	NaN	OK
11-07-2025	15:55:27.472	55.033	NaN	OK
11-07-2025	15:55:28.472	56.034	NaN	OK
11-07-2025	15:55:29.472	57.034	NaN	OK
11-07-2025	15:55:30.473	58.034	NaN	OK
11-07-2025	15:55:31.472	59.033	NaN	OK
11-07-2025	15:55:32.474	60.036	NaN	OK
11-07-2025	15:55:33.476	61.037	NaN	OK
11-07-2025	15:55:34.472	62.034	NaN	OK
11-07-2025	15:55:35.473	63.035	NaN	OK
11-07-2025	15:55:36.475	64.037	NaN	OK
11-07-2025	15:55:37.474	65.036	NaN	OK
11-07-2025	15:55:38.476	66.037	NaN	OK
11-07-2025	15:55:39.475	67.037	NaN	OK
11-07-2025	15:55:40.476	68.038	NaN	OK
11-07-2025	15:55:41.475	69.037	NaN	OK
11-07-2025	15:55:42.477	70.038	NaN	OK
11-07-2025	15:55:43.476	71.038	NaN	OK
11-07-2025	15:55:44.477	72.039	NaN	OK
11-07-2025	15:55:45.478	73.040	NaN	OK
11-07-2025	15:55:46.479	74.041	NaN	OK
11-07-2025	15:55:47.480	75.041	NaN	OK
11-07-2025	15:55:48.479	76.040	NaN	OK
11-07-2025	15:55:49.479	77.041	NaN	OK
11-07-2025	15:55:50.480	78.042	NaN	OK
11-07-2025	15:55:51.479	79.041	NaN	OK
11-07-2025	15:55:52.480	80.042	NaN	OK
11-07-2025	15:55:53.482	81.043	NaN	OK
11-07-2025	15:55:54.481	82.043	NaN	OK
11-07-2025	15:55:55.483	83.044	NaN	OK
11-07-2025	15:55:56.482	84.044	NaN	OK
11-07-2025	15:55:57.484	85.045	NaN	OK
11-07-2025	15:55:58.481	86.043	NaN	OK
11-07-2025	15:55:59.482	87.044	NaN	OK
11-07-2025	15:56:00.481	88.043	NaN	OK
11-07-2025	15:56:01.484	89.045	NaN	OK
11-07-2025	15:56:02.483	90.045	NaN	OK
11-07-2025	15:56:03.481	91.043	NaN	OK
11-07-2025	15:56:04.481	92.042	NaN	OK
11-07-2025	15:56:05.481	93.043	NaN	OK
11-07-2025	15:56:06.482	94.044	NaN	OK
11-07-2025	15:56:07.482	95.044	NaN	OK
11-07-2025	15:56:08.485	96.047	NaN	OK
11-07-2025	15:56:09.485	97.047	NaN	OK
11-07-2025	15:56:10.487	98.049	NaN	OK
11-07-2025	15:56:11.488	99.049	NaN	OK
11-07-2025	15:56:12.488	100.049	NaN	OK
11-07-2025	15:56:13.486	101.047	NaN	OK
11-07-2025	15:56:14.487	102.049	NaN	OK
11-07-2025	15:56:15.488	103.050	NaN	OK
11-07-2025	15:56:16.488	104.049	NaN	OK
11-07-2025	15:56:17.485	105.047	NaN	OK
11-07-2025	15:56:18.485	106.047	NaN	OK
11-07-2025	15:56:19.488	107.050	NaN	OK
11-07-2025	15:56:20.486	108.048	NaN	OK
11-07-2025	15:56:21.488	109.049	NaN	OK
11-07-2025	15:56:22.487	110.048	NaN	OK
11-07-2025	15:56:23.487	111.048	NaN	OK
11-07-2025	15:56:24.488	112.049	NaN	OK
11-07-2025	15:56:25.488	113.050	NaN	OK
11-07-2025	15:56:26.488	114.049	NaN	OK
11-07-2025	15:56:27.489	115.051	NaN	OK
11-07-2025	15:56:28.487	116.048	NaN	OK
11-07-2025	15:56:29.490	117.052	NaN	OK
11-07-2025	15:56:30.490	118.052	NaN	OK
11-07-2025	15:56:31.489	119.051	NaN	OK
11-07-2025	15:56:32.489	120.050	NaN	OK
11-07-2025	15:56:33.489	121.051	NaN	OK
11-07-2025	15:56:34.489	122.051	NaN	OK
11-07-2025	15:56:35.492	123.054	NaN	OK
11-07-2025	15:56:36.491	124.053	NaN	OK
11-07-2025	15:56:37.492	125.054	NaN	OK
11-07-2025	15:56:38.492	126.054	NaN	OK
11-07-2025	15:56:39.493	127.054	NaN	OK
11-07-2025	15:56:40.491	128.053	NaN	OK
11-07-2025	15:56:41.495	129.056	NaN	OK
11-07-2025	15:56:42.494	130.056	NaN	OK
11-07-2025	15:56:43.495	131.056	NaN	OK
11-07-2025	15:56:44.492	132.054	NaN	OK
11-07-2025	15:56:45.495	133.056	NaN	OK
11-07-2025	15:56:46.493	134.055	NaN	OK
11-07-2025	15:56:47.494	135.056	NaN	OK
11-07-2025	15:56:48.494	136.055	NaN	OK
11-07-2025	15:56:49.495	137.056	NaN	OK
11-07-2025	15:56:50.494	138.055	NaN	OK
11-07-2025	15:56:51.495	139.057	NaN	OK
11-07-2025	15:56:52.494	140.056	NaN	OK
11-07-2025	15:56:53.495	141.057	NaN	OK
11-07-2025	15:56:54.494	142.056	NaN	OK
11-07-2025	15:56:55.494	143.055	NaN	OK
11-07-2025	15:56:56.496	144.057	NaN	OK
11-07-2025	15:56:57.494	145.055	NaN	OK
11-07-2025	15:56:58.494	146.056	NaN	OK
11-07-2025	15:56:59.496	147.057	NaN	OK
11-07-2025	15:57:00.496	148.057	NaN	OK
11-07-2025	15:57:01.498	149.060	NaN	OK
11-07-2025	15:57:02.498	150.059	NaN	OK
11-07-2025	15:57:03.498	151.059	NaN	OK
