#--- Experiment --------------------------------------------------------------------------
#deoxy_wholebloodA
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
11-07-2025	17:13:55.207	0.014	NaN	OK
11-07-2025	17:13:56.209	1.015	NaN	OK
11-07-2025	17:13:57.209	2.015	NaN	OK
11-07-2025	17:13:58.209	3.016	NaN	OK
11-07-2025	17:13:59.210	4.016	NaN	OK
11-07-2025	17:14:00.207	5.014	NaN	OK
11-07-2025	17:14:01.209	6.015	NaN	OK
11-07-2025	17:14:02.208	7.015	NaN	OK
11-07-2025	17:14:03.209	8.015	NaN	OK
11-07-2025	17:14:04.210	9.016	NaN	OK
11-07-2025	17:14:05.213	10.019	NaN	OK
11-07-2025	17:14:06.212	11.018	NaN	OK
11-07-2025	17:14:07.212	12.019	NaN	OK
11-07-2025	17:14:08.211	13.017	NaN	OK
11-07-2025	17:14:09.213	14.019	NaN	OK
11-07-2025	17:14:10.214	15.020	NaN	OK
11-07-2025	17:14:11.213	16.019	NaN	OK
11-07-2025	17:14:12.214	17.020	NaN	OK
11-07-2025	17:14:13.213	18.019	NaN	OK
11-07-2025	17:14:14.214	19.020	NaN	OK
11-07-2025	17:14:15.212	20.019	NaN	OK
11-07-2025	17:14:16.213	21.019	NaN	OK
11-07-2025	17:14:17.213	22.019	NaN	OK
11-07-2025	17:14:18.211	23.018	NaN	OK
11-07-2025	17:14:19.212	24.019	NaN	OK
11-07-2025	17:14:20.213	25.019	NaN	OK
11-07-2025	17:14:21.213	26.020	NaN	OK
11-07-2025	17:14:22.214	27.021	NaN	OK
11-07-2025	17:14:23.215	28.021	NaN	OK
11-07-2025	17:14:24.214	29.020	NaN	OK
11-07-2025	17:14:25.215	30.021	NaN	OK
11-07-2025	17:14:26.215	31.022	NaN	OK
11-07-2025	17:14:27.217	32.023	NaN	OK
11-07-2025	17:14:28.218	33.024	NaN	OK
11-07-2025	17:14:29.219	34.026	NaN	OK
11-07-2025	17:14:30.217	35.024	NaN	OK
11-07-2025	17:14:31.218	36.024	NaN	OK
11-07-2025	17:14:32.217	37.024	NaN	OK
11-07-2025	17:14:33.218	38.024	NaN	OK
11-07-2025	17:14:34.218	39.024	NaN	OK
11-07-2025	17:14:35.221	40.027	NaN	OK
11-07-2025	17:14:36.220	41.027	NaN	OK
11-07-2025	17:14:37.220	42.026	NaN	OK
11-07-2025	17:14:38.219	43.025	NaN	OK
11-07-2025	17:14:39.221	44.027	NaN	OK
11-07-2025	17:14:40.220	45.027	NaN	OK
11-07-2025	17:14:41.223	46.029	NaN	OK
11-07-2025	17:14:42.223	47.029	NaN	OK
11-07-2025	17:14:43.220	48.027	NaN	OK
11-07-2025	17:14:44.220	49.027	NaN	OK
11-07-2025	17:14:45.222	50.028	NaN	OK
11-07-2025	17:14:46.220	51.027	NaN	OK
11-07-2025	17:14:47.221	52.027	NaN	OK
11-07-2025	17:14:48.220	53.027	NaN	OK
11-07-2025	17:14:49.221	54.027	NaN	OK
11-07-2025	17:14:50.224	55.030	NaN	OK
11-07-2025	17:14:51.222	56.028	NaN	OK
11-07-2025	17:14:52.221	57.027	NaN	OK
11-07-2025	17:14:53.222	58.028	NaN	OK
11-07-2025	17:14:54.222	59.028	NaN	OK
11-07-2025	17:14:55.221	60.028	NaN	OK
11-07-2025	17:14:56.221	61.027	NaN	OK
11-07-2025	17:14:57.223	62.029	NaN	OK
11-07-2025	17:14:58.222	63.029	NaN	OK
11-07-2025	17:14:59.222	64.029	NaN	OK
11-07-2025	17:15:00.221	65.028	NaN	OK
11-07-2025	17:15:01.222	66.029	NaN	OK
11-07-2025	17:15:02.222	67.029	NaN	OK
11-07-2025	17:15:03.223	68.030	NaN	OK
11-07-2025	17:15:04.223	69.029	NaN	OK
11-07-2025	17:15:05.222	70.029	NaN	OK
11-07-2025	17:15:06.223	71.029	NaN	OK
11-07-2025	17:15:07.223	72.029	NaN	OK
11-07-2025	17:15:08.222	73.029	NaN	OK
11-07-2025	17:15:09.223	74.029	NaN	OK
11-07-2025	17:15:10.223	75.030	NaN	OK
11-07-2025	17:15:11.235	76.042	NaN	OK
11-07-2025	17:15:12.224	77.030	NaN	OK
11-07-2025	17:15:13.224	78.030	NaN	OK
11-07-2025	17:15:14.224	79.030	NaN	OK
11-07-2025	17:15:15.223	80.030	NaN	OK
