#--- Experiment --------------------------------------------------------------------------
#deoxy_wholebloodB
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	28.800000	2	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
11-07-2025	17:27:39.629	0.155	197.476	20.046	188	0	OK	11-07-2025	17:27:39.629	0.155	28.800	OK	11-07-2025	17:27:39.629	0.155	1016	OK
11-07-2025	17:27:40.129	0.656	196.754	20.086	188	-1	OK	11-07-2025	17:27:40.129	0.656	28.800	OK	11-07-2025	17:27:40.129	0.656	1016	OK
11-07-2025	17:27:40.628	1.155	197.349	20.053	188	0	OK	11-07-2025	17:27:40.628	1.155	28.800	OK	11-07-2025	17:27:40.628	1.155	1016	OK
11-07-2025	17:27:41.128	1.655	196.682	20.090	188	-1	OK	11-07-2025	17:27:41.128	1.655	28.800	OK	11-07-2025	17:27:41.128	1.655	1016	OK
11-07-2025	17:27:41.630	2.156	196.467	20.102	188	0	OK	11-07-2025	17:27:41.630	2.156	28.800	OK	11-07-2025	17:27:41.630	2.156	1016	OK
11-07-2025	17:27:42.131	2.657	196.180	20.118	188	0	OK	11-07-2025	17:27:42.131	2.657	28.800	OK	11-07-2025	17:27:42.131	2.657	1016	OK
11-07-2025	17:27:42.630	3.156	197.187	20.062	188	0	OK	11-07-2025	17:27:42.630	3.156	28.800	OK	11-07-2025	17:27:42.630	3.156	1016	OK
11-07-2025	17:27:43.132	3.659	196.557	20.097	188	0	OK	11-07-2025	17:27:43.132	3.659	28.800	OK	11-07-2025	17:27:43.132	3.659	1016	OK
11-07-2025	17:27:43.631	4.157	196.431	20.104	188	0	OK	11-07-2025	17:27:43.631	4.157	28.800	OK	11-07-2025	17:27:43.631	4.157	1016	OK
11-07-2025	17:27:44.130	4.657	196.215	20.116	188	0	OK	11-07-2025	17:27:44.130	4.657	28.800	OK	11-07-2025	17:27:44.130	4.657	1016	OK
11-07-2025	17:27:44.630	5.157	196.341	20.109	188	0	OK	11-07-2025	17:27:44.630	5.157	28.800	OK	11-07-2025	17:27:44.630	5.157	1016	OK
11-07-2025	17:27:45.130	5.657	197.024	20.071	188	0	OK	11-07-2025	17:27:45.130	5.657	28.800	OK	11-07-2025	17:27:45.130	5.657	1016	OK
11-07-2025	17:27:45.631	6.158	197.241	20.059	188	0	OK	11-07-2025	17:27:45.631	6.158	28.800	OK	11-07-2025	17:27:45.631	6.158	1016	OK
11-07-2025	17:27:46.131	6.657	197.043	20.070	188	0	OK	11-07-2025	17:27:46.131	6.657	28.800	OK	11-07-2025	17:27:46.131	6.657	1016	OK
11-07-2025	17:27:46.633	7.159	196.395	20.106	188	0	OK	11-07-2025	17:27:46.633	7.159	28.800	OK	11-07-2025	17:27:46.633	7.159	1016	OK
11-07-2025	17:27:47.134	7.660	197.169	20.063	188	0	OK	11-07-2025	17:27:47.134	7.660	28.800	OK	11-07-2025	17:27:47.134	7.660	1016	OK
11-07-2025	17:27:47.632	8.158	197.006	20.072	188	0	OK	11-07-2025	17:27:47.632	8.158	28.800	OK	11-07-2025	17:27:47.632	8.158	1016	OK
11-07-2025	17:27:48.131	8.657	196.844	20.081	188	0	OK	11-07-2025	17:27:48.131	8.657	28.800	OK	11-07-2025	17:27:48.131	8.657	1016	OK
11-07-2025	17:27:48.632	9.159	196.988	20.073	188	0	OK	11-07-2025	17:27:48.632	9.159	28.800	OK	11-07-2025	17:27:48.632	9.159	1016	OK
11-07-2025	17:27:49.132	9.658	196.862	20.080	188	0	OK	11-07-2025	17:27:49.132	9.658	28.800	OK	11-07-2025	17:27:49.132	9.658	1016	OK
11-07-2025	17:27:49.634	10.160	196.323	20.110	188	0	OK	11-07-2025	17:27:49.634	10.160	28.800	OK	11-07-2025	17:27:49.634	10.160	1016	OK
