#--- Experiment --------------------------------------------------------------------------
#deoxy_wholebloodB
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
11-07-2025	17:27:39.488	0.014	NaN	OK
11-07-2025	17:27:40.487	1.013	NaN	OK
11-07-2025	17:27:41.487	2.014	NaN	OK
11-07-2025	17:27:42.488	3.015	NaN	OK
11-07-2025	17:27:43.487	4.014	NaN	OK
11-07-2025	17:27:44.489	5.016	NaN	OK
11-07-2025	17:27:45.488	6.015	NaN	OK
11-07-2025	17:27:46.487	7.013	NaN	OK
11-07-2025	17:27:47.488	8.015	NaN	OK
11-07-2025	17:27:48.487	9.014	NaN	OK
11-07-2025	17:27:49.488	10.014	NaN	OK
11-07-2025	17:27:50.489	11.016	NaN	OK
11-07-2025	17:27:51.489	12.016	NaN	OK
11-07-2025	17:27:52.489	13.016	NaN	OK
11-07-2025	17:27:53.491	14.018	NaN	OK
11-07-2025	17:27:54.490	15.016	NaN	OK
11-07-2025	17:27:55.489	16.016	NaN	OK
11-07-2025	17:27:56.493	17.019	NaN	OK
11-07-2025	17:27:57.492	18.018	NaN	OK
11-07-2025	17:27:58.492	19.018	NaN	OK
11-07-2025	17:27:59.492	20.019	NaN	OK
11-07-2025	17:28:00.492	21.019	NaN	OK
11-07-2025	17:28:01.493	22.020	NaN	OK
11-07-2025	17:28:02.492	23.018	NaN	OK
11-07-2025	17:28:03.494	24.020	NaN	OK
11-07-2025	17:28:04.494	25.021	NaN	OK
11-07-2025	17:28:05.494	26.020	NaN	OK
11-07-2025	17:28:06.493	27.020	NaN	OK
11-07-2025	17:28:07.494	28.020	NaN	OK
11-07-2025	17:28:08.492	29.019	NaN	OK
11-07-2025	17:28:09.493	30.019	NaN	OK
11-07-2025	17:28:10.491	31.017	NaN	OK
11-07-2025	17:28:11.494	32.020	NaN	OK
11-07-2025	17:28:12.494	33.020	NaN	OK
11-07-2025	17:28:13.495	34.021	NaN	OK
11-07-2025	17:28:14.495	35.021	NaN	OK
11-07-2025	17:28:15.495	36.021	NaN	OK
11-07-2025	17:28:16.496	37.022	NaN	OK
11-07-2025	17:28:17.495	38.022	NaN	OK
11-07-2025	17:28:18.495	39.021	NaN	OK
11-07-2025	17:28:19.495	40.022	NaN	OK
11-07-2025	17:28:20.496	41.022	NaN	OK
11-07-2025	17:28:21.495	42.022	NaN	OK
11-07-2025	17:28:22.495	43.021	NaN	OK
11-07-2025	17:28:23.498	44.025	NaN	OK
11-07-2025	17:28:24.498	45.024	NaN	OK
11-07-2025	17:28:25.498	46.025	NaN	OK
11-07-2025	17:28:26.495	47.021	NaN	OK
11-07-2025	17:28:27.497	48.023	NaN	OK
11-07-2025	17:28:28.499	49.026	NaN	OK
11-07-2025	17:28:29.500	50.026	NaN	OK
11-07-2025	17:28:30.501	51.027	NaN	OK
11-07-2025	17:28:31.500	52.027	NaN	OK
11-07-2025	17:28:32.499	53.026	NaN	OK
11-07-2025	17:28:33.502	54.028	NaN	OK
11-07-2025	17:28:34.502	55.028	NaN	OK
11-07-2025	17:28:35.503	56.029	NaN	OK
11-07-2025	17:28:36.503	57.029	NaN	OK
11-07-2025	17:28:37.503	58.030	NaN	OK
11-07-2025	17:28:38.505	59.031	NaN	OK
11-07-2025	17:28:39.504	60.031	NaN	OK
11-07-2025	17:28:40.505	61.031	NaN	OK
11-07-2025	17:28:41.504	62.030	NaN	OK
