#--- Experiment --------------------------------------------------------------------------																																											
#deoxy_wholebloodC																																											
#																																											
#--- System ------------------------------------------------------------------------------																																											
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com																																											
#PHY-0625-PCL																																											
#--- Instrument --------------------------------------------------------------------------																																											
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	28.800000	2	Internal Pressure Sensor	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A Int. T1] - Fixed Temperature																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Internal Pressure Sensor																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.2] - Oxygen Sensor - SC7-524-194 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	09/01/2025	31/12/2000	20.036	52.400	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1006.422	22.803	100.000	20.000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Internal Pressure Sensor																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#--- Measurement Data --------------------------------------------------------------------																																											
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (hPa) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
11-07-2025	17:40:40.260	0.094	196.934	20.076	188	0	OK	11-07-2025	17:40:40.260	0.094	28.800	OK	11-07-2025	17:40:40.260	0.094	1016	OK	11-07-2025	17:40:40.973	0.808	NaN	-176.596	1	4	OK	11-07-2025	17:40:40.973	0.808	NaN	OK	11-07-2025	17:40:40.973	0.808	1016	OK	11-07-2025	17:40:40.186	0.020	NaN	OK			
11-07-2025	17:40:40.762	0.596	197.548	20.042	189	0	OK	11-07-2025	17:40:40.762	0.596	28.800	OK	11-07-2025	17:40:40.762	0.596	1016	OK	11-07-2025	17:40:41.974	1.809	NaN	177.883	1	4	OK	11-07-2025	17:40:41.974	1.809	NaN	OK	11-07-2025	17:40:41.974	1.809	1016	OK	11-07-2025	17:40:41.187	1.021	NaN	OK			
11-07-2025	17:40:41.262	1.096	196.126	20.121	189	0	OK	11-07-2025	17:40:41.262	1.096	28.800	OK	11-07-2025	17:40:41.262	1.096	1016	OK	11-07-2025	17:40:42.973	2.808	NaN	-179.789	2	4	OK	11-07-2025	17:40:42.973	2.808	NaN	OK	11-07-2025	17:40:42.973	2.808	1016	OK	11-07-2025	17:40:42.186	2.021	NaN	OK			
11-07-2025	17:40:41.760	1.595	197.548	20.042	188	0	OK	11-07-2025	17:40:41.760	1.595	28.800	OK	11-07-2025	17:40:41.760	1.595	1016	OK	11-07-2025	17:40:43.974	3.808	NaN	-174.517	1	4	OK	11-07-2025	17:40:43.974	3.808	NaN	OK	11-07-2025	17:40:43.974	3.808	1016	OK	11-07-2025	17:40:43.187	3.021	NaN	OK			
11-07-2025	17:40:42.261	2.096	197.820	20.027	189	0	OK	11-07-2025	17:40:42.261	2.096	28.800	OK	11-07-2025	17:40:42.261	2.096	1016	OK	11-07-2025	17:40:44.975	4.810	NaN	-178.679	1	4	OK	11-07-2025	17:40:44.975	4.810	NaN	OK	11-07-2025	17:40:44.975	4.810	1016	OK	11-07-2025	17:40:44.187	4.021	NaN	OK			
11-07-2025	17:40:42.760	2.594	197.259	20.058	188	0	OK	11-07-2025	17:40:42.760	2.594	28.800	OK	11-07-2025	17:40:42.760	2.594	1016	OK	11-07-2025	17:40:45.975	5.809	NaN	179.434	1	4	OK	11-07-2025	17:40:45.975	5.809	NaN	OK	11-07-2025	17:40:45.975	5.809	1016	OK	11-07-2025	17:40:45.187	5.022	NaN	OK			
11-07-2025	17:40:43.261	3.096	196.467	20.102	188	0	OK	11-07-2025	17:40:43.261	3.096	28.800	OK	11-07-2025	17:40:43.261	3.096	1016	OK	11-07-2025	17:40:46.975	6.809	NaN	-178.602	1	4	OK	11-07-2025	17:40:46.975	6.809	NaN	OK	11-07-2025	17:40:46.975	6.809	1016	OK	11-07-2025	17:40:46.188	6.022	NaN	OK			
11-07-2025	17:40:43.760	3.595	197.494	20.045	188	0	OK	11-07-2025	17:40:43.760	3.595	28.800	OK	11-07-2025	17:40:43.760	3.595	1016	OK	11-07-2025	17:40:47.974	7.808	NaN	-179.374	2	4	OK	11-07-2025	17:40:47.974	7.808	NaN	OK	11-07-2025	17:40:47.974	7.808	1016	OK	11-07-2025	17:40:47.190	7.024	NaN	OK			
11-07-2025	17:40:44.262	4.097	196.790	20.084	188	0	OK	11-07-2025	17:40:44.262	4.097	28.800	OK	11-07-2025	17:40:44.262	4.097	1016	OK	11-07-2025	17:40:48.977	8.811	NaN	-172.310	1	4	OK	11-07-2025	17:40:48.977	8.811	NaN	OK	11-07-2025	17:40:48.977	8.811	1016	OK	11-07-2025	17:40:48.189	8.024	NaN	OK			
11-07-2025	17:40:44.764	4.598	197.422	20.049	188	0	OK	11-07-2025	17:40:44.764	4.598	28.800	OK	11-07-2025	17:40:44.764	4.598	1016	OK	11-07-2025	17:40:49.975	9.809	NaN	-174.232	1	4	OK	11-07-2025	17:40:49.975	9.809	NaN	OK	11-07-2025	17:40:49.975	9.809	1016	OK	11-07-2025	17:40:49.191	9.025	NaN	OK			
11-07-2025	17:40:45.262	5.097	196.844	20.081	188	0	OK	11-07-2025	17:40:45.262	5.097	28.800	OK	11-07-2025	17:40:45.262	5.097	1016	OK	11-07-2025	17:40:50.978	10.813	NaN	-177.472	2	4	OK	11-07-2025	17:40:50.978	10.813	NaN	OK	11-07-2025	17:40:50.978	10.813	1016	OK	11-07-2025	17:40:50.195	10.030	NaN	OK			
11-07-2025	17:40:45.762	5.597	197.115	20.066	187	0	OK	11-07-2025	17:40:45.762	5.597	28.800	OK	11-07-2025	17:40:45.762	5.597	1016	OK	11-07-2025	17:40:51.979	11.813	NaN	-173.445	2	4	OK	11-07-2025	17:40:51.979	11.813	NaN	OK	11-07-2025	17:40:51.979	11.813	1016	OK	11-07-2025	17:40:51.192	11.026	NaN	OK			
11-07-2025	17:40:46.262	6.097	196.754	20.086	187	0	OK	11-07-2025	17:40:46.262	6.097	28.800	OK	11-07-2025	17:40:46.262	6.097	1016	OK	11-07-2025	17:40:52.979	12.814	NaN	-176.269	1	4	OK	11-07-2025	17:40:52.979	12.814	NaN	OK	11-07-2025	17:40:52.979	12.814	1016	OK	11-07-2025	17:40:52.191	12.025	NaN	OK			
