#--- Experiment --------------------------------------------------------------------------
#deoxy_wholebloodC
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	28.800000	2	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
11-07-2025	17:40:40.260	0.094	196.934	20.076	188	0	OK	11-07-2025	17:40:40.260	0.094	28.800	OK	11-07-2025	17:40:40.260	0.094	1016	OK
11-07-2025	17:40:40.762	0.596	197.548	20.042	189	0	OK	11-07-2025	17:40:40.762	0.596	28.800	OK	11-07-2025	17:40:40.762	0.596	1016	OK
11-07-2025	17:40:41.262	1.096	196.126	20.121	189	0	OK	11-07-2025	17:40:41.262	1.096	28.800	OK	11-07-2025	17:40:41.262	1.096	1016	OK
11-07-2025	17:40:41.760	1.595	197.548	20.042	188	0	OK	11-07-2025	17:40:41.760	1.595	28.800	OK	11-07-2025	17:40:41.760	1.595	1016	OK
11-07-2025	17:40:42.261	2.096	197.820	20.027	189	0	OK	11-07-2025	17:40:42.261	2.096	28.800	OK	11-07-2025	17:40:42.261	2.096	1016	OK
11-07-2025	17:40:42.760	2.594	197.259	20.058	188	0	OK	11-07-2025	17:40:42.760	2.594	28.800	OK	11-07-2025	17:40:42.760	2.594	1016	OK
11-07-2025	17:40:43.261	3.096	196.467	20.102	188	0	OK	11-07-2025	17:40:43.261	3.096	28.800	OK	11-07-2025	17:40:43.261	3.096	1016	OK
11-07-2025	17:40:43.760	3.595	197.494	20.045	188	0	OK	11-07-2025	17:40:43.760	3.595	28.800	OK	11-07-2025	17:40:43.760	3.595	1016	OK
11-07-2025	17:40:44.262	4.097	196.790	20.084	188	0	OK	11-07-2025	17:40:44.262	4.097	28.800	OK	11-07-2025	17:40:44.262	4.097	1016	OK
11-07-2025	17:40:44.764	4.598	197.422	20.049	188	0	OK	11-07-2025	17:40:44.764	4.598	28.800	OK	11-07-2025	17:40:44.764	4.598	1016	OK
11-07-2025	17:40:45.262	5.097	196.844	20.081	188	0	OK	11-07-2025	17:40:45.262	5.097	28.800	OK	11-07-2025	17:40:45.262	5.097	1016	OK
11-07-2025	17:40:45.762	5.597	197.115	20.066	187	0	OK	11-07-2025	17:40:45.762	5.597	28.800	OK	11-07-2025	17:40:45.762	5.597	1016	OK
11-07-2025	17:40:46.262	6.097	196.754	20.086	187	0	OK	11-07-2025	17:40:46.262	6.097	28.800	OK	11-07-2025	17:40:46.262	6.097	1016	OK
11-07-2025	17:40:46.764	6.598	196.754	20.086	187	0	OK	11-07-2025	17:40:46.764	6.598	28.800	OK	11-07-2025	17:40:46.764	6.598	1016	OK
11-07-2025	17:40:47.262	7.097	196.772	20.085	187	0	OK	11-07-2025	17:40:47.262	7.097	28.800	OK	11-07-2025	17:40:47.262	7.097	1016	OK
