#--- Experiment --------------------------------------------------------------------------
#deoxy_1percentA
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	28.800000	2	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
11-07-2025	18:14:21.579	-0.311	197.367	20.052	187	0	OK	11-07-2025	18:14:21.579	-0.311	28.800	OK	11-07-2025	18:14:21.579	-0.311	1016	OK
11-07-2025	18:14:22.078	0.188	196.215	20.116	187	0	OK	11-07-2025	18:14:22.078	0.188	28.800	OK	11-07-2025	18:14:22.078	0.188	1016	OK
11-07-2025	18:14:22.580	0.689	197.892	20.023	187	0	OK	11-07-2025	18:14:22.580	0.689	28.800	OK	11-07-2025	18:14:22.580	0.689	1016	OK
11-07-2025	18:14:23.079	1.189	196.952	20.075	188	0	OK	11-07-2025	18:14:23.079	1.189	28.800	OK	11-07-2025	18:14:23.079	1.189	1016	OK
11-07-2025	18:14:23.579	1.689	197.783	20.029	188	0	OK	11-07-2025	18:14:23.579	1.689	28.800	OK	11-07-2025	18:14:23.579	1.689	1016	OK
11-07-2025	18:14:24.079	2.188	196.449	20.103	189	0	OK	11-07-2025	18:14:24.079	2.188	28.800	OK	11-07-2025	18:14:24.079	2.188	1016	OK
11-07-2025	18:14:24.580	2.689	196.251	20.114	188	0	OK	11-07-2025	18:14:24.580	2.689	28.800	OK	11-07-2025	18:14:24.580	2.689	1016	OK
11-07-2025	18:14:25.079	3.189	196.862	20.080	189	0	OK	11-07-2025	18:14:25.079	3.189	28.800	OK	11-07-2025	18:14:25.079	3.189	1016	OK
11-07-2025	18:14:25.580	3.690	196.431	20.104	189	0	OK	11-07-2025	18:14:25.580	3.690	28.800	OK	11-07-2025	18:14:25.580	3.690	1016	OK
11-07-2025	18:14:26.080	4.189	63.296	33.250	243	0	OK	11-07-2025	18:14:26.080	4.189	28.800	OK	11-07-2025	18:14:26.080	4.189	1016	OK
11-07-2025	18:14:26.580	4.690	22.391	43.151	332	0	OK	11-07-2025	18:14:26.580	4.690	28.800	OK	11-07-2025	18:14:26.580	4.690	1016	OK
11-07-2025	18:14:27.082	5.191	12.283	46.764	366	0	OK	11-07-2025	18:14:27.082	5.191	28.800	OK	11-07-2025	18:14:27.082	5.191	1016	OK
11-07-2025	18:14:27.581	5.690	8.670	48.224	446	0	OK	11-07-2025	18:14:27.581	5.690	28.800	OK	11-07-2025	18:14:27.581	5.690	1016	OK
11-07-2025	18:14:28.081	6.191	4.545	50.016	396	0	OK	11-07-2025	18:14:28.081	6.191	28.800	OK	11-07-2025	18:14:28.081	6.191	1016	OK
11-07-2025	18:14:28.580	6.690	2.661	50.883	403	0	OK	11-07-2025	18:14:28.580	6.690	28.800	OK	11-07-2025	18:14:28.580	6.690	1016	OK
11-07-2025	18:14:29.081	7.190	1.429	51.467	408	0	OK	11-07-2025	18:14:29.081	7.190	28.800	OK	11-07-2025	18:14:29.081	7.190	1016	OK
11-07-2025	18:14:29.583	7.692	0.640	51.849	411	0	OK	11-07-2025	18:14:29.583	7.692	28.800	OK	11-07-2025	18:14:29.583	7.692	1016	OK
11-07-2025	18:14:30.082	8.191	0.038	52.144	414	0	OK	11-07-2025	18:14:30.082	8.191	28.800	OK	11-07-2025	18:14:30.082	8.191	1016	OK
