#--- Experiment --------------------------------------------------------------------------
#deoxy_1percentA
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - SC7-524-194 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	09/01/2025	31/12/2000	20.036	52.400	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1006.422	22.803	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (hPa) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
11-07-2025	18:14:22.505	0.615	NaN	-169.783	1	3	OK	11-07-2025	18:14:22.505	0.615	NaN	OK	11-07-2025	18:14:22.505	0.615	1016	OK
11-07-2025	18:14:23.505	1.614	NaN	-173.138	1	3	OK	11-07-2025	18:14:23.505	1.614	NaN	OK	11-07-2025	18:14:23.505	1.614	1016	OK
11-07-2025	18:14:24.505	2.614	NaN	178.634	1	3	OK	11-07-2025	18:14:24.505	2.614	NaN	OK	11-07-2025	18:14:24.505	2.614	1016	OK
11-07-2025	18:14:25.504	3.613	NaN	-177.726	1	3	OK	11-07-2025	18:14:25.504	3.613	NaN	OK	11-07-2025	18:14:25.504	3.613	1016	OK
11-07-2025	18:14:26.506	4.616	NaN	174.663	1	3	OK	11-07-2025	18:14:26.506	4.616	NaN	OK	11-07-2025	18:14:26.506	4.616	1016	OK
11-07-2025	18:14:27.505	5.615	NaN	-177.246	1	4	OK	11-07-2025	18:14:27.505	5.615	NaN	OK	11-07-2025	18:14:27.505	5.615	1016	OK
11-07-2025	18:14:28.506	6.615	NaN	174.051	1	3	OK	11-07-2025	18:14:28.506	6.615	NaN	OK	11-07-2025	18:14:28.506	6.615	1016	OK
11-07-2025	18:14:29.506	7.615	NaN	178.401	1	4	OK	11-07-2025	18:14:29.506	7.615	NaN	OK	11-07-2025	18:14:29.506	7.615	1016	OK
11-07-2025	18:14:30.506	8.615	NaN	-176.048	1	4	OK	11-07-2025	18:14:30.506	8.615	NaN	OK	11-07-2025	18:14:30.506	8.615	1016	OK
11-07-2025	18:14:31.509	9.619	NaN	-173.649	1	4	OK	11-07-2025	18:14:31.509	9.619	NaN	OK	11-07-2025	18:14:31.509	9.619	1016	OK
11-07-2025	18:14:32.508	10.617	NaN	-177.615	1	3	OK	11-07-2025	18:14:32.508	10.617	NaN	OK	11-07-2025	18:14:32.508	10.617	1016	OK
11-07-2025	18:14:33.510	11.619	NaN	-174.681	1	3	OK	11-07-2025	18:14:33.510	11.619	NaN	OK	11-07-2025	18:14:33.510	11.619	1016	OK
11-07-2025	18:14:34.509	12.619	NaN	178.381	1	3	OK	11-07-2025	18:14:34.509	12.619	NaN	OK	11-07-2025	18:14:34.509	12.619	1016	OK
11-07-2025	18:14:35.508	13.618	NaN	-179.486	1	3	OK	11-07-2025	18:14:35.508	13.618	NaN	OK	11-07-2025	18:14:35.508	13.618	1016	OK
11-07-2025	18:14:36.508	14.618	NaN	-170.785	1	4	OK	11-07-2025	18:14:36.508	14.618	NaN	OK	11-07-2025	18:14:36.508	14.618	1016	OK
