#--- Experiment --------------------------------------------------------------------------
#deoxy_1percentB
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	28.800000	2	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
11-07-2025	18:25:06.521	-0.945	197.205	20.061	192	0	OK	11-07-2025	18:25:06.521	-0.945	28.800	OK	11-07-2025	18:25:06.521	-0.945	1016	OK
11-07-2025	18:25:07.021	-0.445	196.700	20.089	192	0	OK	11-07-2025	18:25:07.021	-0.445	28.800	OK	11-07-2025	18:25:07.021	-0.445	1016	OK
11-07-2025	18:25:07.522	0.056	196.916	20.077	192	0	OK	11-07-2025	18:25:07.522	0.056	28.800	OK	11-07-2025	18:25:07.522	0.056	1016	OK
11-07-2025	18:25:08.022	0.556	196.772	20.085	192	0	OK	11-07-2025	18:25:08.022	0.556	28.800	OK	11-07-2025	18:25:08.022	0.556	1016	OK
11-07-2025	18:25:08.521	1.055	196.539	20.098	192	0	OK	11-07-2025	18:25:08.521	1.055	28.800	OK	11-07-2025	18:25:08.521	1.055	1016	OK
11-07-2025	18:25:09.023	1.556	196.790	20.084	191	0	OK	11-07-2025	18:25:09.023	1.556	28.800	OK	11-07-2025	18:25:09.023	1.556	1016	OK
11-07-2025	18:25:09.523	2.057	197.097	20.067	192	0	OK	11-07-2025	18:25:09.523	2.057	28.800	OK	11-07-2025	18:25:09.523	2.057	1016	OK
11-07-2025	18:25:10.023	2.556	196.700	20.089	190	0	OK	11-07-2025	18:25:10.023	2.556	28.800	OK	11-07-2025	18:25:10.023	2.556	1016	OK
11-07-2025	18:25:10.523	3.057	197.693	20.034	189	0	OK	11-07-2025	18:25:10.523	3.057	28.800	OK	11-07-2025	18:25:10.523	3.057	1016	OK
11-07-2025	18:25:11.023	3.556	195.714	20.144	190	0	OK	11-07-2025	18:25:11.023	3.556	28.800	OK	11-07-2025	18:25:11.023	3.556	1016	OK
11-07-2025	18:25:11.521	4.055	198.491	19.990	190	0	OK	11-07-2025	18:25:11.521	4.055	28.800	OK	11-07-2025	18:25:11.521	4.055	1016	OK
11-07-2025	18:25:12.023	4.557	196.628	20.093	190	0	OK	11-07-2025	18:25:12.023	4.557	28.800	OK	11-07-2025	18:25:12.023	4.557	1016	OK
11-07-2025	18:25:12.522	5.056	196.610	20.094	191	-1	OK	11-07-2025	18:25:12.522	5.056	28.800	OK	11-07-2025	18:25:12.522	5.056	1016	OK
11-07-2025	18:25:13.023	5.557	196.610	20.094	190	0	OK	11-07-2025	18:25:13.023	5.557	28.800	OK	11-07-2025	18:25:13.023	5.557	1016	OK
11-07-2025	18:25:13.523	6.057	196.916	20.077	191	-1	OK	11-07-2025	18:25:13.523	6.057	28.800	OK	11-07-2025	18:25:13.523	6.057	1016	OK
