#--- Experiment --------------------------------------------------------------------------																																											
#deoxy_1percentC																																											
#																																											
#--- System ------------------------------------------------------------------------------																																											
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com																																											
#PHY-0625-PCL																																											
#--- Instrument --------------------------------------------------------------------------																																											
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	28.800000	2	Internal Pressure Sensor	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A Int. T1] - Fixed Temperature																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Internal Pressure Sensor																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.2] - Oxygen Sensor - SC7-524-194 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	09/01/2025	31/12/2000	20.036	52.400	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1006.422	22.803	100.000	20.000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Internal Pressure Sensor																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#--- Measurement Data --------------------------------------------------------------------																																											
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (hPa) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
11-07-2025	18:33:11.310	0.050	194.255	20.226	194	0	OK	11-07-2025	18:33:11.310	0.050	28.800	OK	11-07-2025	18:33:11.310	0.050	1016	OK	11-07-2025	18:33:12.169	0.908	NaN	-178.997	1	3	OK	11-07-2025	18:33:12.169	0.908	NaN	OK	11-07-2025	18:33:12.169	0.908	1016	OK	11-07-2025	18:33:11.393	0.133	NaN	OK			
11-07-2025	18:33:11.811	0.551	193.760	20.254	194	0	OK	11-07-2025	18:33:11.811	0.551	28.800	OK	11-07-2025	18:33:11.811	0.551	1016	OK	11-07-2025	18:33:13.167	1.906	NaN	-177.213	2	4	OK	11-07-2025	18:33:13.167	1.906	NaN	OK	11-07-2025	18:33:13.167	1.906	1016	OK	11-07-2025	18:33:12.394	1.133	NaN	OK			
11-07-2025	18:33:12.313	1.052	193.866	20.248	194	0	OK	11-07-2025	18:33:12.313	1.052	28.800	OK	11-07-2025	18:33:12.313	1.052	1016	OK	11-07-2025	18:33:14.168	2.907	NaN	-176.927	1	4	OK	11-07-2025	18:33:14.168	2.907	NaN	OK	11-07-2025	18:33:14.168	2.907	1016	OK	11-07-2025	18:33:13.393	2.132	NaN	OK			
11-07-2025	18:33:12.815	1.555	194.255	20.226	194	0	OK	11-07-2025	18:33:12.815	1.555	28.800	OK	11-07-2025	18:33:12.815	1.555	1016	OK	11-07-2025	18:33:15.168	3.907	NaN	-176.599	1	3	OK	11-07-2025	18:33:15.168	3.907	NaN	OK	11-07-2025	18:33:15.168	3.907	1016	OK	11-07-2025	18:33:14.393	3.133	NaN	OK			
11-07-2025	18:33:13.313	2.053	194.538	20.210	194	0	OK	11-07-2025	18:33:13.313	2.053	28.800	OK	11-07-2025	18:33:13.313	2.053	1016	OK	11-07-2025	18:33:16.170	4.909	NaN	-178.437	1	3	OK	11-07-2025	18:33:16.170	4.909	NaN	OK	11-07-2025	18:33:16.170	4.909	1016	OK	11-07-2025	18:33:15.395	4.134	NaN	OK			
11-07-2025	18:33:13.814	2.554	194.521	20.211	194	0	OK	11-07-2025	18:33:13.814	2.554	28.800	OK	11-07-2025	18:33:13.814	2.554	1016	OK	11-07-2025	18:33:17.169	5.908	NaN	-174.447	1	3	OK	11-07-2025	18:33:17.169	5.908	NaN	OK	11-07-2025	18:33:17.169	5.908	1016	OK	11-07-2025	18:33:16.394	5.134	NaN	OK			
11-07-2025	18:33:14.313	3.053	193.954	20.243	194	0	OK	11-07-2025	18:33:14.313	3.053	28.800	OK	11-07-2025	18:33:14.313	3.053	1016	OK	11-07-2025	18:33:18.171	6.911	NaN	-173.281	1	4	OK	11-07-2025	18:33:18.171	6.911	NaN	OK	11-07-2025	18:33:18.171	6.911	1016	OK	11-07-2025	18:33:17.394	6.133	NaN	OK			
11-07-2025	18:33:14.816	3.555	193.565	20.265	194	0	OK	11-07-2025	18:33:14.816	3.555	28.800	OK	11-07-2025	18:33:14.816	3.555	1016	OK	11-07-2025	18:33:19.171	7.910	NaN	-178.225	1	3	OK	11-07-2025	18:33:19.171	7.910	NaN	OK	11-07-2025	18:33:19.171	7.910	1016	OK	11-07-2025	18:33:18.392	7.132	NaN	OK			
11-07-2025	18:33:15.316	4.055	195.393	20.162	194	0	OK	11-07-2025	18:33:15.316	4.055	28.800	OK	11-07-2025	18:33:15.316	4.055	1016	OK	11-07-2025	18:33:20.173	8.912	NaN	-179.994	2	4	OK	11-07-2025	18:33:20.173	8.912	NaN	OK	11-07-2025	18:33:20.173	8.912	1016	OK	11-07-2025	18:33:19.393	8.133	NaN	OK			
11-07-2025	18:33:15.817	4.557	195.090	20.179	194	0	OK	11-07-2025	18:33:15.817	4.557	28.800	OK	11-07-2025	18:33:15.817	4.557	1016	OK	11-07-2025	18:33:21.171	9.910	NaN	175.327	1	3	OK	11-07-2025	18:33:21.171	9.910	NaN	OK	11-07-2025	18:33:21.171	9.910	1016	OK	11-07-2025	18:33:20.394	9.133	NaN	OK			
11-07-2025	18:33:16.315	5.055	194.131	20.233	194	0	OK	11-07-2025	18:33:16.315	5.055	28.800	OK	11-07-2025	18:33:16.315	5.055	1016	OK	11-07-2025	18:33:22.172	10.911	NaN	-173.502	2	4	OK	11-07-2025	18:33:22.172	10.911	NaN	OK	11-07-2025	18:33:22.172	10.911	1016	OK	11-07-2025	18:33:21.393	10.133	NaN	OK			
11-07-2025	18:33:16.817	5.556	194.947	20.187	194	0	OK	11-07-2025	18:33:16.817	5.556	28.800	OK	11-07-2025	18:33:16.817	5.556	1016	OK	11-07-2025	18:33:23.173	11.913	NaN	-175.028	1	3	OK	11-07-2025	18:33:23.173	11.913	NaN	OK	11-07-2025	18:33:23.173	11.913	1016	OK	11-07-2025	18:33:22.394	11.134	NaN	OK			
11-07-2025	18:33:17.316	6.055	195.375	20.163	194	-1	OK	11-07-2025	18:33:17.316	6.055	28.800	OK	11-07-2025	18:33:17.316	6.055	1016	OK	11-07-2025	18:33:24.173	12.913	NaN	-176.758	1	4	OK	11-07-2025	18:33:24.173	12.913	NaN	OK	11-07-2025	18:33:24.173	12.913	1016	OK	11-07-2025	18:33:23.394	12.133	NaN	OK			
