#--- Experiment --------------------------------------------------------------------------
#deoxy_1percentC
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#PHY-0625-PCL
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
11-07-2025	18:33:11.393	0.133	NaN	OK
11-07-2025	18:33:12.394	1.133	NaN	OK
11-07-2025	18:33:13.393	2.132	NaN	OK
11-07-2025	18:33:14.393	3.133	NaN	OK
11-07-2025	18:33:15.395	4.134	NaN	OK
11-07-2025	18:33:16.394	5.134	NaN	OK
11-07-2025	18:33:17.394	6.133	NaN	OK
11-07-2025	18:33:18.392	7.132	NaN	OK
11-07-2025	18:33:19.393	8.133	NaN	OK
11-07-2025	18:33:20.394	9.133	NaN	OK
11-07-2025	18:33:21.393	10.133	NaN	OK
11-07-2025	18:33:22.394	11.134	NaN	OK
11-07-2025	18:33:23.394	12.133	NaN	OK
11-07-2025	18:33:24.395	13.134	NaN	OK
11-07-2025	18:33:25.394	14.134	NaN	OK
11-07-2025	18:33:26.395	15.134	NaN	OK
11-07-2025	18:33:27.395	16.134	NaN	OK
11-07-2025	18:33:28.395	17.134	NaN	OK
11-07-2025	18:33:29.395	18.134	NaN	OK
11-07-2025	18:33:30.395	19.135	NaN	OK
11-07-2025	18:33:31.396	20.136	NaN	OK
11-07-2025	18:33:32.395	21.135	NaN	OK
11-07-2025	18:33:33.397	22.136	NaN	OK
11-07-2025	18:33:34.398	23.137	NaN	OK
11-07-2025	18:33:35.398	24.137	NaN	OK
11-07-2025	18:33:36.398	25.137	NaN	OK
11-07-2025	18:33:37.399	26.138	NaN	OK
11-07-2025	18:33:38.399	27.138	NaN	OK
11-07-2025	18:33:39.399	28.139	NaN	OK
11-07-2025	18:33:40.399	29.139	NaN	OK
11-07-2025	18:33:41.399	30.138	NaN	OK
11-07-2025	18:33:42.399	31.138	NaN	OK
11-07-2025	18:33:43.398	32.138	NaN	OK
11-07-2025	18:33:44.401	33.140	NaN	OK
11-07-2025	18:33:45.399	34.138	NaN	OK
11-07-2025	18:33:46.400	35.139	NaN	OK
11-07-2025	18:33:47.401	36.140	NaN	OK
11-07-2025	18:33:48.401	37.140	NaN	OK
11-07-2025	18:33:49.400	38.139	NaN	OK
11-07-2025	18:33:50.401	39.140	NaN	OK
11-07-2025	18:33:51.401	40.141	NaN	OK
11-07-2025	18:33:52.403	41.142	NaN	OK
11-07-2025	18:33:53.403	42.142	NaN	OK
11-07-2025	18:33:54.403	43.143	NaN	OK
11-07-2025	18:33:55.404	44.144	NaN	OK
11-07-2025	18:33:56.402	45.141	NaN	OK
11-07-2025	18:33:57.403	46.143	NaN	OK
11-07-2025	18:33:58.404	47.144	NaN	OK
11-07-2025	18:33:59.405	48.144	NaN	OK
11-07-2025	18:34:00.405	49.145	NaN	OK
11-07-2025	18:34:01.406	50.146	NaN	OK
11-07-2025	18:34:02.407	51.146	NaN	OK
11-07-2025	18:34:03.407	52.146	NaN	OK
11-07-2025	18:34:04.408	53.147	NaN	OK
11-07-2025	18:34:05.408	54.147	NaN	OK
11-07-2025	18:34:06.410	55.149	NaN	OK
11-07-2025	18:34:07.410	56.149	NaN	OK
11-07-2025	18:34:08.410	57.150	NaN	OK
11-07-2025	18:34:09.410	58.149	NaN	OK
11-07-2025	18:34:10.410	59.150	NaN	OK
11-07-2025	18:34:11.410	60.149	NaN	OK
